"fuel" "category" "noise"
"gasoline" "commercial" 59.3212648488663
"diesel" "passenger" 52.0285590583766
"diesel" "commercial" 52.8243704870412
"diesel" "passenger" 48.2856934035221
"gasoline" "commercial" 47.9173725898921
"diesel" "commercial" 50.5004548411064
"diesel" "commercial" 48.2504058710715
"ethanol" "commercial" 49.4837455396918
"ethanol" "commercial" 44.2488716292351
"gasoline" "passenger" 52.155148923411
"ethanol" "passenger" 55.6534701933061
"ethanol" "commercial" 48.7699568416722
"gasoline" "commercial" 54.2996801622046
"gasoline" "passenger" 56.8682925731971
"gasoline" "passenger" 53.0008653911734
"ethanol" "commercial" 45.1772845639874
"diesel" "commercial" 43.4923846149991
"gasoline" "passenger" 55.9239673862682
"gasoline" "commercial" 50.3136620907613
"ethanol" "passenger" 49.0197274020413
"ethanol" "commercial" 48.2525263450847
"diesel" "commercial" 47.3649086135021
"diesel" "passenger" 48.1522498237638
"gasoline" "passenger" 54.2745819326306
"gasoline" "commercial" 51.3021350274792
"ethanol" "passenger" 46.5667339130108
"diesel" "commercial" 43.9234111622253
"diesel" "commercial" 56.3439306837062
"diesel" "passenger" 51.9577615420175
"diesel" "passenger" 47.5678966324361
"gasoline" "commercial" 52.2323723516197
"gasoline" "commercial" 47.7469408422637
"gasoline" "passenger" 55.382282885773
"gasoline" "passenger" 58.9604450150508
"ethanol" "passenger" 48.6902884737223
"ethanol" "commercial" 42.2786873436493
"ethanol" "commercial" 47.2985582187762
"ethanol" "commercial" 50.6996392855621
"ethanol" "passenger" 49.0859198943035
"diesel" "commercial" 47.8520967446343
"ethanol" "commercial" 47.0327435379921
"diesel" "passenger" 54.1336355568261
"ethanol" "commercial" 45.2580451572055
"diesel" "passenger" 46.0139399290306
"gasoline" "commercial" 51.6502860591654
"diesel" "commercial" 45.9205988942455
"diesel" "passenger" 51.4262987699129
"ethanol" "commercial" 47.1161059055055
"ethanol" "commercial" 49.1513957932647
"gasoline" "passenger" 58.9418229205657
"ethanol" "passenger" 43.8592933350568
"ethanol" "passenger" 45.9997809010884
"gasoline" "passenger" 52.0235853982824
"ethanol" "commercial" 44.3901806765657
"diesel" "passenger" 48.3518889456687
"gasoline" "commercial" 50.2572008612134
"ethanol" "passenger" 44.6937696409189
"diesel" "commercial" 47.6223674903164
"diesel" "passenger" 45.3434559934691
"ethanol" "passenger" 49.7965103259126
"gasoline" "commercial" 49.3225803768156
"ethanol" "passenger" 51.6639522241548
"diesel" "commercial" 49.1018084482452
"diesel" "passenger" 49.534837312659
"gasoline" "commercial" 47.432524825545
"ethanol" "commercial" 43.5750636964027
"diesel" "commercial" 49.5816708731451
"gasoline" "passenger" 52.0996702563124
"diesel" "commercial" 58.8636705041226
"gasoline" "commercial" 49.8543291735815
"gasoline" "commercial" 44.1444790236051
"diesel" "commercial" 48.9057914127131
"ethanol" "passenger" 47.0759998423469
"diesel" "passenger" 42.1332441974413
"gasoline" "commercial" 47.8879762269348
"gasoline" "passenger" 51.9653883912502
"ethanol" "passenger" 48.9947219202122
"gasoline" "commercial" 49.7407118021514
"diesel" "commercial" 54.1649492034564
"gasoline" "commercial" 53.4569940838543
"ethanol" "commercial" 50.0185154004916
"ethanol" "passenger" 44.8732730671775
"gasoline" "passenger" 54.8179120267506
"diesel" "commercial" 48.7772690192988
"ethanol" "commercial" 43.6799172188871
"diesel" "commercial" 56.713802154166
"gasoline" "passenger" 50.5364908176937
"ethanol" "passenger" 48.2777156730787
"gasoline" "passenger" 51.1924599983462
"diesel" "passenger" 52.120971309718
"ethanol" "passenger" 45.9571531077436
"gasoline" "commercial" 55.1937988887964
"diesel" "commercial" 55.4534546326793
"gasoline" "commercial" 49.7989669997264
"diesel" "passenger" 50.6181026264482
"diesel" "passenger" 42.8023764970305
"ethanol" "passenger" 51.0067973924825
"ethanol" "passenger" 52.0539579878499
"diesel" "passenger" 51.4225684626084
"gasoline" "passenger" 49.4040869524729
"gasoline" "passenger" 47.1663125288787
"diesel" "commercial" 55.0083570412752
"diesel" "commercial" 54.8562685822895
"ethanol" "commercial" 47.3863329173324
"gasoline" "passenger" 48.3479187378948
"diesel" "passenger" 51.3426406050184
"ethanol" "passenger" 50.0150328294425
"ethanol" "commercial" 47.8861083134622
"gasoline" "commercial" 58.671115312093
"diesel" "passenger" 53.337418698897
"gasoline" "passenger" 52.7874811265644
"ethanol" "passenger" 50.94528871106
"ethanol" "commercial" 46.6208469264545
"diesel" "passenger" 50.3179779832552
"gasoline" "passenger" 53.1423475666872
"ethanol" "passenger" 46.6448374466633
"diesel" "passenger" 54.8105518313745
"gasoline" "passenger" 53.0753497340108
"ethanol" "commercial" 49.8076940531713
"gasoline" "commercial" 49.2552626130226
