"Polycyclic aromatic hydrocarbons (PAHs)" "Benzo(a)pyrene" "Naphthalene" "Fluoranthene" "Anthracene" "Pyrene" "Chrysene" "Phenanthrene" "Polychlorinated biphenyls (PCBs)" "PCB-126" "PCB-153" "PCB-180" "PCB-209" "Dichlorodiphenyltrichloroethane (DDT)" "Dichlorodiphenyldichloroethylene (DDE)" "Glyphosate" "Atrazine" "Lindane" "Aldrin" "Dieldrin" "Volatile organic compounds (VOCs)" "Benzene" "Toluene" "Xylene" "Ethylbenzene" "Formaldehyde" "Trichloroethylene (TCE)" "Perchloroethylene (PCE)" "Dichloromethane" "Dichloroethene" "Perfluorooctanoic acid (PFOA)" "Perfluorooctane sulfonate (PFOS)" "Nitrogen (N)" "Phosphorus (P)" "Potassium (K)" "Ammonia (NH3)" "Nitrates" "Phosphates" "Uranium (U)" "Radon (Rn)" "Cesium-137 (Cs-137)" "Benzene hexachloride (BHC)" "Hexachlorobenzene (HCB)" "Chlordane" "Heptachlor" "Endosulfan" "Methoxychlor" "Pentachlorophenol" "2,4-Dichlorophenoxyacetic acid (2,4-D)" "Aldicarb" "Carbaryl" "Imidacloprid" "Chlorpyrifos" "Diazinon" "Parathion" "N-Methyl-2-pyrrolidone (NMP)" "Trichloroethane" "Trichloroethene" "Methyl tert-butyl ether (MTBE)" "Perfluorohexane sulfonate (PFHxS)" "Perfluorononanoic acid (PFNA)" "Perfluorodecanoic acid (PFDA)" "Perfluoroundecanoic acid (PFUnDA)" "Perfluorododecanoic acid (PFDoDA)" "Aldicarb sulfone" "Aldicarb sulfoxide" "Carbendazim" "Fipronil" "Fenitrothion" "Chlorfenapyr" "Ethylene glycol" "Butyl benzyl phthalate (BBP)" "Diethyl phthalate (DEP)" "Dimethyl phthalate (DMP)" "Di-n-octyl phthalate (DNOP)" "Di-n-butyl phthalate (DBP)" "Bisphenol A (BPA)" "Triclosan" "Methylmercury" "Cadmium chloride" "Cadmium sulfate" "Cadmium oxide" "Hexavalent chromium (Cr6+)" "Sodium chromate" "Potassium chromate" "Arsenic trioxide" "Arsenic pentoxide" "Nickel sulfate" "Nickel chloride" "Zinc sulfat"
"Polycyclic aromatic hydrocarbons (PAHs)" 0 1.30457800949826 0.879229415892263 0.211390530618725 1.17400223973278 1.16638800787921 0.174979177300788 1.06670208173725 0.0271245557429578 0.338472972300032 0.763306353872338 0.135440686320254 0.350479678994934 0.926267425280173 1.13966730882891 0.237066963403603 0.933745613008753 0.328192707759336 0.0510949123635603 1.17082623564674 0.347300643011593 0.018624178054112 0.592942433765735 0.533424051327822 0.368877452687852 1.23116823760281 0.87058230235295 0.407945104657279 1.18962217197888 0.518516730896921 0.377004743578397 0.963218271724002 0.560943686282694 0.722647728079801 0.96216382319016 0.734882585749155 0.314051743153367 0.942810371666392 0.686720300617085 0.147375163353417 1.00686130446994 0.326526452234006 0.477147683003241 0.756864899700453 0.82044503976068 0.669222488900269 0.846304381981334 0.612277075898172 0.408766310152336 0.998672708725278 0.484682401609577 0.483992566173626 0.940285232727027 0.665326173422784 0.689726151498577 1.15401151503335 0.616203088833774 0.668795950610002 0.915937612663005 0.701009837976058 0.576592596646117 0.836971491886732 0.312153185568561 0.583653854651068 0.767743029989413 0.784172695735181 0.788124994917919 0.866475840272894 0.792415058272901 0.545948015278442 1.29482015088274 0.714277189322662 0.167970950016816 1.12393265463716 0.62420796283238 0.732028838366611 0.816181234136231 0.696045520533996 0.302929594705727 0.805760733717761 0.502290314934631 0.549726222042621 0.526610282309904 0.493747869833252 0.303634545770072 1.10671085535553 0.517559710191897 0.484715135404971 0.930419531617888 0.675190273333795
"Benzo(a)pyrene" 1.30457800949826 0 1.00284316021582 1.51596854011698 0.341465910725084 0.897861421424803 1.54326436930055 0.23787592776101 1.2774534537553 1.64305098179829 0.264952536124727 1.169137323178 1.74481480668829 0.0109122431115429 0.832468573607432 1.46171366677762 0.370832396489506 0.976385301738923 1.37465332261424 0.133751773851516 0.957277366486666 1.28867665132352 0.469914311167687 0.771153958170436 1.67345546218611 0.073409771895449 1.01140539999197 1.7924602225406 0.114955837519377 0.786061278601337 1.5196435251435 0.0161612630694017 1.00398874508591 1.69281704959266 0.0548019446553818 0.921884434485236 1.13299727126082 0.0259430381660471 0.673362948010015 1.37830690571624 0.0706163697116646 1.07202254745432 1.26566435141539 0.320051715986204 0.572280664629912 1.37802235541716 0.112038632725816 1.02282823719705 1.03214699360265 0.0994493393752972 0.895917074836524 1.53169368332349 0.0898302301869696 0.755158106830062 1.49694931300758 0.237099515954375 1.05261137538805 1.82795780492138 0.148408362580919 1.02390827183642 1.67391817433358 0.188921643014417 1.05524402223599 1.61985098301072 0.230141387288457 0.996954993070754 1.93209682393649 0.215518532597555 0.902041152674283 1.47767790734161 0.460682027146949 1.01238373350519 1.26811581967729 0.187431159113827 0.6728814907762 1.4345125716944 0.282251574813038 0.824229361004406 1.40860284678199 0.182941249923361 1.16090166867104 1.61555563356322 0.563364059194193 0.943084004758057 1.3109997831245 0.20634749349867 1.00971434814149 1.60267848416186 0.112996563239753 0.965812415747216
"Naphthalene" 0.879229415892263 1.00284316021582 0 0.513125379901161 1.18019663911635 0.28718748967773 0.976960489618505 0.764967232454813 0.274610293539478 0.640207821582468 0.831531784810524 0.166294162962182 0.868336547676534 0.996178889131178 0.265620417131319 1.11081067182388 0.632010763726317 0.0264578584769001 0.880643242546229 0.869091386364306 0.0455657937291568 0.891022281870583 0.880648613148546 0.231689202045386 0.670612301970288 0.929433388320374 0.00956806514172725 1.20751536993411 0.887887322696446 0.216781881614485 1.25242072609207 1.30560862046005 0.333834757636205 1.59773430537146 1.16664154977655 0.179098616701707 1.14631934418976 1.07518872963124 0.404819989330402 1.02574914927756 1.34808552502147 0.572944681972437 1.34223082717851 1.24717462372007 0.373613662833953 1.54312889484982 1.00346995719391 0.274355959337051 1.21365431709242 1.23744691030443 0.469950244708353 1.36186910331319 1.39399017156515 0.35852074669748 1.5685360529033 1.51178931194787 0.265409065072122 1.52596063585199 1.40274131693516 0.181232825348491 1.44702194022352 1.27039527080257 0.596504785017739 1.45910525823766 1.10764334403013 0.0996367371749391 1.64154168959836 1.36849299924974 0.133957430301514 1.42511668041001 1.58245640580069 0.169341646250105 1.03605135531146 1.49905416959566 0.477771421555912 1.60841795059385 1.33308446568237 0.275996867034921 1.18215900782964 1.15169729387524 0.37794385474478 1.42427529044691 0.859887109929812 0.432586963401588 1.17689751458392 1.42635428879835 0.379276061562955 1.35740007255656 1.39728782693896 0.223221111534322
"Fluoranthene" 0.211390530618725 1.51596854011698 0.513125379901161 0 1.85743445084207 0.618107118692181 0.0272958291835674 1.27809261235597 0.238515086361683 0.127082441681307 1.25101600399226 0.346831216938979 0.228846266571309 1.50505629700544 0.683499966509552 0.0542548733393689 1.14513614362748 0.539583238378061 0.14131521750274 1.38221676626547 0.558691173630318 0.227291888793459 1.0460542289493 0.744814581946548 0.157486922069126 1.44255876822154 0.504563140125016 0.276491682423617 1.40101270259761 0.729907261515646 0.00367498502651301 1.53212980318639 0.511979795031079 0.176848509475672 1.57077048477237 0.594084105631748 0.382971268856167 1.54191157828303 0.842605592106969 0.137661634400744 1.58658490982865 0.44394599266266 0.250304188701599 1.19591682413078 0.943687875487072 0.137946184699822 1.40392990739117 0.493140302919938 0.483821546514337 1.61541787949228 0.62005146528046 0.0157251432065069 1.42613830993001 0.760810433286922 0.0190192271094027 1.75306805607136 0.463357164728935 0.311989264804394 1.36756017753606 0.492060268280564 0.157949634216592 1.32704689710257 0.46072451788099 0.103882442893739 1.28582715282853 0.51901354704623 0.416128283819508 1.30045000751943 0.613927387442701 0.0382906327753709 1.97665056726393 0.503584806611797 0.247852720439698 1.70339969923081 0.843087049340784 0.0814559684225836 1.23371696530395 0.691739179112578 0.107365693334991 1.33302729019362 0.355066871445947 0.0995870934462354 0.952604480922791 0.572884535358927 0.204968756992488 1.72231603361565 0.506254191975489 0.0867099440448771 1.40297197687723 0.550156124369768
"Anthracene" 1.17400223973278 0.341465910725084 1.18019663911635 1.85743445084207 0 1.31237429833579 1.3475754184641 0.579341838486094 1.61891936448038 1.98451689252337 0.43194724427092 1.51060323390309 1.47524266638698 0.249294499622073 1.25122299051112 1.32567319564351 0.71229830721459 1.31785121246401 1.22164343093184 0.475217684576601 1.29874327721175 1.16490803171989 0.581785281375197 1.11261986889552 2.01492137291119 0.414875682620533 1.18072058450084 1.55389894819167 0.456421748244461 1.12752718932642 1.40723214037817 0.452168901937689 1.01922797602371 1.65672306008786 0.28190681255163 1.03860335322982 1.13286699064972 0.241424076670566 0.806645301527657 1.25046800180352 0.456693450454609 1.00773079619397 1.29927022538486 0.64938735353487 0.806654095548155 1.46690671495029 0.330909621712834 1.05436929103194 1.09890553760296 0.31263083482264 0.906141769449122 1.45825460322006 0.616683371287386 0.8664838560266 1.54213891980012 0.537182757800653 1.07804845315459 1.69057811035362 0.663988535216911 1.09605911959542 1.57367964431248 0.572887514764984 0.99309769350927 1.5503040507151 0.482776243168419 1.12053952042022 1.7978489929412 0.676999399672212 1.05670639263325 1.45759076235804 0.504772526263028 1.09437197576142 1.18212559115997 0.551848024266185 0.770901989421031 1.53327355613358 0.691330399059981 0.941070533153965 1.31585391932778 0.474244461247441 1.11494370517316 1.53199281568201 0.647935663361828 0.947300339255575 1.25468273932051 0.452390512102709 1.0076697794331 1.49595604055116 0.635369499295466 1.0405704582066
"Pyrene" 1.16638800787921 0.897861421424803 0.28718748967773 0.618107118692181 1.31237429833579 0 1.26196137862135 0.659985493663794 0.379592032330497 0.745189560373487 1.02747408570663 0.271275901753201 1.13942596619764 1.16756870012603 0.0615996439643036 1.3978586245387 0.527029024935298 0.0785238803141193 1.16764233738986 0.764109647573287 0.0594159450618625 1.17809418504453 1.11521633735199 0.126707463254367 0.775594040761307 0.824451649529354 0.295935721348458 1.48913908097279 0.782905583905427 0.111800142823466 1.53946808981612 1.51136547086941 0.615850606007336 1.88463120043579 1.35252155381535 0.447453295232743 1.4297470193062 1.25291542262625 0.628853516234071 1.31293662467828 1.55089371795368 0.857172897798662 1.6276431646224 1.4846838150259 0.544993668342399 1.82936479243334 1.19554677165955 0.558454718080324 1.4939257246634 1.42524138696128 0.741257114464864 1.64902348281683 1.61720388042929 0.59882153586029 1.85555899559831 1.70913962431339 0.551458720012549 1.81107976249088 1.63183457576881 0.466638199051601 1.73357705056463 1.4964408708744 0.879846790853558 1.74607905110302 1.3277183430168 0.383434030160553 1.92596890864612 1.60194817074672 0.390858658228632 1.71223752267051 1.75990264986323 0.453916661800489 1.32253024726872 1.70087299115873 0.712345691692036 1.89499967985457 1.57081120405392 0.52541705867924 1.46931580533845 1.36929272646752 0.665008810408154 1.71119162470041 1.10481282781304 0.70866759680041 1.4634318951361 1.61971696737653 0.661418444562915 1.64421141119365 1.6228703873774 0.501415069109788
"Chrysene" 0.174979177300788 1.54326436930055 0.976960489618505 0.0272958291835674 1.3475754184641 1.26196137862135 0 1.30538844153954 0.265810915545251 0.0997866124977391 0.938283361132817 0.374127046122547 0.251488801108284 1.10036869253916 1.24208572610538 0.173126578998494 1.17243197281105 0.566879067561629 0.132867101759034 1.40951259544903 0.585987002813885 0.182726275305926 0.765953791665878 0.772110411130115 0.130191092885559 1.4698545974051 0.967777389945463 0.245925018874627 1.42830853178117 0.757203090699214 0.299263986060209 1.11887051073484 0.68188145595487 0.63121849991592 1.13000965547935 0.851534809900435 0.378746937654856 1.11478261484537 0.837294041744629 0.148354413175248 1.16125451342782 0.467757021627241 0.472847334310371 0.900571441354005 0.968146821986082 0.631925682687104 1.01888317547284 0.725408428552624 0.478997344624753 1.16322722309753 0.631673805288225 0.410478679589824 1.08137460999215 0.808885348879743 0.630855288169959 1.30206436805035 0.724527856140908 0.549123821367222 1.05232119755153 0.806916397232534 0.476914396611651 0.98570271400216 0.459737892735453 0.496190075754461 0.930747405892289 0.888001280833694 0.664700591695049 1.00232821933506 0.907146522191037 0.488083608452335 1.44800957281833 0.82078978514854 0.228487890068613 1.27050237917921 0.781854983023604 0.684399126348781 0.951731163739402 0.82816454409989 0.26536106444704 0.966673130220619 0.602191448956358 0.460501714385544 0.699700056870531 0.632218159419711 0.305354537832892 1.26071424730752 0.642348983947837 0.392561950115239 1.06970404363698 0.790984170222802
"Phenanthrene" 1.06670208173725 0.23787592776101 0.764967232454813 1.27809261235597 0.579341838486094 0.659985493663794 1.30538844153954 0 1.03957752599429 1.40517505403728 0.0270766083637178 0.931261395416995 1.50693887892728 0.226963684649467 0.594592645846422 1.22383773901661 0.132956468728496 0.738509373977913 1.13677739485323 0.104124153909493 0.719401438725656 1.05080072356252 0.232038383406678 0.533278030409427 1.4355795344251 0.164466155865561 0.773529472230958 1.55458429477959 0.122920090241633 0.548185350840328 1.28176759738249 0.254037190830411 0.766112817324895 1.45494112183165 0.292677872416391 0.684008506724226 0.895121343499807 0.263818965927057 0.435487020249006 1.14043097795523 0.308492297472674 0.834146619693315 1.02778842365438 0.0821757882251949 0.334404736868902 1.14014642765615 0.125837295035193 0.784952309436037 0.794271065841637 0.337325267136307 0.658041147075515 1.29381775556248 0.14804569757404 0.517282179069053 1.25907338524657 0.474975443715385 0.81473544762704 1.59008187716037 0.0894675651800905 0.786032344075411 1.43604224657257 0.0489542847465925 0.817368094474984 1.38197505524971 0.00773454047255285 0.759079065309744 1.69422089617548 0.0223573951634551 0.664165224913274 1.2398019795806 0.698557954907958 0.774507805744177 1.03023989191628 0.425307086874836 0.43500556301519 1.19663664393339 0.0443756470520283 0.586353433243396 1.17072691902098 0.0549346778376484 0.923025740910028 1.37767970580221 0.325488131433183 0.705208076997048 1.07312385536349 0.44422342125968 0.771838420380485 1.36480255640085 0.124879364521257 0.727936487986207
"Polychlorinated biphenyls (PCBs)" 0.0271245557429578 1.2774534537553 0.274610293539478 0.238515086361683 1.61891936448038 0.379592032330497 0.265810915545251 1.03957752599429 0 0.36559752804299 1.01250091763057 0.108316130577296 0.467361352932992 1.26654121064376 0.444984880147869 0.184260213022314 0.906621057265795 0.301068152016378 0.0971998688589428 1.14370167990378 0.320176087268635 0.011223197568224 0.807539142587613 0.506299495584864 0.396002008430809 1.20404368185985 0.266048053763333 0.5150067687853 1.16249761623592 0.491392175153963 0.242190071388196 1.2936147168247 0.273464708669396 0.415363595837355 1.33225539841068 0.355569019270065 0.144456182494484 1.30339649192135 0.604090505745285 0.10085345196094 1.34806982346697 0.205430906300976 0.0117891023399155 0.957401737769096 0.705172789125389 0.100568901661861 1.16541482102948 0.254625216558254 0.245306460152654 1.3769027931306 0.381536378918777 0.25424022956819 1.18762322356833 0.522295346925238 0.21949585925228 1.51455296970968 0.224842078367252 0.550504351166077 1.12904509117438 0.25354518191888 0.396464720578275 1.08853181074088 0.222209431519307 0.342397529255422 1.04731206646684 0.280498460684547 0.654643370181191 1.06193492115775 0.375412301081017 0.200224453586312 1.73813548090225 0.265069720250114 0.00933763407801475 1.46488461286913 0.604571962979101 0.1570591179391 0.995201878942263 0.453224092750895 0.131149393026693 1.09451220383194 0.116551785084263 0.338102179807919 0.714089394561108 0.334369448997244 0.033546329369195 1.48380094725397 0.267739105613806 0.32522503040656 1.16445689051555 0.311641038008085
"PCB-126" 0.338472972300032 1.64305098179829 0.640207821582468 0.127082441681307 1.98451689252337 0.745189560373487 0.0997866124977391 1.40517505403728 0.36559752804299 0 1.37809844567356 0.473913658620286 0.101763824890003 1.63213873868675 0.810582408190859 0.181337315020675 1.27221858530878 0.666665680059368 0.268397659184047 1.50929920794677 0.685773615311625 0.354374330474766 1.1731366706306 0.871897023627854 0.0304044803878197 1.56964120990284 0.631645581806323 0.149409240742311 1.52809514427891 0.856989703196953 0.123407456654793 1.65921224486769 0.639062236712385 0.0497660677943653 1.69785292645367 0.721166547313055 0.510053710537474 1.66899401996434 0.969688033788275 0.26474407608205 1.71366735150995 0.571028434343966 0.377386630382905 1.32299926581209 1.07077031716838 0.265028626381129 1.53101234907247 0.620222744601244 0.610903988195644 1.74250032117359 0.747133906961766 0.1113572984748 1.55322075161132 0.887892874968228 0.146101668790709 1.88015049775267 0.590439606410241 0.184906823123087 1.49464261921737 0.61914270996187 0.0308671925352856 1.45412933878387 0.587806959562297 0.0231999987875674 1.41290959450983 0.646095988727537 0.289045842138202 1.42753244920074 0.741009829124007 0.165373074456677 2.10373300894524 0.630667248293104 0.374935162121004 1.83048214091212 0.970169491022091 0.20853841010389 1.36079940698525 0.818821620793885 0.234448135016297 1.46010973187493 0.482149313127253 0.0274953482350711 1.0796869226041 0.699966977040233 0.332051198673795 1.84939847529696 0.633336633656796 0.0403724976364294 1.53005441855854 0.677238566051074
