"price" "dimension" "ncolors" "method"
"1" 183.4 9.7 5 "handmade"
"2" 171.54 8.58 5 "handmade"
"3" 129.07 6.78 5 "handmade"
"4" 120.53 4.96 3 "handmade"
"5" 134.12 6.9 4 "handmade"
"6" 105.52 9.83 4 "machine"
"7" 131.97 7.43 3 "handmade"
"8" 123.6 9.92 1 "machine"
"9" 111.25 10.27 2 "machine"
"10" 157.65 7.34 5 "handmade"
"11" 139.61 8.05 3 "handmade"
"12" 121.29 7.38 2 "handmade"
"13" 113.43 11.23 1 "machine"
"14" 106.45 8.6 5 "machine"
"15" 121.83 6.23 1 "handmade"
"16" 123.77 6.9 3 "handmade"
"17" 77.44 6.45 3 "machine"
"18" 103.17 8.55 5 "machine"
"19" 120.62 6.7 5 "handmade"
"20" 139.1 6.8 3 "handmade"
"21" 128.66 6.93 1 "handmade"
"22" 106.18 9.3 5 "machine"
"23" 118.41 6.57 2 "handmade"
"24" 163.57 7.32 5 "handmade"
"25" 121.32 10.88 3 "machine"
"26" 128.96 5.93 4 "handmade"
"27" 107.61 9.13 5 "machine"
"28" 144.09 6.96 3 "handmade"
"29" 120.4 6.59 3 "handmade"
"30" 136.39 7.95 2 "handmade"
"31" 106.36 10.7 3 "machine"
"32" 103.41 8.51 3 "machine"
"33" 149.97 7.57 5 "handmade"
"34" 144.15 7.41 4 "handmade"
"35" 121.15 6.79 1 "handmade"
"36" 96.7 9.82 2 "machine"
"37" 143.27 8.62 4 "handmade"
"38" 105.85 9.67 5 "machine"
"39" 128.59 12.92 4 "machine"
"40" 101.31 8.33 1 "machine"
"41" 121.14 11.93 5 "machine"
"42" 92.38 9.71 2 "machine"
"43" 81.75 6.8 2 "machine"
"44" 120.26 6.01 3 "handmade"
"45" 100.5 10.22 1 "machine"
"46" 134.73 7.5 1 "handmade"
"47" 82.61 6.51 4 "machine"
"48" 124.94 11.5 4 "machine"
"49" 104.56 10.48 4 "machine"
"50" 81.61 7.44 1 "machine"
"51" 122.15 11.46 1 "machine"
"52" 88.56 7.78 2 "machine"
"53" 117.83 6.28 1 "handmade"
"54" 93.6 9.47 1 "machine"
"55" 115.8 7.16 1 "handmade"
"56" 144.75 7.09 3 "handmade"
"57" 98.24 5.28 1 "handmade"
"58" 91.32 7.66 5 "machine"
"59" 154.86 7.21 3 "handmade"
"60" 127.13 10.37 5 "machine"
"61" 110.73 10.28 5 "machine"
"62" 135.17 7.11 5 "handmade"
"63" 101.8 6.27 2 "handmade"
"64" 99.24 8.42 3 "machine"
"65" 116.8 11.15 1 "machine"
"66" 98.35 7.66 5 "machine"
"67" 136.31 12.78 3 "machine"
"68" 122.32 11.17 4 "machine"
"69" 146.31 12.75 3 "machine"
"70" 131.24 6.64 2 "handmade"
"71" 98.47 5.22 2 "handmade"
"72" 138.3 7.94 1 "handmade"
"73" 107.42 9.64 3 "machine"
"74" 114.88 5.79 3 "handmade"
"75" 149.18 6.25 4 "handmade"
"76" 123.87 11.3 3 "machine"
"77" 129.3 7.6 1 "handmade"
"78" 135.23 6.68 3 "handmade"
"79" 104.69 7.25 5 "machine"
"80" 133.76 7.18 5 "handmade"
"81" 105.42 9.98 3 "machine"
"82" 145.27 7.3 4 "handmade"
"83" 121.32 7.25 1 "handmade"
"84" 119.9 11.1 1 "machine"
"85" 137.05 7.36 2 "handmade"
"86" 145.67 8.75 2 "handmade"
"87" 149.99 8.86 1 "handmade"
"88" 138.53 7.91 5 "handmade"
"89" 73.46 8 1 "machine"
"90" 130.45 6.66 4 "handmade"
"91" 135.27 7.41 3 "handmade"
"92" 154.93 8.37 2 "handmade"
"93" 98.34 9.13 4 "machine"
"94" 105.96 6.04 3 "handmade"
"95" 93.21 9.63 1 "machine"
"96" 98.4 8.69 2 "machine"
"97" 100.66 8.7 1 "machine"
"98" 136.32 6.92 1 "handmade"
"99" 104.05 9.49 1 "machine"
"100" 89.39 7.46 3 "machine"
"101" 146.56 13.37 2 "machine"
"102" 117.75 6.15 1 "handmade"
"103" 102.8 11.64 1 "machine"
"104" 141.62 8.05 2 "handmade"
"105" 159.52 8.32 1 "handmade"
"106" 105.16 5.55 3 "handmade"
"107" 138.74 6.64 4 "handmade"
"108" 108.88 5.34 2 "handmade"
"109" 151.22 7.38 4 "handmade"
"110" 108.04 5.61 2 "handmade"
"111" 127.37 7.22 2 "handmade"
"112" 144.33 7.77 1 "handmade"
"113" 97.43 8.91 4 "machine"
"114" 131.21 9.52 5 "machine"
"115" 118.24 6.82 3 "handmade"
"116" 130.87 6.55 1 "handmade"
"117" 99.02 8.82 4 "machine"
"118" 149.03 7.09 3 "handmade"
"119" 96.75 8.72 3 "machine"
"120" 109.99 9.76 4 "machine"
"121" 114.96 11.61 2 "machine"
"122" 114.15 6.49 1 "handmade"
"123" 145.71 7.39 3 "handmade"
"124" 89.78 8.27 1 "machine"
"125" 144.84 7.17 2 "handmade"
"126" 142.38 7.3 5 "handmade"
"127" 106.96 10.91 2 "machine"
"128" 74.76 6.5 2 "machine"
"129" 128.06 6.49 5 "handmade"
"130" 98.14 5.71 4 "handmade"
"131" 112.6 9.95 4 "machine"
"132" 145 7.4 1 "handmade"
"133" 100.43 8.92 3 "machine"
"134" 103.5 5.87 1 "handmade"
"135" 93.92 8.94 1 "machine"
"136" 94.12 8.77 1 "machine"
"137" 92.96 8.47 4 "machine"
"138" 132.41 7.24 4 "handmade"
"139" 127.22 7.31 1 "handmade"
"140" 106.16 10.38 1 "machine"
"141" 99.04 5.52 2 "handmade"
"142" 108.21 10.36 1 "machine"
"143" 127.01 7.19 1 "handmade"
"144" 147.77 7.12 5 "handmade"
"145" 91.04 7.76 4 "machine"
"146" 131.75 7.15 2 "handmade"
"147" 119.12 10.48 2 "machine"
"148" 100.54 8.52 4 "machine"
"149" 99.85 8.74 4 "machine"
"150" 138.63 7.64 4 "handmade"
"151" 129.94 11.63 3 "machine"
"152" 113.69 10.83 3 "machine"
"153" 141.63 7.44 4 "handmade"
"154" 104.95 8.9 1 "machine"
"155" 106.48 5.91 3 "handmade"
"156" 157.59 8.25 4 "handmade"
"157" 77.4 8.4 1 "machine"
"158" 102.4 5.8 1 "handmade"
"159" 116.61 10.48 5 "machine"
"160" 95.66 8.99 2 "machine"
"161" 140.93 13.05 5 "machine"
"162" 160.22 8.05 5 "handmade"
"163" 71.25 3.75 2 "handmade"
"164" 93.97 9.12 4 "machine"
"165" 198.94 11.15 1 "handmade"
"166" 111.73 6.93 1 "handmade"
"167" 136.83 7.86 1 "handmade"
"168" 98.27 8.82 5 "machine"
"169" 102.22 9.05 2 "machine"
"170" 111.9 6.12 1 "handmade"
"171" 87.61 4.67 2 "handmade"
"172" 93.53 7.82 2 "machine"
"173" 117.28 10.24 4 "machine"
"174" 118.17 5.19 4 "handmade"
"175" 92.32 7.97 2 "machine"
"176" 139.52 7.49 3 "handmade"
"177" 92.17 7.63 5 "machine"
"178" 116.23 9.95 5 "machine"
"179" 142.95 6.71 5 "handmade"
"180" 114.66 8.66 4 "machine"
"181" 89.52 8.87 1 "machine"
"182" 99.31 10.75 2 "machine"
"183" 122.22 11.13 1 "machine"
"184" 129.75 7.49 1 "handmade"
"185" 90.57 8.14 3 "machine"
"186" 104.27 6.15 4 "handmade"
"187" 146.11 7.71 4 "handmade"
"188" 152.19 7.95 5 "handmade"
"189" 107.5 10.39 3 "machine"
