"danceability" "loudness" "energy" "tempo" "genre"
6.46 -4.56 -6.05 177.58 "Soul"
6.01 -4.78 -5.48 147.87 "Industrial"
4.64 -5.55 -5.07 178.88 "Country"
6.54 -6.04 -4.24 154.38 "Swing"
8.54 -6.19 -5.27 157.85 "Gospel"
6.89 -5.03 -4.65 158.18 "Industrial"
7.43 -7.22 -7.34 80.88 "Ska"
8.95 -7.69 -7.42 82.58 "R&B"
6.76 -5.24 -5.8 96.38 "Reggea"
9.45 -7.09 -6.51 116.5 "Rock"
7.85 -5.42 -6.52 86.7 "Country"
5.56 -5.82 -6.23 128.75 "Ambient"
7.29 -7.11 -6.45 154.23 "Industrial"
7.92 -4.16 -4.56 144.5 "Pop"
8.18 -4.3 -4.25 143.6 "Rock"
6.31 -4.96 -5.29 152.22 "Soul"
7.05 -5.87 -6.58 175.85 "Swing"
7.15 -6 -5.79 122.1 "Blues"
7.64 -6.18 -5.58 81.42 "Pop"
8.18 -6.28 -5.07 103.22 "Grunge"
6.25 -5.51 -6.64 130.21 "Folk"
5.09 -6.4 -5.94 135.6 "Blues"
7.34 -6.65 -6.67 119.36 "Grunge"
7.58 -3.66 -3.59 92.6 "Swing"
6.51 -8.07 -9.81 122.75 "Metal"
8.25 -8.91 -7.9 99.53 "Jazz"
9.11 -6.92 -7.25 112.2 "Gospel"
7.79 -5.91 -6.95 174.91 "HipHop"
7.26 -5.46 -7.11 82.52 "Punk"
7.29 -3.75 -4.18 137.83 "Reggea"
8.36 -6.51 -6.74 94.96 "Folk"
6.68 -5.11 -5.68 110.3 "Ska"
8.78 -5.19 -2.73 75.74 "Ska"
8.61 -6.83 -6.15 167.53 "Country"
6.17 -7.16 -6.96 117.54 "Rock"
6.42 -10.24 -8.58 94.04 "Disco"
8.26 -5.24 -4.53 109.12 "Folk"
4.83 -5.79 -5.08 172.76 "Metal"
4.97 -8.25 -8.89 159.74 "Classical"
5.64 -6.53 -5.7 137.73 "Grunge"
6.12 -5.57 -5.92 162.87 "Electronic"
8.8 -6.51 -5.26 138.29 "Country"
5.8 -6.59 -7.2 139.04 "Techno"
7.73 -5.18 -5.58 73.49 "Jazz"
8.23 -5.78 -5.11 149.5 "R&B"
7.43 -6.29 -8.61 86.53 "HipHop"
5.54 -3.65 -6.41 164.47 "Classical"
8.23 -7.16 -8.46 145.79 "Electronic"
5.81 -7.5 -7.67 99.63 "Grunge"
6.46 -6.75 -6.5 176.51 "Folk"
7.85 -4.28 -4.5 130.35 "Rock"
7.14 -6.41 -6.03 94.71 "Disco"
7.39 -5.02 -5.76 119.05 "Ska"
7.83 -5.04 -5.6 104.98 "Industrial"
7.51 -4.67 -5.61 110.59 "Blues"
6.56 -6.02 -7.33 160.47 "Rock"
7.5 -6.26 -6.86 72.99 "Punk"
8.06 -5.58 -3.5 138.41 "Blues"
8.39 -4.7 -5.17 142.85 "R&B"
5.98 -7.54 -6.76 126.52 "Reggea"
6.57 -5.95 -6.42 154.69 "Ska"
6.27 -7.35 -6.75 173.86 "Techno"
6.17 -7.22 -5.35 173.93 "Gospel"
5.52 -7.32 -7.01 112.84 "Jazz"
6.35 -5.8 -6.83 101.59 "Electronic"
6.31 -6.14 -5.84 117.29 "Funk"
7.59 -4.69 -4.25 132.63 "Soul"
6.83 -6.69 -5.79 130.39 "Blues"
4.84 -5.03 -6.44 160.82 "Jazz"
6.24 -4.98 -5.6 147.24 "Swing"
7.65 -5.69 -5.77 102.52 "Punk"
5.37 -6.4 -6.95 177.6 "Pop"
7.25 -5.02 -4.95 151.36 "Pop"
7.89 -4.82 -4.44 166.15 "Ambient"
7.85 -5.11 -6.08 116.63 "Rock"
5.98 -7.34 -7.27 113.65 "Soul"
8.24 -4.99 -6.16 89.93 "Ska"
6.71 -6.36 -5.91 122.71 "Metal"
6.07 -4.72 -5.34 162.8 "Punk"
5.11 -8.34 -7.77 135.64 "Funk"
7.35 -6.04 -4.74 135.77 "Soul"
8.86 -4.85 -6.78 86.02 "Electronic"
5.84 -7.68 -9.52 143.34 "Industrial"
6.69 -5.7 -5.91 134.24 "Swing"
7.88 -5.57 -7.14 107.68 "Ska"
7.06 -4.21 -4.24 139.58 "Reggea"
7.19 -6.06 -7.12 152.12 "Ska"
6.05 -5.49 -3.35 137.03 "Gospel"
7.65 -4.1 -4.31 118.33 "Rock"
8 -5.74 -2.5 172.38 "Punk"
7.84 -6.45 -5.28 72.29 "R&B"
5.88 -5.86 -5.48 154.24 "Ska"
6.88 -5.51 -4.79 94.04 "Jazz"
5.35 -8.12 -8.7 124.83 "Ambient"
4.73 -5.34 -7.04 177.38 "Ska"
6.42 -6.71 -6.81 132.5 "Folk"
6.78 -5.09 -6.04 143.89 "Ska"
6.68 -5.54 -4.42 73.77 "Funk"
5.75 -5.17 -5.99 143.49 "Jazz"
5.92 -6.84 -4.93 159.53 "HipHop"
7.15 -5.87 -3.96 130.21 "Funk"
7.19 -4.36 -5.41 173.38 "Reggea"
5.54 -7.17 -6.33 177.17 "Jazz"
5.83 -6.05 -5.7 157.72 "Ambient"
6.69 -7.45 -8.59 152.16 "Jazz"
6.21 -5.87 -5.1 89.26 "Electronic"
6.48 -9.94 -8.31 80.2 "Punk"
8.16 -7.61 -9.25 101.38 "Techno"
7.64 -8.73 -8.2 165.15 "HipHop"
6.17 -4.14 -3.41 115.94 "Disco"
5.48 -4.71 -4.32 149.32 "Soul"
7.25 -7.04 -5.31 125.65 "Blues"
9.37 -5.32 -3.12 74.16 "Country"
6.52 -5.12 -4.51 79.92 "Punk"
6.82 -5.69 -5.28 81.49 "Rock"
6.81 -7.73 -8.37 140.1 "Gospel"
6.98 -6.49 -6.19 169.74 "Ska"
6.37 -6.25 -5.82 149.11 "Jazz"
7.42 -6.4 -4.57 154.02 "Ska"
6.9 -6.58 -5.56 128.48 "Classical"
6.56 -5.95 -7.97 105.07 "Blues"
6.89 -5.29 -5.72 91.98 "Gospel"
6.51 -5.75 -4.41 166.86 "Rock"
8.59 -5.35 -5.54 156.03 "Ska"
6.4 -5.84 -6.47 164.34 "Swing"
9.93 -5.52 -5.29 148.17 "Swing"
5.69 -6.86 -6.64 78.42 "Jazz"
6.25 -6.85 -6.16 163.99 "Grunge"
5.65 -4.56 -4.69 103.47 "Punk"
8.21 -8.15 -9.97 131.83 "R&B"
6.88 -7.51 -6.29 73.79 "Soul"
8.3 -6.34 -4.27 80.9 "Funk"
8.49 -6.75 -6.2 148.73 "Blues"
7.13 -5.23 -4.22 86.7 "Electronic"
7.51 -4.21 -5.25 136.43 "Disco"
8.3 -4.18 -5.79 101.2 "Pop"
8.77 -5.9 -3.74 127.97 "Grunge"
7.35 -5.58 -6.98 77.53 "Ska"
8.15 -6.25 -5.92 83.62 "Techno"
6.78 -4.85 -4.62 165.68 "Gospel"
6.22 -5.39 -5.29 116.04 "Grunge"
6.95 -4.54 -5.2 108.64 "Ska"
6.67 -4.88 -5.34 152.56 "Soul"
6.54 -5.35 -4.85 112.79 "Ambient"
8.03 -10.18 -10.96 137.79 "Ambient"
6.25 -3.7 -2.23 137.61 "Techno"
7.33 -4.94 -6.39 167.97 "Techno"
7.37 -4.95 -6.49 125.07 "Blues"
6.57 -5.39 -5.56 74.79 "Funk"
7.51 -4.85 -5.52 103.75 "Pop"
7.26 -6.7 -7.44 107.66 "Rock"
8 -3.54 -1.76 148.73 "Jazz"
8.61 -5.47 -7.54 165.81 "Reggea"
7.79 -5.79 -7.85 142.18 "Techno"
6.29 -7.56 -7.82 126.65 "Swing"
6.29 -5.42 -5.72 111.83 "Rock"
7.08 -7.49 -8.59 179.49 "Disco"
8.98 -8.63 -5.53 74.35 "Pop"
8.12 -4.24 -4.06 123.4 "Ska"
6.25 -6.44 -8.07 144.62 "Metal"
7.96 -4.7 -2.87 155.91 "Rock"
7.09 -7.84 -7.2 85.14 "Classical"
7.08 -6.29 -5.2 137.14 "Classical"
7.14 -5.27 -5.11 147.07 "Disco"
7.16 -4.63 -5.52 80.33 "Soul"
7.73 -6.21 -8.88 165.58 "Swing"
6.8 -7.02 -8.1 171.68 "Pop"
6.15 -5.84 -5.14 74.95 "Electronic"
5.72 -3.45 -2.37 158.97 "Electronic"
7.99 -3.71 -3.89 108.05 "Jazz"
7.43 -4.85 -2.82 164.62 "Gospel"
5.85 -5.79 -5.91 133.47 "Jazz"
7.73 -5.01 -5.1 114.44 "Grunge"
7.32 -4.3 -4.6 88.75 "Industrial"
7.07 -5.96 -5.36 120.87 "Grunge"
6.84 -8.1 -8.02 126.96 "Blues"
7.77 -7.93 -8.22 132.61 "Classical"
8.21 -7.22 -8.07 125.66 "Swing"
7.7 -5.68 -4.97 112.42 "Punk"
6.19 -6.62 -7.13 101.58 "Classical"
6.26 -4.98 -7.17 109.22 "HipHop"
7.73 -8.07 -8.57 85.14 "Industrial"
6.71 -8.57 -9.52 96.65 "Country"
5.76 -4.46 -4.98 175.91 "Classical"
6.87 -7.17 -7.4 149.2 "Disco"
5.1 -6.56 -6.54 176.66 "Classical"
5.84 -5.63 -7.35 120.34 "Metal"
6.82 -5.53 -4.09 171.55 "Techno"
6.94 -4.51 -6.16 100.16 "Grunge"
8.19 -5.53 -5.37 173.34 "Disco"
6.08 -7.48 -8.01 152.36 "Rock"
6.41 -4.84 -4.72 168.79 "Rock"
7.9 -6.34 -7.9 101.85 "Techno"
4.89 -5.17 -5.84 145.85 "Industrial"
8.31 -5.14 -5.11 91.39 "R&B"
8.35 -7.1 -5.37 140.11 "Funk"
6.21 -6.55 -6.44 157.71 "Rock"
6.93 -5.96 -6.37 134.51 "Electronic"
6.21 -8.32 -8.22 91.58 "Reggea"
6 -5.95 -4.87 163.95 "Soul"
4.99 -6.26 -6.47 147.81 "Industrial"
7.79 -6.2 -5.95 85.77 "Metal"
6.35 -5.73 -4.45 151.84 "Blues"
5.41 -7.13 -5.95 126.32 "Electronic"
7.13 -5.19 -6.49 125.01 "Grunge"
6.94 -4.46 -5.01 157.12 "Electronic"
7.11 -6.35 -4.82 164.89 "Folk"
6.14 -6.62 -5.58 153.05 "Blues"
7.68 -7.24 -5.62 80.83 "Gospel"
6.02 -9.77 -10.81 133.41 "Funk"
8.71 -4.76 -4.56 135.22 "Swing"
6.26 -6.43 -7.04 155.07 "Pop"
7.92 -5.02 -4.79 142.85 "Techno"
6.72 -6.46 -6.12 99.94 "Grunge"
6.2 -6.26 -8.81 81.72 "Electronic"
7.23 -7.14 -5.49 175.01 "Pop"
7.57 -4.14 -3.6 72.38 "Punk"
6.75 -6.31 -7.9 119.7 "Jazz"
6.57 -8.78 -7.98 119.59 "Soul"
6.85 -7.47 -6.91 178.9 "Blues"
5.95 -6.13 -5.8 177.48 "Ska"
7.7 -6.71 -6.59 116.04 "Punk"
6.8 -7.91 -7.16 177.54 "Pop"
6.79 -7.68 -7.88 96.32 "Swing"
6.04 -4.89 -7.26 139.79 "Country"
6.67 -6.7 -7.44 169.12 "Grunge"
7.16 -7.72 -7.89 89.6 "Reggea"
7.62 -4.77 -4.07 164.71 "Blues"
6.91 -4.74 -4.79 78.38 "Blues"
6.42 -8.48 -7.93 142.45 "Folk"
7.43 -7.68 -6.86 174.46 "Blues"
7.07 -3.97 -3.31 133.26 "Techno"
7.33 -5.86 -5.02 124.31 "Folk"
7.94 -6.17 -6.45 139.27 "Folk"
8.12 -6.78 -6.06 79.44 "Country"
5.03 -4.63 -5.59 161.87 "Electronic"
6.1 -8.31 -7.47 143.79 "Ambient"
7.35 -5.73 -5.66 131.6 "Ambient"
6.82 -4.38 -4.97 132.96 "Ska"
7.79 -5.71 -6.53 110.33 "Pop"
7.33 -6.31 -5.68 74.44 "Punk"
7.56 -5.48 -6.56 135.96 "Metal"
8.3 -8.34 -10.38 138.03 "Grunge"
7.7 -5.49 -6.45 89.22 "Country"
5.45 -5.9 -7.82 118.55 "Electronic"
7.62 -4.8 -2.45 102.64 "HipHop"
8.26 -5.11 -4.86 109.34 "R&B"
8.59 -3.31 -1.47 76.53 "Funk"
6.13 -6.1 -6.04 156.95 "Classical"
6.44 -3.63 -3.78 143.65 "Reggea"
7.74 -5.54 -7.43 144.6 "Folk"
7.64 -6.14 -4.99 87.13 "Swing"
6.31 -6.65 -6.26 89.86 "Punk"
7.12 -8.52 -9.5 74.1 "Country"
8.06 -4.48 -4.53 146.88 "Country"
4.85 -6.42 -8.12 175.43 "Classical"
7.07 -6.15 -6.64 88.37 "Country"
8.7 -6.01 -7.48 72.26 "Disco"
8.74 -6.91 -6.98 158.95 "Funk"
6.71 -6.63 -6.58 81.43 "Disco"
7.31 -6.47 -7.49 131.07 "Soul"
7.67 -6.12 -7.97 137.09 "Soul"
7.99 -4.07 -4.04 133.32 "Techno"
6.75 -5.99 -6.64 74.82 "Industrial"
6.35 -7.44 -4.34 136.54 "Soul"
9.37 -4.07 -4.45 80.77 "Reggea"
8.27 -3.46 -4.71 150.63 "Gospel"
7.35 -7.05 -6.47 155.92 "Punk"
6.19 -7.4 -9.4 155.82 "Folk"
5.75 -8.69 -11.65 102.67 "Swing"
8.49 -5.19 -7.21 80.2 "HipHop"
7.21 -5.12 -5.12 146.08 "Pop"
6.7 -6.77 -6.85 140.25 "Country"
6.68 -7.14 -7.09 132.34 "Industrial"
6.67 -6.65 -5.75 154.31 "Electronic"
8.81 -5.51 -5.76 175.39 "R&B"
6.99 -5.85 -6.44 136.67 "Punk"
7.47 -3.92 -5.09 126.47 "Funk"
6.96 -6.65 -9.48 92.45 "Reggea"
7.34 -4.86 -2.04 110.14 "Metal"
6.08 -5.73 -5.88 84.98 "Techno"
6.92 -5.56 -7.67 165.2 "Metal"
6.72 -5.7 -4.43 171.97 "Ambient"
8.62 -5.64 -8.01 100.19 "Country"
8.24 -6.2 -6.54 100.42 "R&B"
6.77 -9.22 -11.4 158.17 "Techno"
5.14 -7.71 -8.19 116.33 "Industrial"
7.94 -7.3 -7.83 80.16 "Swing"
5.52 -4.84 -4.78 143.14 "R&B"
5.7 -5.55 -5.35 74.41 "Funk"
9.47 -6.68 -6.53 87.03 "R&B"
8.43 -5.28 -5.08 84.3 "Pop"
7.23 -6.83 -6.67 118.46 "R&B"
7.11 -6.6 -7.66 164.06 "Techno"
7.95 -5.14 -3.97 116.94 "Rock"
6.56 -5.32 -5.49 74.38 "Pop"
6.39 -5.8 -5.15 151.72 "Funk"
7 -3.43 -3.53 135.4 "Metal"
7.31 -4.14 -5.11 175.32 "Industrial"
6.57 -6.42 -5.99 168.68 "Ska"
8.34 -6.14 -5.97 80.3 "Metal"
8.16 -4.08 -4.16 84.87 "Folk"
6.38 -5.69 -6.68 138.95 "Grunge"
6.49 -6.87 -6.16 120.11 "Ambient"
8.53 -4.32 -4.22 160.87 "Country"
7.14 -5.06 -6.29 122.29 "Folk"
6.22 -7.89 -7.72 127.55 "Classical"
7.4 -6.79 -6.83 114.54 "Blues"
7.98 -5.57 -4.69 157.94 "Funk"
6.76 -7.43 -6.19 87.47 "HipHop"
5.79 -6.98 -6.76 167.55 "Rock"
6.15 -7.5 -7.95 141.26 "Disco"
6.67 -5.83 -7.2 111.08 "Folk"
6.35 -5.35 -5.38 172.89 "Industrial"
6.84 -5.95 -6.61 96.41 "Soul"
6.44 -4.72 -3.14 129.05 "Ambient"
6.46 -3.52 -1.99 176.62 "Industrial"
6.19 -5.71 -3.11 112.65 "Classical"
5.69 -8.67 -8.37 74.53 "Electronic"
6.14 -6.55 -3.99 151.97 "Country"
7.65 -5.6 -5.86 124.95 "Disco"
6.84 -5.4 -6.86 167.31 "Folk"
6.78 -5.01 -3.04 140.03 "Ambient"
6.78 -5.59 -8.03 170.5 "Rock"
6.81 -5.74 -3.91 93.53 "Reggea"
6.14 -6.86 -7.46 136.92 "Blues"
7.07 -5.27 -7.93 82.12 "Metal"
7.64 -7.05 -6.51 106.19 "Swing"
5.56 -5.6 -6.89 109.33 "Electronic"
8.73 -4.04 -3.78 151.37 "Swing"
8.2 -5.25 -6.3 161.16 "Swing"
6.97 -7.61 -9.01 140.96 "R&B"
6.52 -8.38 -6.56 77.76 "Rock"
7.84 -3.78 -3.55 106.87 "Blues"
7.4 -7.39 -7.24 125.44 "Blues"
7.44 -3.62 -3.35 95.42 "HipHop"
7.7 -5.75 -6.38 127.66 "Ska"
5.58 -5.73 -5.66 136.85 "Ambient"
5.18 -8.82 -10.46 143.88 "Blues"
6.11 -9.04 -7.18 149.52 "Ska"
7 -6.05 -5.67 102.44 "Electronic"
5.54 -7.72 -8.04 160.24 "Swing"
8.6 -5.51 -4.3 75.67 "Rock"
6.3 -5.78 -4.28 135.37 "Techno"
7.13 -4.39 -5.91 142.9 "Ska"
6.9 -7.26 -9.48 129.24 "Metal"
7.77 -5.05 -5.41 80.73 "Country"
7.63 -5.37 -6.25 114.28 "Country"
4.93 -8.03 -8.53 108.72 "Metal"
7.78 -4.23 -3.89 117.69 "Ska"
7.08 -7.74 -8.38 112.08 "Pop"
6.65 -6.73 -5.32 72.15 "Ska"
6.83 -5.82 -7.61 136.63 "Industrial"
7.11 -4.09 -3.04 100.77 "Industrial"
6.31 -7.81 -8.53 106.41 "HipHop"
5.82 -6.78 -6.32 107.48 "Ambient"
5.89 -8.33 -5.96 177.07 "Metal"
6.22 -4.03 -4.17 151.06 "R&B"
7.8 -6.89 -8.06 152.58 "Industrial"
6.17 -5.84 -3.8 113.37 "Soul"
8.45 -5.35 -4.97 104.83 "Punk"
5.78 -4.38 -3.43 165.12 "Classical"
8.96 -3.2 -2.33 104.68 "HipHop"
6.03 -6.12 -7.88 125.9 "Disco"
5.96 -8.55 -10.16 100.86 "Grunge"
7.14 -3.75 -2.99 115.97 "Metal"
6.31 -11.33 -12.1 88.79 "Rock"
6.49 -8.31 -6.99 170.08 "Grunge"
8.25 -5.13 -6.32 77.47 "Reggea"
7.88 -6.13 -5.85 129.06 "Classical"
8.72 -4.28 -3.53 85.3 "Metal"
4.84 -7.51 -7.38 111.32 "Metal"
8.02 -5.68 -4.29 101.92 "Punk"
6.77 -8.61 -9.21 106 "Soul"
8.4 -5.6 -4.27 129.12 "Funk"
7.57 -5.86 -3.6 80.37 "Swing"
7.15 -4.87 -4.65 120.6 "Techno"
6.93 -6.1 -6.28 151.07 "Reggea"
7.12 -7.11 -6.85 171.09 "Swing"
6.51 -6.31 -8.88 168.84 "Reggea"
7.25 -7.6 -6.58 72.48 "Country"
6.5 -5.45 -3.89 178.63 "Soul"
7.86 -5.05 -5.22 98.65 "R&B"
4.53 -7.35 -8.68 110.76 "Funk"
7.82 -6.19 -6.39 77.96 "Jazz"
7.79 -4.74 -5.07 102.56 "Pop"
5.79 -7.35 -6.09 139.74 "Rock"
7.12 -7.07 -6.79 168.24 "Funk"
8.17 -5.59 -6.61 153.02 "Pop"
8.36 -6.22 -6.56 93.48 "R&B"
5.08 -5.64 -7.76 150.39 "Ambient"
7.19 -8.05 -6.37 149.76 "Swing"
7.64 -7.7 -8.64 100.5 "Country"
7.2 -6.33 -6.9 112.72 "Industrial"
6.47 -4.86 -5.08 159.35 "HipHop"
7.93 -5.32 -4.73 82.37 "Pop"
8.86 -3.69 -2.54 95.99 "R&B"
7.89 -7.59 -7.3 98.17 "Jazz"
6.61 -6.55 -9.29 167.26 "Blues"
5.55 -8.14 -8.12 131.99 "Punk"
