"lon" "lat"
"1" 85.7147 39.3657
"2" 85.8276 39.3471
"3" 86.3501 39.9672
"4" 86.6064 40.0925
"5" 85.9727 39.4317
"6" 85.9486 39.2776
"7" 85.9695 39.5594
"8" 86.6919 40.1814
"9" 86.3354 39.7999
"10" 85.9395 39.4094
"11" 85.6962 39.4193
"12" 85.9887 39.5991
"13" 86.4431 39.931
"14" 86.2043 39.5552
"15" 86.5679 39.9605
"16" 86.4806 40.0049
"17" 86.3138 39.6741
"18" 86.1177 39.9095
"19" 86.4879 40.1263
"20" 86.1444 39.541
"21" 85.8608 39.4144
"22" 86.4904 40.0088
"23" 86.5953 39.9402
"24" 86.5894 39.991
"25" 86.4581 39.8769
"26" 86.5801 40.1245
"27" 86.5338 40.1205
"28" 86.4498 39.8773
"29" 86.3421 40.0019
"30" 86.1679 39.9642
"31" 86.4265 40.0008
"32" 86.1351 39.3538
"33" 86.4767 39.9862
"34" 86.5121 40.0194
"35" 86.5663 40.0367
"36" 86.3176 40.0503
"37" 85.8232 39.7354
"38" 86.6079 39.9757
"39" 86.6171 39.9743
"40" 86.2156 39.4559
"41" 86.0282 39.346
"42" 86.041 39.426
"43" 86.756 40.0415
"44" 85.7714 39.3098
"45" 86.3498 40.0135
"46" 86.5964 39.8624
"47" 86.4806 39.8036
"48" 86.0488 39.3717
"49" 86.2606 40.0036
"50" 86.0376 39.3811
"51" 85.6454 39.4783
"52" 86.2907 39.9526
"53" 86.7312 39.9826
"54" 86.4411 39.9383
"55" 86.3556 39.9666
"56" 86.5635 40.0418
"57" 86.1743 39.3215
"58" 85.9133 39.6339
"59" 86.0407 39.5678
"60" 86.6891 40.0187
"61" 86.6659 39.8896
"62" 86.2288 39.5332
"63" 86.4332 39.9917
"64" 86.5976 39.895
"65" 86.5487 40.164
"66" 86.4439 39.8172
"67" 86.2757 39.7977
"68" 85.8151 39.5235
"69" 86.1453 39.5698
"70" 86.4282 40.1526
"71" 86.6669 39.8665
"72" 86.4516 39.8937
"73" 86.4673 40.0262
"74" 86.6 40.0433
"75" 85.888 39.4502
"76" 86.441 39.8987
"77" 85.9021 39.5173
"78" 86.5449 39.8266
"79" 85.9708 39.4459
"80" 85.9787 39.5539
"81" 86.5003 40.0946
"82" 86.4852 40.0005
"83" 86.5425 39.9036
"84" 85.7682 39.429
"85" 86.2965 40.0954
"86" 86.0346 39.4092
"87" 86.4603 40.0213
"88" 86.3682 40.0296
"89" 86.6788 40.0552
"90" 86.6494 40.0098
"91" 86.0287 39.4426
"92" 86.0992 39.4942
"93" 86.6239 39.9056
"94" 86.4262 40.1107
"95" 86.0391 39.4746
"96" 86.0309 39.4372
"97" 86.5188 39.9002
