"armor.class" "hit.points" "strength" "dexterity" "constitution" "intelligence" "wisdom" "charisma" "size"
"aarakocra" 12 13 10 14 10 11 12 11 "Medium"
"aboleth" 17 135 21 9 15 18 15 18 "Large"
"acolyte" 10 9 10 10 10 10 14 11 "Medium"
"adult-black-dragon" 19 195 23 14 21 14 13 17 "Huge"
"adult-blue-dragon" 19 225 25 10 23 16 15 19 "Huge"
"adult-brass-dragon" 18 172 23 10 21 14 13 17 "Huge"
"adult-bronze-dragon" 19 212 25 10 23 16 15 19 "Huge"
"adult-copper-dragon" 18 184 23 12 21 18 15 17 "Huge"
"adult-gold-dragon" 19 256 27 14 25 16 15 24 "Huge"
"adult-green-dragon" 19 207 23 12 21 18 15 17 "Huge"
"adult-red-dragon" 19 256 27 10 25 16 13 21 "Huge"
"adult-silver-dragon" 19 243 27 10 25 16 13 21 "Huge"
"adult-white-dragon" 18 200 22 10 22 8 12 12 "Huge"
"air-elemental" 15 90 14 20 14 6 10 6 "Large"
"allosaurus" 13 51 19 13 17 2 12 5 "Large"
"ancient-black-dragon" 22 367 27 14 25 16 15 19 "Gargantuan"
"ancient-blue-dragon" 22 481 29 10 27 18 17 21 "Gargantuan"
"ancient-brass-dragon" 20 297 27 10 25 16 15 19 "Gargantuan"
"ancient-bronze-dragon" 22 444 29 10 27 18 17 21 "Gargantuan"
"ancient-copper-dragon" 21 350 27 12 25 20 17 19 "Gargantuan"
"ancient-gold-dragon" 22 546 30 14 29 18 17 28 "Gargantuan"
"ancient-green-dragon" 21 385 27 12 25 20 17 19 "Gargantuan"
"ancient-red-dragon" 22 546 30 10 29 18 15 23 "Gargantuan"
"ancient-shadow" 13 32 6 16 14 6 10 8 "Medium"
"ancient-silver-dragon" 22 487 30 10 29 18 15 23 "Gargantuan"
"ancient-white-dragon" 20 333 26 10 26 10 13 14 "Gargantuan"
"androsphinx" 17 199 22 10 20 16 18 23 "Large"
"animated-armor" 18 33 14 11 13 1 3 1 "Medium"
"ankheg" 14 39 17 11 13 1 13 6 "Large"
"ankylosaurus" 15 68 19 11 15 2 12 5 "Huge"
"annis-hag" 17 75 21 12 14 13 14 15 "Large"
"ape" 12 19 16 14 14 6 12 7 "Medium"
