"x" "y" "temperature" "year" "park"
"1" 512017.72 5030066.27 35.56 "2003" 0
"2" 517568.74 5034474.43 35.92 "2003" 0
"3" 512180.99 5035454.02 35.34 "2003" 1
"4" 511854.46 5031372.39 35.85 "2003" 0
"5" 513160.58 5035454.02 35.77 "2003" 1
"6" 511038.13 5036107.08 35.27 "2003" 0
"7" 518058.54 5031862.18 35.37 "2003" 0
"8" 511691.19 5034311.16 35.69 "2003" 0
"9" 515446.29 5031372.39 35.47 "2003" 1
"10" 516262.62 5035290.76 35.88 "2003" 0
"11" 512997.31 5032678.51 36.06 "2003" 0
"12" 512997.31 5032351.98 36.08 "2003" 0
"13" 512344.25 5037576.47 35.75 "2003" 0
"14" 514629.97 5031209.12 35.5 "2003" 0
"15" 516262.62 5031698.92 35.37 "2003" 0
"16" 511527.93 5034964.22 35.36 "2003" 0
"17" 515446.29 5035454.02 36.01 "2003" 0
"18" 516752.42 5030882.59 35.6 "2003" 0
"19" 515283.03 5033005.04 35.49 "2003" 1
"20" 517732.01 5032188.71 35.63 "2003" 0
"21" 515283.03 5032678.51 35.44 "2003" 0
"22" 515609.56 5032188.71 35.39 "2003" 0
"23" 512344.25 5036596.88 35.33 "2003" 0
"24" 517568.74 5037739.73 35.63 "2003" 0
"25" 516425.89 5036433.61 35.62 "2003" 1
"26" 517732.01 5031209.12 35.54 "2003" 0
"27" 512344.25 5031862.18 35.37 "2003" 0
"28" 513323.84 5032025.45 36.01 "2003" 0
"29" 513650.38 5035290.76 35.86 "2003" 1
"30" 512344.25 5037903 35.9 "2003" 0
"31" 510711.6 5037903 36.19 "2003" 0
"32" 516915.68 5033168.31 35.85 "2003" 1
"33" 512017.72 5036107.08 35.56 "2003" 0
"34" 514629.97 5030882.59 35.52 "2003" 0
"35" 516099.36 5036270.35 35.46 "2003" 1
"36" 511201.4 5032025.45 35.97 "2003" 0
"37" 515283.03 5036760.14 35.27 "2003" 0
"38" 512997.31 5033984.63 35.73 "2003" 1
"39" 513160.58 5030066.27 35.63 "2003" 0
"40" 513813.64 5033658.1 35.85 "2003" 0
"41" 517732.01 5037413.2 35.77 "2003" 0
"42" 511364.66 5035943.82 34.85 "2003" 0
"43" 512670.78 5037739.73 35.84 "2003" 0
"44" 515609.56 5034637.69 35.62 "2003" 0
"45" 510874.87 5032188.71 35.94 "2003" 0
"46" 518385.07 5037249.94 35.38 "2003" 0
"47" 513650.38 5033821.37 35.66 "2003" 0
"48" 514956.5 5032188.71 35.29 "2003" 0
"49" 518385.07 5031535.65 35.21 "2003" 0
"50" 514956.5 5035290.76 36.38 "2003" 0
"51" 517078.95 5032188.71 35.55 "2003" 0
"52" 517078.95 5031045.86 35.42 "2003" 0
"53" 515119.76 5030229.53 35.39 "2003" 0
"54" 517732.01 5034474.43 35.77 "2003" 0
"55" 514956.5 5029903 35.46 "2003" 0
"56" 513813.64 5030882.59 35.88 "2003" 0
"57" 515772.82 5035290.76 35.94 "2003" 0
"58" 513487.11 5033168.31 36.24 "2003" 0
"59" 518221.8 5037903 35.4 "2003" 0
"60" 518058.54 5034800.96 35.79 "2003" 0
"61" 515936.09 5036596.88 35.59 "2003" 0
"62" 511364.66 5037903 35.76 "2003" 0
"63" 516262.62 5036760.14 35.64 "2003" 0
"64" 518548.33 5036270.35 35.45 "2003" 0
"65" 514140.17 5032188.71 30.98 "2022" 0
"66" 518548.33 5032351.98 30.91 "2022" 0
"67" 515609.56 5036433.61 30.85 "2022" 0
"68" 511691.19 5035290.76 30.43 "2022" 0
"69" 513650.38 5033168.31 31.41 "2022" 0
"70" 511854.46 5036760.14 30.67 "2022" 0
"71" 516099.36 5034964.22 31.19 "2022" 0
"72" 512507.52 5032515.24 30.92 "2022" 1
"73" 517078.95 5035617.29 31.32 "2022" 1
"74" 511691.19 5031045.86 31.17 "2022" 0
"75" 517895.27 5032841.78 31.22 "2022" 0
"76" 513813.64 5032188.71 31.16 "2022" 0
"77" 515772.82 5033984.63 30.77 "2022" 0
"78" 516752.42 5035780.55 31.14 "2022" 1
"79" 510711.6 5030882.59 31.05 "2022" 0
"80" 515283.03 5035290.76 31.47 "2022" 0
"81" 518711.6 5037249.94 30.79 "2022" 0
"82" 514140.17 5031535.65 31.07 "2022" 0
"83" 517405.48 5033494.84 31.48 "2022" 0
"84" 514466.7 5032188.71 30.86 "2022" 0
"85" 513813.64 5031535.65 31.32 "2022" 0
"86" 516915.68 5030229.53 30.97 "2022" 0
"87" 518221.8 5032188.71 30.82 "2022" 0
"88" 512834.05 5033005.04 31.02 "2022" 1
"89" 517405.48 5031535.65 30.45 "2022" 0
"90" 515119.76 5034311.16 31.44 "2022" 0
"91" 515772.82 5033658.1 30.89 "2022" 0
"92" 518058.54 5034474.43 30.9 "2022" 0
"93" 517895.27 5036107.08 30.99 "2022" 1
"94" 512180.99 5035290.76 30.72 "2022" 1
"95" 516262.62 5031372.39 30.87 "2022" 0
"96" 517405.48 5037249.94 31.21 "2022" 0
"97" 513487.11 5037086.67 31 "2022" 0
"98" 514956.5 5034964.22 31.36 "2022" 0
"99" 512180.99 5033984.63 30.87 "2022" 0
"100" 516915.68 5035943.82 31.06 "2022" 1
"101" 510711.6 5034474.43 31.18 "2022" 0
"102" 514793.23 5034964.22 31.47 "2022" 0
"103" 517405.48 5033331.57 31.57 "2022" 0
"104" 513323.84 5033005.04 31.36 "2022" 0
"105" 517242.21 5036107.08 31.1 "2022" 1
"106" 514303.44 5031372.39 30.92 "2022" 0
"107" 511201.4 5037576.47 31.46 "2022" 0
"108" 518385.07 5031045.86 30.86 "2022" 0
"109" 516915.68 5030556.06 31.05 "2022" 0
