"price" "dimension" "weight" "processing"
"1" 124.51 5.09 21.76 "ultrasonic"
"2" 201.49 6.8 40.66 "ultrasonic"
"3" 149.94 2.26 38.66 "ultrasonic"
"4" 118.15 4.74 12.03 "handmade"
"5" 140.88 5.39 23.08 "ultrasonic"
"6" 169.04 4.12 27.9 "handmade"
"7" 139.38 5.93 16.53 "handmade"
"8" 208.45 4.73 44.49 "handmade"
"9" 172.43 5.51 34.48 "ultrasonic"
"10" 135.99 4.92 19.06 "handmade"
"11" 88.28 2.47 14.29 "handmade"
"12" 151.26 6.97 20.88 "ultrasonic"
"13" 143.96 5.55 23.27 "ultrasonic"
"14" 164.2 7.43 12.03 "handmade"
"15" 157.97 3.47 36.39 "ultrasonic"
"16" 196.17 7.76 36.54 "ultrasonic"
"17" 102.47 2.87 25.58 "ultrasonic"
"18" 204.59 4.36 41.72 "handmade"
"19" 197.76 4.5 42.69 "handmade"
"20" 146.02 4.21 30.16 "ultrasonic"
"21" 138.77 7.61 17.31 "ultrasonic"
"22" 188.95 6.75 38.1 "ultrasonic"
"23" 93.13 3.05 19.36 "ultrasonic"
"24" 197.8 6.4 39.89 "ultrasonic"
"25" 144.24 2.37 39.67 "ultrasonic"
"26" 171.73 7.92 20.34 "ultrasonic"
"27" 111.3 2.63 17.21 "handmade"
"28" 194.31 7.17 33.24 "ultrasonic"
"29" 155.95 6.35 23.28 "ultrasonic"
"30" 153.88 3.12 32.27 "handmade"
"31" 103.64 4.29 20.69 "ultrasonic"
"32" 175.77 3.38 38.36 "handmade"
"33" 172.95 5.08 38.53 "ultrasonic"
"34" 191.84 4.48 43.66 "handmade"
"35" 180.33 7.47 21.11 "handmade"
"36" 175.08 4.36 42.27 "ultrasonic"
"37" 167.54 2.36 35.32 "handmade"
"38" 85.61 2.85 12.23 "handmade"
"39" 194.34 7.83 27.84 "handmade"
"40" 183.71 2.16 42.81 "handmade"
"41" 113.51 3.86 15.3 "handmade"
"42" 153.55 7.65 15.41 "ultrasonic"
"43" 217.08 7.95 33.63 "handmade"
"44" 183.03 4.93 37.08 "handmade"
"45" 160.97 2.26 39.33 "handmade"
"46" 207.28 4.29 43.06 "handmade"
"47" 196.6 7.75 28.9 "ultrasonic"
"48" 221.36 6.97 38.83 "handmade"
"49" 168.12 6.69 29.85 "ultrasonic"
"50" 108.81 4.8 19.68 "ultrasonic"
"51" 140.3 4.45 27.98 "ultrasonic"
"52" 126.74 7.41 12.1 "ultrasonic"
"53" 204.63 6.19 37.81 "handmade"
"54" 156.9 2.16 44.14 "ultrasonic"
"55" 211.76 6.76 44.14 "ultrasonic"
"56" 170.25 5.31 34.44 "ultrasonic"
"57" 132.36 2.99 27.43 "handmade"
"58" 171.48 4.61 39.7 "ultrasonic"
"59" 216.25 4.39 44.9 "handmade"
"60" 238.14 7.03 43.51 "handmade"
"61" 88.63 2.72 20.1 "ultrasonic"
"62" 139.98 4.73 31.31 "ultrasonic"
"63" 129.65 4.38 20.34 "handmade"
"64" 141.26 5.44 21.43 "handmade"
"65" 126.99 5.49 16.06 "handmade"
"66" 150.29 3.32 30.21 "handmade"
"67" 137.43 3.12 23.83 "handmade"
"68" 126.22 6.14 20.09 "ultrasonic"
"69" 137.55 4.67 21.62 "handmade"
"70" 147.76 6.08 20.31 "handmade"
"71" 119.13 4.63 15.33 "handmade"
"72" 83.52 2.78 16.51 "ultrasonic"
"73" 111.37 2.16 18.61 "handmade"
"74" 97.12 2.44 20.13 "ultrasonic"
"75" 120.34 4.38 17 "handmade"
"76" 158.77 5.83 30.14 "ultrasonic"
"77" 243.2 7.57 41.47 "handmade"
"78" 162.38 5.28 31.09 "ultrasonic"
"79" 158.72 4.66 35.08 "ultrasonic"
"80" 108.33 4.28 17.75 "ultrasonic"
"81" 196 7.98 31.67 "ultrasonic"
"82" 175.73 4 37.06 "handmade"
"83" 249.86 7.97 40.21 "handmade"
"84" 97.38 4.07 18.18 "ultrasonic"
"85" 219.36 7.65 36.3 "handmade"
"86" 138.04 4.37 18.5 "handmade"
"87" 185.2 5.83 35.27 "handmade"
"88" 171.98 6.73 22.82 "handmade"
"89" 77.22 3.3 12.14 "ultrasonic"
"90" 161.86 3.98 36.52 "ultrasonic"
"91" 166.14 5.5 28.32 "handmade"
"92" 108.87 2.95 19.07 "handmade"
"93" 192.33 7.77 28.35 "ultrasonic"
"94" 200.37 5.66 34.6 "handmade"
"95" 199.16 6.48 38.85 "handmade"
"96" 144.95 7.3 16.74 "handmade"
"97" 221.86 6.93 43.76 "ultrasonic"
"98" 192.27 7.98 31.14 "ultrasonic"
"99" 121.64 2.04 33.09 "ultrasonic"
"100" 191.15 4.79 40.19 "handmade"
"101" 187.41 7.63 27.31 "handmade"
"102" 172.14 3.88 37.48 "handmade"
"103" 170.19 5.42 35.33 "ultrasonic"
