"name" "diet" "period" "length"
"aardonyx" "herbivorous" "Jurassic" 8
"abelisaurus" "carnivorous" "Cretaceous" 9
"achelousaurus" "herbivorous" "Cretaceous" 6
"achillobator" "carnivorous" "Cretaceous" 5
"acrocanthosaurus" "carnivorous" "Cretaceous" 12
"aegyptosaurus" "herbivorous" "Cretaceous" 15
"afrovenator" "carnivorous" "Cretaceous" 9
"agilisaurus" "herbivorous" "Jurassic" 1.5
"alamosaurus" "herbivorous" "Cretaceous" 21
"albertaceratops" "herbivorous" "Cretaceous" 7
"albertosaurus" "carnivorous" "Cretaceous" 9
"alectrosaurus" "carnivorous" "Cretaceous" 5
"alioramus" "carnivorous" "Cretaceous" 6
"allosaurus" "carnivorous" "Jurassic" 12
"alvarezsaurus" "carnivorous" "Cretaceous" 2
"amargasaurus" "herbivorous" "Cretaceous" 12
"ammosaurus" "herbivorous" "Jurassic" 5
"ampelosaurus" "herbivorous" "Cretaceous" 15
"amygdalodon" "herbivorous" "Jurassic" 15
"anchiceratops" "herbivorous" "Cretaceous" 6
"anchisaurus" "herbivorous" "Jurassic" 2
"ankylosaurus" "herbivorous" "Cretaceous" 7
"anserimimus" "carnivorous" "Cretaceous" 3.5
"antarctosaurus" "herbivorous" "Cretaceous" 18
"apatosaurus" "herbivorous" "Jurassic" 21
"aragosaurus" "herbivorous" "Cretaceous" 18
"aralosaurus" "herbivorous" "Cretaceous" 8
"archaeoceratops" "herbivorous" "Cretaceous" 1.3
"archaeopteryx" "carnivorous" "Jurassic" 0.5
"archaeornithomimus" "carnivorous" "Cretaceous" 3.5
"argentinosaurus" "herbivorous" "Cretaceous" 35
"arrhinoceratops" "herbivorous" "Cretaceous" 6
"atlascopcosaurus" "herbivorous" "Cretaceous" 3
"aucasaurus" "carnivorous" "Cretaceous" 5
"austrosaurus" "herbivorous" "Cretaceous" 15
"avaceratops" "herbivorous" "Cretaceous" 2.3
"avimimus" "omnivorous" "Cretaceous" 1.5
"bactrosaurus" "herbivorous" "Cretaceous" 6
"bagaceratops" "herbivorous" "Cretaceous" 1
"bambiraptor" "carnivorous" "Cretaceous" 1
"barapasaurus" "herbivorous" "Jurassic" 14
"barosaurus" "herbivorous" "Jurassic" 24
