"avg_exp" "age" "perc_taxes" "income" "owns_house"
1339 36 19.8 26.2 0
897 47 15.64 20.9 0
1621 61 28.01 36.5 0
1342 34 19.55 25.9 0
944 44 15.77 21.1 0
1195 46 20.17 26.5 1
1044 52 18.41 24.5 0
1103 43 17.85 23.6 0
969 65 20.7 27.4 1
1229 44 19.71 25.9 0
1342 49 22.03 29.1 0
914 55 17.2 22.9 0
1637 41 24.51 32.2 0
890 35 14.49 19.3 1
950 63 19.38 25.6 0
1494 22 20.35 26.8 0
1290 54 22.94 29.9 1
846 45 14.68 19.7 0
770 55 15.19 20.4 0
1465 49 24.3 31.7 1
961 66 20.16 26.6 0
1465 33 21.26 27.9 0
763 61 16.34 21.8 0
1330 65 25.04 32.7 0
1176 45 19.1 25.3 0
1516 20 20.45 26.9 0
1076 50 18.64 24.6 0
1449 39 21.76 28.6 0
958 53 17.81 23.5 0
1601 48 26.08 34 1
1447 52 23.75 31.3 0
675 48 12.6 17.2 0
827 56 17.01 22.5 1
1193 42 18.88 24.9 0
850 37 13.34 18.1 0
985 39 15.47 20.8 0
1150 28 17.15 22.7 1
1315 36 20.37 26.9 1
1264 39 19.29 25.4 0
1042 43 17 22.6 0
1142 41 18.64 24.7 1
2055 25 28.15 36.6 0
1533 37 22.57 29.7 0
1031 64 20.77 27.2 0
1217 51 21.27 28.1 1
694 65 17.08 22.7 1
1168 42 19.16 25.4 1
1247 44 19.66 26.1 0
1027 43 17.25 23.1 1
1188 33 17.6 23.2 0
1322 37 20.5 27 1
769 66 17.63 23.4 0
1140 39 18.39 24.3 1
905 58 17.95 23.7 0
1422 35 21.58 28.4 1
1475 25 20.46 26.9 0
1122 42 17.86 23.8 0
926 54 18.15 23.9 1
1245 56 22.11 28.9 0
888 62 18.33 24.3 0
1663 27 23.25 30.4 0
860 65 18.49 24.6 0
1163 38 17.95 23.7 0
633 47 12.6 17.3 1
958 50 16.69 22.4 0
875 37 14.51 19.4 1
1768 25 25.25 32.7 1
1271 40 20.42 26.8 1
1273 46 20.64 27.1 0
1251 36 18.77 24.9 0
625 36 10.24 14.1 0
1112 48 18.77 24.8 0
1171 44 18.88 25 0
775 49 14.95 20.1 1
1230 44 19.77 26 0
1641 36 23.9 31.4 0
974 58 18.88 24.9 0
1302 53 22.16 29.1 0
923 56 17.66 23.4 0
1321 31 19.22 25.3 0
1509 55 25.31 33.1 0
1485 28 21 27.6 0
1521 40 22.93 30.1 0
1165 31 16.94 22.5 0
1699 23 23.19 30.4 0
1306 63 24.21 31.7 0
1524 38 22.56 29.7 0
1202 42 18.85 25 0
1515 41 23.03 30.2 0
1041 49 18.67 24.6 1
686 61 15.21 20.5 0
1017 62 20.75 27.3 1
1309 33 19.12 25.4 0
1256 31 18.14 24.1 0
1622 30 23.69 31 1
1216 32 17.62 23.6 0
983 65 20.29 26.7 0
665 45 12.14 16.6 0
882 37 14.35 19.5 1
1083 39 16.63 22.3 0
937 56 17.74 23.7 0
1037 48 17.82 23.7 0
1405 42 21.6 28.5 0
797 38 12.82 17.5 0
1433 36 21.29 27.9 0
1018 65 21.51 28.2 1
1098 54 19.52 25.8 0
1063 65 21.96 28.7 1
1461 41 22.94 30 1
1046 41 16.64 22.3 0
1393 35 20.52 27.1 0
1079 42 17.25 23.1 0
982 50 17.31 23 0
500 59 12.6 17.1 0
900 51 17.04 22.7 1
1209 50 20.37 26.9 0
1234 57 22.87 29.9 1
1045 56 19.17 25.5 0
1175 46 19.15 25.4 0
1198 37 18.25 24.2 0
878 57 17.23 23 0
1365 46 22.45 29.4 1
1153 62 21.84 28.7 0
1298 41 20.08 26.5 0
1334 35 19.94 26.2 0
1225 50 20.58 27.1 0
1472 38 21.93 28.9 0
1526 51 24.81 32.6 0
1640 28 23.76 31 1
1277 28 17.8 23.8 0
1249 52 21.9 28.8 1
1061 48 18.61 24.6 1
945 54 18.15 24.2 1
1486 25 21.29 27.9 1
1250 57 22.17 29.1 0
930 57 17.86 23.8 0
1171 55 21.52 28.1 1
999 53 18.73 24.9 1
1222 66 23.67 31 0
1428 30 20.38 26.8 0
1231 39 19.4 25.7 1
1205 49 19.92 26.5 0
899 37 14.59 19.8 1
1193 46 19.52 25.9 0
1196 52 21.15 27.9 1
1130 38 18.13 24 1
995 52 17.74 23.7 0
1330 50 22.02 28.9 0
1434 37 21.44 28.3 0
1358 35 20.02 26.5 0
1369 55 23.62 30.8 0
1344 43 21.17 27.7 0
989 52 17.71 23.5 0
1563 37 23.75 31.2 1
1541 58 26.43 34.3 0
1579 32 23.36 30.6 1
846 53 15.8 21.2 0
1291 50 21.42 28.3 0
1289 48 21.11 27.9 0
1106 52 19.19 25.5 0
1482 49 23.76 31.2 0
1515 39 23.59 30.7 1
1119 42 17.89 23.6 0
1001 49 17.2 23 0
854 32 12.96 17.5 0
948 36 15.14 20.4 1
757 66 17.49 23.2 0
1591 24 22.58 29.7 1
1164 33 17.7 23.7 1
1036 55 19.13 25.2 0
972 56 18.19 24.3 0
1601 53 26.18 34.1 0
960 46 16.26 21.8 0
1367 48 22.98 29.9 1
1254 36 18.79 24.9 0
1037 38 16.73 22.4 1
1139 42 18.01 24 0
1806 36 26.96 35.1 1
1091 53 19.31 25.6 0
1457 29 21.13 28 1
1124 35 17.38 23.3 1
1133 32 16.49 22 0
1152 49 19.36 25.6 0
1111 34 16.5 22.1 0
1355 50 23.06 30.3 1
635 57 13.87 18.7 0
1170 45 18.99 25.2 0
1046 50 18.77 24.9 1
1538 38 23.4 30.7 1
1290 50 21.49 28.3 0
1342 32 19.44 25.7 0
1443 44 23.13 30.4 1
1579 32 22.79 29.8 0
1399 42 21.64 28.5 0
990 56 18.48 24.5 0
1153 52 20 26.4 0
979 41 15.69 21.1 0
1471 37 22.44 29.5 1
1317 36 19.65 25.9 0
1459 38 21.88 28.7 0
