"alcohol" "ibu"
6.16 50.32
3.72 42.96
8.89 68.51
3.14 24.09
7.51 48.49
5.92 38.44
5.71 21.45
7.1 36.73
8.78 56.42
5.28 46.43
6.4 37.3
6.99 43.43
5.76 30.72
5.56 38.04
6.56 51.13
2.3 14.21
4.74 33.8
7.4 47.22
6.1 44.79
7.67 44.67
5.86 48.19
4.77 39.3
6.72 36.16
2.09 19.43
5.86 47.2
6.41 56.73
7.16 45.15
6.32 45.05
8.6 62.42
7.48 47.8
4.63 31.77
4.3 42.14
7.68 29.71
6.3 52.49
6.14 41.66
4.26 37.01
4.78 39.78
4.47 31.51
6.47 47.96
4.1 23.56
6.78 41.06
6.01 38.2
6.7 51.11
6.77 35.07
5.09 34.59
5.49 42.36
7.42 53.17
4.47 30.48
5.22 38.09
6.23 42.83
5.62 34.12
5.26 31.9
5.59 37.31
5.67 36.47
5.42 38.66
6.81 49.27
6.27 49.82
6.16 29.45
5.41 29.86
5.45 44.67
7.9 50.72
6.82 43.63
6.27 40.31
7.8 56.39
8.33 39.86
7.49 45.45
6.47 43.68
6.34 35.1
5.58 38.44
6.48 45.6
7.37 44.4
4.06 39.58
4.56 35.69
7.58 92.58
10.99 119.28
11.22 104.87
7.75 100.22
6.32 88.98
8.91 89.89
9.73 98.62
6.76 91.59
8.58 88.4
9.79 93.38
9.15 103.54
10.71 113.48
8.9 103.73
8.3 94.8
8.85 100.22
11.17 100.31
9.95 98.57
11.15 122.2
7.86 83.31
7.38 78.79
7.7 70.97
12.01 115.25
10.24 111.47
10.26 113.28
11.09 105.22
9.13 110.79
10.53 103.01
9.35 95.88
9.3 90.43
12.28 134.29
9.65 122.2
10.92 120.38
8.74 104.24
10.51 109.88
9.73 113.25
13.51 118.23
11.67 108.07
9.5 114.72
6.82 89.86
8.65 77.84
11.02 118.05
9.82 108.07
9.94 93.03
8.58 117.16
8.26 89.1
8.12 107.72
9.33 107.31
9.36 98.04
8.08 99.76
7.84 102.54
6.75 93.5
11.83 116.7
