"16/01/2022" "23/01/2022" "30/01/2022" "06/02/2022" "13/02/2022" "20/02/2022" "27/02/2022" "06/03/2022" "13/03/2022" "20/03/2022" "27/03/2022" "03/04/2022" "10/04/2022" "17/04/2022" "24/04/2022" "01/05/2022" "08/05/2022" "15/05/2022" "22/05/2022" "29/05/2022" "05/06/2022" "12/06/2022" "19/06/2022" "26/06/2022" "03/07/2022" "10/07/2022" "17/07/2022" "24/07/2022" "31/07/2022" "07/08/2022" "14/08/2022" "21/08/2022" "28/08/2022" "04/09/2022" "11/09/2022" "18/09/2022" "25/09/2022" "02/10/2022" "09/10/2022" "16/10/2022" "23/10/2022" "30/10/2022" "06/11/2022" "13/11/2022" "20/11/2022" "27/11/2022" "04/12/2022" "11/12/2022" "18/12/2022" "25/12/2022" "01/01/2023" "08/01/2023"
"Mojito" 4 8 5 7 9 10 10 11 11 13 15 12 18 18 20 16 21 28 29 37 39 44 38 44 40 47 45 41 45 49 50 35 26 20 16 14 10 12 11 10 12 13 7 9 9 7 9 8 9 16 9 7
"Gin.tonic" 9 10 9 13 12 10 9 11 13 10 11 13 14 15 13 12 15 18 15 19 18 21 20 21 21 20 20 21 23 21 23 21 18 17 15 13 17 22 20 24 27 25 24 24 21 22 25 32 36 40 24 18
"Spritz" 22 21 26 27 31 30 35 31 35 36 37 40 58 52 55 43 52 69 66 75 72 67 74 73 76 78 80 79 84 88 100 77 65 61 55 50 42 41 38 39 39 41 34 34 28 28 36 30 49 86 41 29
"Negroni" 17 15 16 17 20 21 17 16 19 18 15 21 23 22 22 20 26 24 22 28 23 24 24 25 24 27 28 26 27 35 34 27 24 24 22 20 20 20 20 21 22 19 16 18 17 14 17 15 22 36 18 13
"Punch" 7 7 7 7 5 6 6 7 5 6 24 8 6 5 7 5 6 7 6 6 5 5 8 6 6 6 7 6 7 7 7 8 8 6 5 6 6 7 6 5 6 7 7 7 8 10 11 15 14 14 12 9
"Pina.Colada" 3 3 4 3 3 4 4 4 4 5 5 5 4 4 5 5 7 6 6 7 10 11 12 10 12 12 11 14 12 15 18 12 9 7 5 6 4 5 5 5 4 6 4 4 2 3 3 3 2 6 4 4
"Martini" 12 11 15 13 15 15 16 14 16 16 15 15 19 15 17 17 18 17 20 21 17 19 20 22 19 20 18 20 22 28 35 26 21 18 16 19 15 16 16 16 15 16 15 14 13 13 14 15 16 27 16 13
"Cuba.libre" 2 1 2 3 2 3 2 2 2 2 3 3 3 2 3 3 4 4 4 4 5 4 5 4 6 5 6 7 8 6 8 6 5 3 3 4 2 3 2 1 3 4 2 2 2 1 2 2 2 4 3 2
"Cosmopolitan" 5 6 7 5 6 7 7 8 5 6 8 7 7 6 8 6 7 7 6 7 7 7 8 7 10 9 9 10 10 10 10 10 8 8 6 5 6 5 5 5 6 6 5 6 6 6 6 7 5 7 7 3
"Margarita" 6 9 9 9 9 10 7 10 8 8 10 10 11 10 12 11 11 11 15 20 15 14 18 16 16 17 17 16 18 16 17 16 10 12 9 10 9 9 9 7 8 9 6 8 6 7 8 6 8 10 7 6
"Daiquiri" 3 1 4 3 3 3 3 4 3 3 4 4 5 3 3 5 4 5 5 3 6 7 6 6 7 6 9 8 8 6 7 7 4 4 3 3 2 4 3 2 3 3 2 3 2 2 2 2 3 5 3 2
"Gimlet" 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1 0 0 1 1 1 0 1 0 1 0 0 1 0 1 1 1 1 1 0 0 1 1 0 0 0 1 0 0 0 1 0 0 1
"Manhattan" 2 3 2 3 2 3 4 4 4 4 3 3 4 2 3 2 2 3 2 3 3 3 3 2 2 3 3 3 3 4 5 4 3 3 3 3 3 4 2 2 3 2 2 1 1 1 2 2 3 4 3 3
"Old.Fashioned" 5 2 3 3 3 3 3 3 3 3 4 3 2 4 3 3 3 3 3 4 4 3 3 4 4 3 4 5 4 4 3 3 3 3 3 2 2 3 3 2 3 4 3 3 2 2 4 2 2 4 2 2
"Sex.on.the.Beach" 2 3 2 5 3 4 4 5 4 4 5 5 6 5 6 4 7 5 7 7 8 8 8 8 10 8 10 11 12 11 11 10 7 4 4 3 3 4 4 4 3 4 2 4 2 2 4 3 3 6 3 3
"Mimosa" 1 2 3 2 3 4 5 22 2 2 3 2 3 2 3 2 2 2 2 2 2 2 3 3 1 1 2 2 3 3 2 3 2 2 2 2 1 1 1 1 2 2 1 1 2 1 0 3 2 3 2 1
"Moscow.Mule" 5 5 7 7 7 7 24 11 9 7 8 9 9 10 9 10 12 13 12 15 15 18 17 18 17 17 18 17 22 21 21 16 14 10 9 11 7 7 6 8 8 9 6 5 6 4 6 7 7 12 8 4
