"alcohol" "density" "acidity"
9.27 0.9955 7.3
10.98 0.9954 8.02
13.08 0.987 3.74
11.74 0.9908 5.9
11.79 0.9909 5.21
10.72 0.9944 6.85
10.92 0.9944 7.66
10.17 0.9975 8.28
10.95 0.995 8.31
11.67 0.9943 7.1
9.78 0.998 6.11
13.12 0.9931 6.42
9.26 0.9961 7.24
10.26 0.9936 5.63
10.55 0.9915 4.69
10.08 0.9967 6.13
11.23 0.9907 6.74
11.11 0.9947 6.96
9.8 0.9934 5.56
10.67 0.9924 6.21
10.23 0.9981 6.02
10.84 0.9934 5.59
10.39 0.9984 7.44
10.67 0.9915 4.19
11.81 0.991 7.74
12.74 0.9894 7.64
10.28 0.9907 4.9
8.68 0.9953 5.05
11.39 0.9958 5.15
11.42 0.9953 7.23
9.32 0.9964 6.55
11.11 0.9944 8.08
10.11 0.9963 5.51
