"points" "price" "alcohol" "region"
88.154 70.565 10.311 "Puglia"
92.517 62.494 11.1 "Lombardia"
86.95 41.77 12.274 "Veneto"
88.046 32.535 13.605 "Marche"
88.605 30.2 12.72 "Sardegna"
94.107 54.739 12.181 "Abruzzo"
86.032 18.598 11.68 "Lombardia"
84.994 15.084 12.072 "ValledAosta"
90.153 48.969 11.237 "Campania"
88.674 19.775 12.372 "Abruzzo"
87.977 44.501 10.706 "Puglia"
89.7 36.414 11.39 "Veneto"
88.905 19.59 12.456 "EmiliaRomagna"
88.281 87.985 11.407 "Campania"
92.711 81.441 11.849 "Umbria"
89.551 56.908 11.469 "FriuliVeneziaGiulia"
90.515 35.51 11.088 "EmiliaRomagna"
90.502 33.264 12.012 "Umbria"
87.749 30.359 12.407 "Veneto"
89.232 28.999 13.01 "Liguria"
90.175 42.491 10.677 "Basilicata"
87.674 27.349 12.261 "Calabria"
89.092 24.284 11.778 "Molise"
92.184 117.644 11.867 "Sardegna"
86.809 12.79 10.063 "FriuliVeneziaGiulia"
84.857 9.013 12.817 "Lombardia"
87.475 21.36 11.472 "Abruzzo"
88.293 34.75 10.755 "TrentinoAltoAdige"
88.748 43.629 10.151 "FriuliVeneziaGiulia"
93.537 111.197 11.374 "Liguria"
86.997 25.898 11.568 "Lazio"
86.317 52.393 11.233 "Umbria"
89.74 50.162 14.26 "Piemonte"
87.579 22.25 12.485 "Lombardia"
88.58 19.141 11.995 "Toscana"
84.822 5.432 13.459 "Basilicata"
88.354 48.896 12.51 "Marche"
89.433 36.964 12.506 "Calabria"
88.465 11.838 11.166 "Lazio"
89.469 25.688 12.632 "Piemonte"
87.845 41.172 11.453 "Umbria"
88.924 25.915 13.053 "FriuliVeneziaGiulia"
86.714 24.971 11.189 "Abruzzo"
89.453 50.52 11.397 "TrentinoAltoAdige"
90.252 37.129 12.472 "EmiliaRomagna"
88.098 28.819 9.482 "Abruzzo"
89.617 118.188 9.036 "Molise"
84.51 19.113 10.502 "EmiliaRomagna"
84.932 16.392 11.634 "Marche"
88.276 23.143 12.051 "Sardegna"
90.055 82.172 11.588 "Toscana"
90.251 27.163 12.182 "Basilicata"
91.92 54.968 11.062 "Piemonte"
89.152 54.476 11.236 "Sicilia"
88.8 66.251 10.864 "Puglia"
89.137 32.888 10.494 "EmiliaRomagna"
89.163 29.237 11.202 "Basilicata"
93.196 41.059 13.877 "Veneto"
91.927 65.449 11.331 "Molise"
87.153 16.103 12.586 "Campania"
87.329 34.111 11.326 "Campania"
86.328 17.522 12.406 "ValledAosta"
85.036 18.616 13.669 "Abruzzo"
85.758 17.784 12.107 "Puglia"
92.566 36.801 10.762 "Liguria"
87.486 30.931 12.108 "Molise"
87.962 65.501 12.245 "Sicilia"
87.81 23.773 12.7 "Puglia"
90.928 54.671 10.391 "Piemonte"
91.295 56.115 11.177 "Veneto"
86.823 38.81 11.719 "Sardegna"
88.064 27.3 11.252 "Abruzzo"
88.776 54.89 11.873 "Molise"
89.313 61.067 12.188 "Marche"
88.832 52.398 10.835 "Basilicata"
86.309 17.612 11.869 "ValledAosta"
89.66 56.006 10.622 "FriuliVeneziaGiulia"
87.735 27.882 12.252 "Sicilia"
89.835 64.667 11.178 "Basilicata"
83.73 11.426 12.368 "Calabria"
88.07 32.643 13.093 "Sicilia"
90.049 60.359 9.864 "Sardegna"
86.815 15.136 9.964 "Basilicata"
89.228 38.665 11.591 "ValledAosta"
88.877 41.216 10.228 "Basilicata"
93.62 85.432 11.777 "Piemonte"
90.549 32.32 10.734 "Molise"
89.055 42.994 13.941 "Toscana"
90.69 91.082 11.588 "Calabria"
88.073 37.756 15.044 "TrentinoAltoAdige"
85.649 26.642 12.976 "Puglia"
89.004 35.629 12.18 "EmiliaRomagna"
90.488 42.563 12.517 "Lombardia"
88.081 12.52 11.218 "Molise"
88.967 46.378 10.099 "Abruzzo"
86.525 23.593 11.699 "Basilicata"
89.993 53.085 10.844 "Lazio"
88.895 42.001 12.914 "EmiliaRomagna"
90.123 50.871 10.973 "Abruzzo"
88.934 22.151 13.714 "Veneto"
90.041 35.427 13.712 "Veneto"
90.187 78.835 10.747 "Basilicata"
86.898 18.991 12.642 "Umbria"
87.889 32.431 12.15 "Molise"
85.754 16.755 10.664 "Marche"
86.936 35.374 12.57 "Puglia"
82.844 6.046 13.438 "Sicilia"
86.097 15.639 10.155 "EmiliaRomagna"
85.757 9.72 12.33 "Piemonte"
90.902 89.031 12.528 "TrentinoAltoAdige"
89.889 65.013 12.183 "Campania"
88.237 20.16 13.531 "Umbria"
89.183 47.048 13.996 "Toscana"
90.856 52.03 12.418 "Umbria"
88.982 38.838 12.207 "Puglia"
85.611 14.835 11.153 "ValledAosta"
88.844 26.217 12.091 "ValledAosta"
87.385 29.392 12.231 "Toscana"
87.26 27.312 13.626 "Toscana"
88.369 25.096 12.817 "EmiliaRomagna"
88.553 34.13 9.771 "Sicilia"
90.413 47.6 11.374 "Campania"
89.992 37.556 13.142 "Abruzzo"
89.987 46.298 11.605 "Basilicata"
88.883 36.068 11.167 "Sardegna"
89.696 42.411 12.024 "Toscana"
89.062 21.932 12.018 "Veneto"
89.983 22.031 12.49 "Abruzzo"
93.68 70.336 11.679 "TrentinoAltoAdige"
85.48 12.379 9.981 "Campania"
88.255 16.362 13.014 "Liguria"
89.223 28.125 13.865 "Abruzzo"
88.766 23.077 12.354 "Lazio"
91.064 49.242 12.805 "Lazio"
92.061 85.851 10.755 "TrentinoAltoAdige"
89.033 87.126 10.189 "Puglia"
89.441 34.887 13.963 "Veneto"
88.424 40.958 10.408 "Campania"
89.235 29.309 12.13 "Piemonte"
91.903 60.105 12.03 "Piemonte"
90.806 45.301 11.897 "Basilicata"
91.254 71.108 11.143 "Basilicata"
87.445 59.316 11.334 "Umbria"
89.2 46.155 12.306 "Umbria"
82.6 5.541 11.025 "EmiliaRomagna"
92.326 114.459 13.278 "Lazio"
89.862 57.243 10.353 "Veneto"
89.177 56.916 10.266 "Molise"
90.529 45.196 11.63 "Lazio"
92.366 60.212 11.126 "Calabria"
90.703 23.687 11.06 "Lombardia"
93.52 126.091 13.582 "Lazio"
87.241 43.373 9.734 "TrentinoAltoAdige"
89.53 36.868 9.738 "Lazio"
84.445 16.001 11.537 "Liguria"
88.077 44.52 11.5 "Toscana"
87.353 16.509 10.696 "Umbria"
83.812 10.127 14.894 "TrentinoAltoAdige"
92.426 84.367 11.972 "Abruzzo"
87.927 26.793 10.166 "Abruzzo"
88.584 65.157 13.633 "Toscana"
84.196 14.15 12.44 "Marche"
87.371 28.793 12.894 "Sicilia"
88.176 48.153 11.96 "Abruzzo"
93.147 67.764 10.908 "Piemonte"
86.912 29.924 9.128 "Sardegna"
85.424 20.433 10.716 "Puglia"
89.144 36.014 12.502 "Liguria"
92.772 133.258 12.879 "EmiliaRomagna"
94.453 114.301 11.618 "Piemonte"
89.171 60.098 13.836 "Umbria"
90.025 36.886 11.676 "Piemonte"
89.341 55.175 11.712 "FriuliVeneziaGiulia"
89.948 81.364 11.503 "EmiliaRomagna"
86.805 33.854 12.399 "Sicilia"
86.834 12.646 11.872 "Veneto"
88.291 13.561 11.513 "Campania"
87.21 18.564 10.951 "Toscana"
90.013 39.047 12.512 "Umbria"
88.275 24.593 11.291 "Piemonte"
89.506 56.143 9.606 "Campania"
88.995 12.768 11.305 "Molise"
85.783 10.388 10.846 "Basilicata"
86.825 74.309 11.284 "Puglia"
