"name" "country" "X100m" "long_jump" "shot_put" "high_jump" "X400m" "X110m_hurdles" "discus_throw" "pole_vault" "javelin_throw" "X1500m"
"Ashton Eaton" "United States" 10.46 7.94 14.73 2.01 46.07 13.8 45.49 5.2 59.77 263.33
"Kevin Mayer" "France" 10.81 7.6 15.76 2.04 48.28 14.02 46.78 5.4 65.04 265.49
"Damian Warner" "Canada" 10.3 7.67 13.66 2.04 47.35 13.58 44.93 4.7 63.19 264.9
"Kai Kazmirek" "Germany" 10.78 7.69 14.2 2.1 46.75 14.62 43.25 5 64.6 271.25
"Larbi Bourrada" "Algeria" 10.75 7.52 13.78 2.1 47.98 14.15 42.39 4.6 66.49 254.6
"Leonel Suárez" "Cuba" 11.21 7.14 14.27 2.07 48.15 14.48 47.07 4.9 72.32 268.32
"Zach Ziemek" "United States" 10.71 7.49 13.44 2.1 49.83 14.77 49.42 5.2 60.92 282.97
"Thomas Van der Plaetsen" "Belgium" 11.24 7.66 12.84 2.16 49.63 15.01 43.58 5.4 62.09 274.21
"Kurt Felix" "Grenada" 10.93 7.42 14.77 2.07 49.14 14.79 45.1 4.5 69.92 270.53
"Luiz Alberto de Araújo" "Brazil" 10.77 7.48 15.26 1.92 48.14 14.17 45.1 4.9 57.28 271.46
"Jeremy Taiwo" "United States" 11.01 7.45 14.92 2.19 48.78 14.57 39.91 5 51.29 261.96
"Adam Helcelet" "Czech Republic" 11.06 7.35 15.11 2.04 49.51 14.37 44.13 4.7 68.2 274.41
"Bastien Auzeil" "France" 11.17 7.07 15.41 1.98 49.34 14.82 42.23 5.1 61.91 280.5
"Cedric Dubler" "Australia" 10.86 7.47 11.49 2.13 48.18 14.3 38.89 4.9 51.82 272.12
"Arthur Abele" "Germany" 10.87 6.97 15.03 1.98 49.02 14.12 44.66 4.5 64.13 293.07
"Lindon Victor" "Grenada" 10.83 7.11 14.8 1.98 49.8 15.74 53.24 4.4 63.54 284.73
"Pau Tonnesen" "Spain" 11.32 7.33 13.69 2.01 50.81 14.99 46.31 5.2 60.15 286.27
"Yordanis García" "Cuba" 10.81 6.83 14.58 2.01 48.69 14.25 40.34 4.5 64.7 284.99
"Dominik Distelberger" "Austria" 10.84 7.33 13.4 1.89 48.61 14.39 38.09 4.8 61.83 273.47
"Keisuke Ushiro" "Japan" 11.3 6.83 14.14 1.98 50.43 15.09 49.9 4.9 66.63 286.33
"Paweł Wiesiołek" "Poland" 10.88 6.73 14.17 2.01 50.18 15.09 48.32 4.5 56.68 282.27
"Akihiko Nakamura" "Japan" 11.04 7.13 12 1.92 48.93 14.57 34.91 4.7 51.24 258.37
"Karl Robert Saluri" "Estonia" 10.82 7.02 13.88 1.77 50.32 16.51 42.96 4.5 46.42 279.4
