"x" "y" "pressure"
"1" 15.525 60.552 "H"
"2" 23.471 57.094 "H"
"3" 12.128 55.587 "H"
"4" 21.415 51.165 "H"
"5" 9.68 53.13 "H"
"6" 29.73 54.111 "H"
"7" 24.567 58.569 "H"
"8" 24.075 59.713 "H"
"9" 24.681 53.857 "H"
"10" 15.276 49.474 "H"
"11" 24.464 65.929 "H"
"12" 18.002 59.124 "H"
"13" 22.521 48.606 "H"
"14" 15.229 54.337 "H"
"15" 25.121 47.236 "H"
"16" 11.71 51.297 "H"
"17" 28.373 60.724 "H"
"18" 22.621 59.677 "H"
"19" 18.341 53.829 "H"
"20" 27.168 50.944 "H"
"21" 28.025 63.337 "H"
"22" 14.379 57.419 "H"
"23" 26.801 50.06 "H"
"24" 10.409 58.823 "H"
"25" 16.524 61.75 "H"
"26" 18.366 62.691 "H"
"27" 19.888 55.914 "H"
"28" 20.249 45.398 "H"
"29" 15.047 54.557 "H"
"30" 24.729 48.157 "H"
"31" 29.118 60.809 "H"
"32" 16.507 45.384 "H"
"33" 18.903 59.029 "H"
"34" 29.225 50.41 "H"
"35" 13.367 57.294 "H"
"36" 10.281 41.16 "H"
"37" 31.227 59.303 "H"
"38" 22.053 50.238 "H"
"39" 9.037 43.67 "H"
"40" 18.23 56.059 "H"
"41" 18.184 62 "H"
"42" 17.626 59.352 "H"
"43" 11.153 56.433 "H"
"44" 15.975 61.415 "H"
"45" 12.615 65.883 "H"
"46" 22.234 55.501 "H"
"47" 23.127 46.826 "H"
"48" 23.845 63.315 "H"
"49" 27.981 48.002 "H"
"50" 17.295 59.867 "H"
"51" 19.296 44.787 "H"
"52" 17.562 48.873 "H"
"53" 16.962 64.737 "H"
"54" 19.024 42.776 "H"
"55" 17.518 52.7 "H"
"56" 11.054 56.354 "H"
"57" 7.518 52.34 "H"
"58" 21.202 47.32 "H"
"59" 14.406 45.058 "H"
"60" 20.096 63.839 "H"
"61" 22.003 64.123 "H"
"62" 14.947 57.313 "H"
"63" 22.813 66.617 "H"
"64" 20.993 58.964 "H"
"65" 23.632 63.624 "H"
"66" 28.053 56.093 "H"
"67" 22.419 62.15 "H"
"68" 24.402 48.476 "H"
"69" 15.635 47.024 "H"
"70" 13.755 66.455 "H"
"71" 18.396 59.745 "H"
"72" 11.204 61.474 "H"
"73" 13.874 55.516 "H"
"74" 29.177 55.58 "H"
"75" 21.365 46.854 "H"
"76" 21.127 56.227 "H"
"77" 20.343 55.816 "H"
"78" 9.631 64.645 "H"
"79" 23.388 62.79 "H"
"80" 14.91 54.188 "H"
"81" 20.47 56.057 "H"
"82" 25.38 53.616 "H"
"83" 20.466 57.473 "H"
"84" 7.994 42.458 "H"
"85" 29.835 64.38 "H"
"86" 10.148 49.928 "H"
"87" 19.89 53.323 "H"
"88" 26.392 56.112 "H"
"89" 22.309 56.651 "H"
"90" 18.708 56.777 "H"
"91" 18.226 66.779 "H"
"92" 11.761 56.154 "H"
"93" 25.034 49.032 "H"
"94" 26.156 65.99 "H"
"95" 17.376 46.957 "H"
"96" 26.758 60.3 "H"
"97" 24.021 55.17 "H"
"98" 28.854 62.999 "H"
"99" 22.031 55.522 "H"
"100" 11.921 49.818 "H"
"101" 6.001 54.834 "L"
"102" 15.711 59.14 "L"
"103" 9.721 60.196 "L"
"104" 13.525 59.989 "L"
"105" 9.53 57.384 "L"
"106" 6.756 54.018 "L"
"107" 21.995 58.604 "L"
"108" 5.044 44.925 "L"
"109" 2.193 51.807 "L"
"110" 20.254 65.35 "L"
"111" 8.796 61.844 "L"
"112" 11.887 61.513 "L"
"113" 14.56 63.053 "L"
"114" 5.182 59.61 "L"
"115" -0.926 42.327 "L"
"116" 8.845 55.885 "L"
"117" 2.554 40.276 "L"
"118" 16.885 55.942 "L"
"119" 16.646 67.35 "L"
"120" 6.784 48.563 "L"
"121" 20.495 66.235 "L"
"122" 11.468 61.501 "L"
"123" 6.151 55.707 "L"
"124" 19.705 53.586 "L"
"125" 8.098 66.174 "L"
"126" 6.673 53.506 "L"
"127" 13.142 58.437 "L"
"128" -1.172 38.82 "L"
"129" 1.783 41.378 "L"
"130" 8.963 51.364 "L"
"131" 10.811 45.672 "L"
"132" 2.877 52.349 "L"
"133" 15.332 55.756 "L"
"134" 12.395 68.09 "L"
"135" -5.057 41.565 "L"
"136" 10.4 59.602 "L"
"137" 7.833 59.223 "L"
"138" 7.202 61.604 "L"
"139" 12.735 66.034 "L"
"140" 3.753 45.113 "L"
"141" -2.586 42.228 "L"
"142" -2.729 39.296 "L"
"143" 18.502 58.864 "L"
"144" -1.88 35.127 "L"
"145" 10.127 45.613 "L"
"146" 14.169 56.249 "L"
"147" 12.166 57.129 "L"
"148" -1.487 44.588 "L"
"149" 12.686 59.42 "L"
"150" 6.725 59.751 "L"
"151" 7.806 51.529 "L"
"152" 16.945 61.149 "L"
"153" 2.982 39.626 "L"
"154" 4.566 63.698 "L"
"155" 9.001 57.56 "L"
"156" 1.188 53.737 "L"
"157" 9.146 56.928 "L"
"158" 8.342 61.704 "L"
"159" 9.399 57.468 "L"
"160" 8.65 55.59 "L"
"161" 14.832 59.828 "L"
"162" 6.264 67.846 "L"
"163" 19.82 62.795 "L"
"164" 3.927 48.729 "L"
"165" 7.357 49.41 "L"
"166" 2.451 47.819 "L"
"167" 14.988 56.835 "L"
"168" -0.464 40.262 "L"
"169" 13.664 64.735 "L"
"170" 11.255 60.836 "L"
"171" 7.529 55.416 "L"
"172" 15.599 59.147 "L"
"173" 12.526 66.076 "L"
"174" 12.567 62.898 "L"
"175" 19.215 58.963 "L"
"176" 4.116 54.761 "L"
"177" 6.634 47.24 "L"
"178" 6.182 56.06 "L"
"179" 3.023 52.947 "L"
"180" 12.294 60.459 "L"
"181" 22.607 66.984 "L"
"182" 3.196 57.615 "L"
"183" 3.728 45.758 "L"
"184" 5.796 54.675 "L"
"185" 21.463 61.624 "L"
"186" 12.062 67.379 "L"
"187" 19.287 50.749 "L"
"188" 22.371 62.907 "L"
"189" 12.522 74.643 "L"
"190" 9.753 50.257 "L"
"191" 15.172 58.884 "L"
"192" 14.058 60.351 "L"
"193" 14.104 52.557 "L"
"194" -3.332 40.783 "L"
"195" 18.577 51.608 "L"
"196" 15.062 57.691 "L"
"197" 26.278 49.254 "L"
"198" 6.71 58.074 "L"
"199" 12.802 57.45 "L"
"200" 2.881 55.776 "L"
