"rice_hanami" "sashimi_hanami" "vegetables_hanami" "okashi_hanami" "rice_nohanami" "sashimi_nohanami" "vegetables_nohanami" "okashi_nohanami"
"family_1" 342.35 534.46 277.85 217.39 344.76 402.94 259.36 82.8
"family_2" 305.96 503.88 321.2 159.93 330.66 370.32 315.37 49.83
"family_3" 335.89 548.05 353.12 204.08 387.43 405.38 291.58 76.82
"family_4" 289.44 496.88 311.41 207.99 318.51 393.42 267.27 68.75
"family_5" 387.64 500.91 252.42 171.65 387.1 406.18 295.03 57.59
"family_6" 368.42 507.22 252.09 197.59 239.63 395.97 272.64 68.33
"family_7" 369.91 460.03 302.41 161.98 368.52 366.92 231.74 60.56
"family_8" 334.61 535.19 293.98 177.9 324.91 404.36 309.72 55.71
"family_9" 337.54 528.09 309.31 160.09 293.53 353.32 324.09 52.59
"family_10" 373.53 475.27 229.57 180.06 429.29 385.75 286.34 46.97
"family_11" 256.63 464.54 301.69 173.48 296.14 338.22 296.35 48.83
"family_12" 286.84 458.47 364.58 170.2 292.88 361.99 363.54 55.33
"family_13" 269.64 563.54 347.23 178 290.41 399.88 408.53 77.76
"family_14" 283.28 477.21 363.82 194.45 232.85 428.06 365.9 76.48
"family_15" 342.47 504.19 359.38 173.61 268.27 397.67 421.15 55.72
"family_16" 219.7 484.66 326.13 161.06 310.05 348.91 302.14 48.45
"family_17" 366.29 511.97 352.88 171.92 275.36 349.78 361.36 49.6
"family_18" 324.36 503.83 338.59 163.11 361.77 383.6 334.09 51.05
"family_19" 309.74 496.7 368.07 187.02 307.27 338.82 354.14 62.39
"family_20" 325.76 509.88 326.14 176.16 380.28 363.67 358.25 55.22
"family_21" 394.77 539.55 370.17 178.24 270.28 436.76 333.09 63.83
"family_22" 257.34 500.76 321.39 198.12 346.24 367.2 322.58 63.02
"family_23" 335.09 486.03 326.2 172.5 362.9 379.22 296.06 54.78
"family_24" 385.99 547.12 362.61 184.12 314.63 417.3 287.91 74.92
"family_25" 347.83 498.07 286.34 182.01 437.48 361.48 266.89 68.62
"family_26" 320.37 522.2 324.56 156.4 316.18 378.06 256.32 45.01
"family_27" 330.8 506.59 357.28 203.93 316.46 402.09 310.57 71.97
"family_28" 332.21 520.9 306.5 170.41 322.89 422.81 300.53 56.99
"family_29" 270.35 485.32 378.74 161.09 352.39 352.67 288.36 43.75
"family_30" 241.6 496.92 346.63 156.17 246.79 351.08 318.31 55.21
"family_31" 323.17 455.16 357.51 169.24 342.58 324.54 344.76 53.89
"family_32" 278.75 499.75 357.4 177.06 248.5 380.48 336.4 63.39
