"carps" "maple" "cherry" "stones" "extension"
"1" 25 30 23 86 3767.42
"2" 49 57 46 109 5477.62
"3" 33 36 37 103 5383.84
"4" 56 47 42 121 5666.71
"5" 45 32 21 107 5284.05
"6" 46 41 32 109 5248.37
"7" 39 36 26 99 5060.39
"8" 38 38 33 102 5432.24
"9" 33 44 40 95 5333.59
"10" 39 51 48 101 5481.47
"11" 49 35 27 113 4707.98
"12" 39 45 40 102 5523.7
"13" 23 39 30 77 4411.67
"14" 47 47 38 107 5333.19
"15" 41 41 36 104 4997.42
"16" 42 58 54 104 6198.96
"17" 44 50 45 106 5905.32
"18" 34 31 18 91 4582.3
"19" 38 57 49 99 5437.79
"20" 42 51 41 94 5470.46
"21" 47 45 40 107 5851.99
"22" 52 41 34 116 5644.37
"23" 19 33 27 80 3735.15
"24" 31 42 32 87 4488.98
"25" 32 41 30 91 4068.94
"26" 36 29 19 99 4364.25
"27" 48 54 45 106 5754.04
"28" 38 40 33 98 4759.23
"29" 46 39 24 103 5747.59
"30" 37 40 31 97 4544.21
"31" 40 46 36 101 5061.53
"32" 52 39 30 115 5350.06
"33" 46 50 45 108 5818.21
"34" 45 48 43 107 5613.09
"35" 37 50 39 97 5790.77
"36" 46 54 51 107 5633.94
"37" 51 39 30 113 5958.83
"38" 54 43 34 115 4983.2
"39" 44 43 39 107 5785.29
"40" 47 31 23 110 5225.72
"41" 36 43 34 96 5536.81
"42" 50 39 31 111 5366.68
"43" 31 31 21 92 4391.21
"44" 39 47 43 102 5607.42
"45" 41 41 28 98 5032.31
"46" 40 39 33 106 5017.54
"47" 39 24 13 101 4531.95
"48" 47 58 47 103 5710.67
"49" 39 42 33 97 4485.27
"50" 43 43 33 100 4971.14
"51" 40 39 31 101 4885.17
"52" 42 40 31 105 5138.44
"53" 41 53 47 99 6036.62
"54" 34 37 27 92 4501.95
"55" 46 43 32 103 5457.07
"56" 62 44 35 125 6041.34
"57" 34 46 37 96 4936.75
"58" 40 36 27 103 4775.73
"59" 31 47 42 92 5051.35
"60" 42 47 36 100 6351.94
"61" 53 58 46 109 6560.04
"62" 29 38 24 89 4987.19
"63" 38 37 33 105 5324.72
"64" 34 41 37 96 5037.34
"65" 46 48 37 104 5738.03
"66" 48 40 31 110 5495.54
"67" 45 52 43 104 5341.39
"68" 47 31 21 110 4341.57
"69" 51 49 42 111 5882.5
"70" 46 50 42 105 5421.5
"71" 41 47 37 100 5485.83
"72" 50 50 39 107 5595.25
"73" 47 50 42 106 6026.19
"74" 37 58 51 93 5837.4
"75" 37 43 32 94 5263.73
"76" 51 51 41 112 5552.93
"77" 40 56 49 99 5721.34
"78" 43 52 43 100 5593.31
"79" 51 46 39 110 5449.31
"80" 41 46 35 98 5452.9
"81" 37 29 18 101 4534.42
"82" 36 34 21 98 4698.77
"83" 50 58 50 110 6030.26
"84" 49 54 42 105 6101.13
"85" 49 48 37 109 5949.46
"86" 27 25 12 84 4088.89
"87" 39 42 31 96 5284.81
"88" 35 49 44 95 5197.24
"89" 50 46 40 114 5483.39
"90" 55 40 30 119 5714.48
"91" 45 46 39 102 5185.2
"92" 42 43 35 103 5049.87
"93" 36 41 33 94 5221.15
"94" 49 47 40 108 6221.11
"95" 35 48 39 91 5190.93
"96" 48 52 42 105 5382.88
"97" 42 51 40 102 5650.45
"98" 32 47 38 90 5262.51
"99" 32 41 30 89 4505.42
"100" 40 49 38 95 4963.88
"101" 22 40 36 85 4800.85
"102" 27 49 41 85 5097.47
"103" 44 42 31 105 5724.37
"104" 39 57 49 95 5777.21
"105" 32 39 36 95 4508.98
"106" 43 53 43 103 5779.42
"107" 32 39 28 91 5037.33
"108" 37 40 32 98 5658.34
"109" 42 44 35 97 5141.93
"110" 43 45 41 105 5719.29
"111" 44 47 40 106 5262.09
"112" 38 52 48 97 5082.09
"113" 53 49 41 114 5755.09
"114" 43 49 39 101 5335.92
"115" 48 31 22 109 5350.65
"116" 31 39 35 96 4775.51
"117" 41 42 36 101 4803.03
"118" 49 42 27 108 5046.42
"119" 37 42 32 97 5373.99
"120" 42 29 22 109 4315.95
"121" 39 41 36 105 5209.25
"122" 30 42 42 91 4951.83
"123" 34 36 30 97 4996.4
"124" 48 50 38 103 5485.59
"125" 52 47 43 114 5810.27
"126" 37 39 30 100 5177.33
"127" 42 41 36 101 4735.04
"128" 28 54 53 91 5813.94
"129" 48 46 36 111 5571.26
"130" 27 41 35 84 4824.12
"131" 36 38 24 93 4564.53
"132" 45 43 35 107 5362.95
"133" 22 33 25 87 3816.32
"134" 38 48 42 98 5022.14
"135" 50 44 30 108 5350.91
"136" 31 40 30 87 4583.15
"137" 35 48 44 97 5378.6
"138" 50 48 37 107 5119.79
"139" 36 52 47 96 5192.08
"140" 36 43 35 95 5612.98
"141" 36 36 28 97 4958.28
"142" 51 38 31 117 5730.46
"143" 34 44 37 98 5000.86
"144" 40 47 32 94 4844.83
"145" 39 52 44 97 6035.61
"146" 34 44 32 89 4830.08
"147" 47 44 33 106 4708.63
"148" 58 50 39 117 5998.83
"149" 47 53 45 109 5408.02
"150" 42 46 42 104 5625.01
"151" 42 33 22 102 4398.14
"152" 47 47 43 109 5673.06
"153" 31 45 45 96 5054.26
"154" 39 51 38 89 5556.54
"155" 43 51 43 101 5854.68
"156" 41 45 33 93 5300.2
