"duration" "time"
"1" 83.2 59
"2" 49.9 63.1
"3" 85.8 27.8
"4" 52.8 57.2
"5" 80 29.6
"6" 76 50.9
"7" 46.2 65.7
"8" 103.9 45.2
"9" 104.2 50.5
"10" 87.2 29.2
"11" 85.5 46.4
"12" 45.6 53.2
"13" 91 66.5
"14" 82.8 53.7
"15" 42.2 76.9
"16" 36.2 48.3
"17" 101.6 42.6
"18" 38.4 60
"19" 48.6 63
"20" 51.8 38.5
"21" 40.1 62.4
"22" 81.5 32.3
"23" 33.8 49.2
"24" 55.6 57.1
"25" 37.1 67.2
"26" 95.2 52.3
"27" 39.1 51.1
"28" 33.4 62.2
"29" 43 74.3
"30" 102.6 33.9
"31" 94.3 42.9
"32" 71.1 25.4
"33" 46.2 60.6
"34" 100.9 37
"35" 54.5 63.6
"36" 45.4 64.9
"37" 101.4 51.4
"38" 102.2 52.9
"39" 42.9 51.8
"40" 56.3 60.2
"41" 98.8 39.8
"42" 47.8 50.8
"43" 91.2 57
"44" 93.8 36.4
"45" 50.5 66.7
"46" 79 39.9
"47" 32.8 67.9
"48" 91.1 47
"49" 55.8 68.9
"50" 89.3 44.5
"51" 85.8 35.5
"52" 48 56.9
"53" 89 12.9
"54" 84.3 56.8
"55" 93 49.8
"56" 83.4 43.2
"57" 89.6 36
"58" 82.9 57
"59" 81 56.8
"60" 58.6 56.3
"61" 42.6 82.3
"62" 49.5 72.4
"63" 53 45.8
"64" 30.1 53.5
"65" 91.4 40.7
"66" 96.7 51.8
"67" 42.7 71.9
"68" 97.3 43.4
"69" 94.1 59.1
"70" 57.7 51.6
"71" 54.8 67.1
"72" 41.1 53.4
"73" 43.6 62.9
"74" 73.6 39.3
"75" 23.7 59.2
"76" 93.2 27.4
"77" 42.6 59.4
"78" 35.8 65.2
"79" 40.2 62.5
"80" 85.7 37.8
"81" 46.4 54.8
"82" 71.7 46.8
"83" 52 65.1
"84" 94.2 35.8
"85" 40.4 54.9
"86" 40.9 57.8
"87" 84.1 37.4
"88" 39.6 66.7
"89" 70.7 29.7
"90" 105.3 49.7
"91" 49.8 56.6
"92" 41.6 54.4
"93" 78.7 60.6
"94" 97.3 36.9
"95" 73.4 31.1
"96" 100.5 50.3
"97" 77.8 66.8
"98" 40.4 58.5
"99" 95.5 33.5
"100" 93.7 53.7
"101" 89.9 50.1
"102" 46.4 67.6
"103" 90.5 46.5
"104" 82.3 60
"105" 55.9 43.3
"106" 86.1 33.9
"107" 46.6 74.8
"108" 49.9 63.2
"109" 101.4 44.9
"110" 54.5 67
"111" 85.4 41.2
"112" 105 58.9
"113" 96.7 48.9
"114" 86 57.9
"115" 29.6 72.3
"116" 46.1 63.7
"117" 40.7 55.4
"118" 80.2 51.1
"119" 49.9 68
"120" 40.6 60.7
"121" 61.5 58.4
"122" 50 55.2
"123" 49.6 64.4
"124" 94.1 51.1
"125" 91.5 61
"126" 50.6 82.6
"127" 81.1 40.5
"128" 109.6 50
"129" 42.8 66.6
"130" 95 45
"131" 58.2 79.4
"132" 98.6 68.3
"133" 42.7 72.7
"134" 26.2 56
"135" 100.3 41.1
"136" 48.5 66.7
"137" 51.7 69.3
"138" 38.6 50.7
"139" 52.9 59.7
"140" 41.7 60.5
"141" 49.9 70.6
"142" 44.3 73.8
"143" 52.2 58.1
"144" 40.9 70.3
"145" 46.5 66
"146" 36.8 52.7
"147" 56.8 51.3
"148" 33.6 56.9
"149" 45.9 72.9
"150" 91.5 37
"151" 58 57.7
"152" 27.5 69.9
"153" 89.1 42
"154" 31.8 54.8
"155" 36.4 70.1
"156" 103.2 61
"157" 84.9 46.3
"158" 95.3 34.1
"159" 92.7 45.3
"160" 50.8 64.1
