"value" "city" "type"
"1" 18.6 "Tokyo" "hand-made"
"2" 17.8 "Kyoto" "hand-made"
"3" 18.8 "Tokyo" "hand-made"
"4" 18.2 "Kyoto" "hand-made"
"5" 20 "Tokyo" "hand-made"
"6" 23.2 "Kyoto" "hand-made"
"7" 20.1 "Tokyo" "hand-made"
"8" 21.8 "Kyoto" "hand-made"
"9" 17.2 "Tokyo" "hand-made"
"10" 17.2 "Kyoto" "hand-made"
"11" 21.9 "Tokyo" "hand-made"
"12" 22.3 "Kyoto" "hand-made"
"13" 21.2 "Tokyo" "hand-made"
"14" 19.7 "Kyoto" "hand-made"
"15" 21.2 "Tokyo" "hand-made"
"16" 23.4 "Kyoto" "hand-made"
"17" 20.9 "Tokyo" "hand-made"
"18" 18.3 "Kyoto" "hand-made"
"19" 17.7 "Tokyo" "hand-made"
"20" 21 "Kyoto" "hand-made"
"21" 20.1 "Tokyo" "hand-made"
"22" 20.2 "Kyoto" "hand-made"
"23" 18.8 "Tokyo" "hand-made"
"24" 21.9 "Kyoto" "hand-made"
"25" 20.7 "Tokyo" "hand-made"
"26" 18.7 "Kyoto" "hand-made"
"27" 18.6 "Tokyo" "hand-made"
"28" 19.4 "Kyoto" "hand-made"
"29" 19.5 "Tokyo" "hand-made"
"30" 18.4 "Kyoto" "hand-made"
"31" 20.4 "Tokyo" "hand-made"
"32" 20.7 "Kyoto" "hand-made"
"33" 19.1 "Tokyo" "hand-made"
"34" 18.9 "Kyoto" "hand-made"
"35" 21.7 "Tokyo" "hand-made"
"36" 19.3 "Kyoto" "hand-made"
"37" 19.2 "Tokyo" "hand-made"
"38" 20.2 "Kyoto" "hand-made"
"39" 22.4 "Tokyo" "hand-made"
"40" 20.6 "Kyoto" "hand-made"
"41" 21 "Tokyo" "hand-made"
"42" 18.2 "Kyoto" "hand-made"
"43" 18.8 "Tokyo" "hand-made"
"44" 22.2 "Kyoto" "hand-made"
"45" 19 "Tokyo" "hand-made"
"46" 19.8 "Kyoto" "hand-made"
"47" 21 "Tokyo" "hand-made"
"48" 21 "Kyoto" "hand-made"
"49" 20 "Tokyo" "hand-made"
"50" 18.7 "Kyoto" "hand-made"
"51" 20.1 "Tokyo" "hand-made"
"52" 15.2 "Kyoto" "hand-made"
"53" 21 "Tokyo" "hand-made"
"54" 20.5 "Kyoto" "hand-made"
"55" 19.9 "Tokyo" "hand-made"
"56" 20.8 "Kyoto" "hand-made"
"57" 19.4 "Tokyo" "hand-made"
"58" 19 "Kyoto" "hand-made"
"59" 20.5 "Tokyo" "hand-made"
