"X" "Y"
"1" 2.97 1.66
"2" 2.83 1.12
"3" 2.97 1.11
"4" -1.04 -0.23
"5" 2.61 1.19
"6" 2.8 1.37
"7" 3.25 1.09
"8" 2 0.67
"9" 0.21 -0.76
"10" 2.98 1.15
"11" 2.6 0.38
"12" 0.03 1.58
"13" 3.48 2.11
"14" 3.14 1.7
"15" 0.06 0.09
"16" -0.8 -0.51
"17" -0.17 -0.18
"18" 0.28 0.01
"19" 3.22 1.5
"20" 0.98 -0.13
"21" 2.95 0.73
"22" 0.11 0.55
"23" 0.19 0.92
"24" -0.2 -0.56
"25" -0.05 -0.77
"26" 2.88 1.54
"27" 2.21 0.78
"28" 0.31 -0.75
"29" 2.92 1.05
"30" 3.61 1.2
"31" 3.09 0.93
"32" 2.85 2.58
"33" 0.28 0.36
"34" 0.48 0.18
"35" 0.54 0.31
"36" 0.36 -0.47
"37" 3.57 1.82
"38" -0.03 0.12
"39" 0.35 -0.38
"40" 3.75 2.02
"41" 0.41 0.04
"42" -0.57 -0.29
"43" 2.39 1.63
"44" 2.2 1.75
"45" 3.42 1.14
"46" 2.78 1.87
"47" 2.9 1.62
"48" 3.33 0.97
"49" 3.76 1.29
"50" 0.42 -0.22
"51" 0.06 -0.89
"52" 3.17 2.3
"53" 1.92 1.23
"54" 3.17 1.19
"55" 3.67 3.12
"56" -0.83 0.13
"57" 3.28 1.79
"58" 3.45 0.65
"59" 3.84 1.3
"60" 3.31 0.47
"61" 3.73 1.46
"62" 2.66 -0.1
"63" 0.32 0.19
"64" 3.14 1.04
"65" 2.44 1.13
"66" -0.65 0.86
"67" 0.07 0.52
"68" 2.79 1.71
"69" 0.1 1.07
"70" 2.93 1.5
"71" -0.07 -0.65
"72" 3.39 1.76
"73" 2.53 1.72
"74" 0.4 0.29
"75" -0.12 -0.78
"76" 3.31 0.88
"77" 3.42 1.93
"78" 3.45 1.95
"79" 0.12 0.43
"80" 3.33 2.25
"81" 2.73 1.66
"82" 2.76 1.36
"83" -0.13 0.1
"84" 3.02 1.57
"85" 3.24 0.26
"86" 3.11 1.47
"87" 1.93 1.58
"88" -0.57 -0.13
"89" 2.43 1.62
"90" 2.84 1.62
"91" 2.92 1.75
"92" 3.59 1.73
"93" 2.89 2.04
"94" 3.87 0.62
"95" 0.42 0.02
"96" 3.49 0.96
"97" 0.01 0.51
"98" 3.49 2
"99" 3.31 0.92
"100" 0.4 -0.24
"101" 2.63 1.33
"102" 2.74 2.28
"103" 3.09 2.04
"104" 0.12 0.29
"105" 3.22 2.72
"106" 3.2 1.92
"107" 3.59 2.19
"108" 3.97 2.41
"109" 0.41 0.71
"110" 0.05 -0.51
"111" 0.4 0.35
"112" 2.42 1.01
"113" 2.76 1.26
"114" -0.26 0.31
"115" 3.05 1.3
"116" 1.04 -0.83
"117" 0.03 0.79
"118" 0.27 -1.99
"119" -0.38 0.49
"120" 0.29 -0.03
"121" -0.32 0.05
"122" 4.03 1.75
"123" 2.37 1.24
"124" 2.43 1.34
"125" 0.08 -0.55
"126" -0.47 -0.11
"127" 2.35 0.79
"128" -0.72 0.36
"129" 2.61 2.51
"130" 2.19 1.78
"131" 3.54 1.72
"132" 2.76 1.4
"133" 3.26 0.93
"134" 0.37 0.23
"135" 3 0.89
"136" 1.28 0.63
"137" 2.26 1.97
"138" -0.69 0.89
"139" -0.71 -0.87
"140" 2.27 1.43
"141" 0.77 0.33
"142" 2.37 1.26
"143" 2.44 1.45
"144" 2.96 1.63
"145" 2.65 2.34
"146" 3.58 1.51
"147" 3.84 2.14
"148" 2.96 2.45
"149" 2.65 1.33
"150" 0.25 -0.17
"151" 3.23 1.71
"152" 2.12 2.66
"153" 2.93 2.26
"154" 3.3 1.39
"155" 3.38 2.23
"156" 2.44 1.9
"157" 2.08 1.51
"158" 2.38 1.38
"159" 2.17 1.31
"160" 2.89 1.23
"161" 0.16 0.15
"162" 3.38 2.54
"163" -0.25 -0.54
"164" 2.11 0.72
"165" 4.07 1.95
"166" 3.04 0.73
"167" 2.94 2.59
"168" -0.32 0.83
"169" -0.1 -0.15
"170" 3.06 1.56
"171" 2.95 2.81
"172" 1.12 -0.34
"173" -0.4 -0.09
"174" 3.35 1.54
"175" 0.8 -0.69
"176" -0.4 -0.95
"177" 2.24 0.76
"178" 0.09 -0.88
"179" 0.61 -0.28
"180" 2.25 1.26
"181" 2.65 0.8
"182" 3.59 1.53
"183" -0.34 0.89
"184" 2.51 0.96
"185" 0.98 -0.33
"186" -0.64 -0.31
"187" 2.38 1.31
"188" -1.29 1.17
"189" 3.52 0.74
"190" 1.91 1.07
"191" 3.55 1.05
"192" 0.18 -0.59
"193" -0.22 0.32
"194" 3.34 1.3
"195" -0.06 -0.33
"196" -0.51 -0.16
"197" 2.93 1.83
"198" 2.55 1.63
"199" 0.66 -0.24
"200" -0.91 0.37
"201" -0.1 -0.37
