"Mar.May" "Jun.July" "Aug.Oct" "Nov.Feb"
"1" 44.63 52.93 47.79 38.7
"2" 44.85 47.04 40.39 37.12
"3" 43.16 55.31 49.93 38.77
"4" 40.02 51.45 46.25 37.2
"5" 42.93 53.48 44.96 37
"6" 40.35 49.96 44.37 41.57
"7" 36.54 47.02 44.4 37.76
"8" 44.3 48.31 46.09 41.56
"9" 42.66 48.25 44.43 42.19
"10" 41.37 49.88 45.44 38.37
"11" 45.44 51.04 44.96 42.81
"12" 39.96 44.3 42.47 40.03
"13" 41.06 48.1 42.67 40.7
"14" 47.77 48.94 45.25 40.35
"15" 44.34 54.38 44.33 39.18
"16" 45.2 50.61 43.17 40.22
"17" 34.94 48.55 44.26 35.26
"18" 41.29 51.04 45.34 38.68
"19" 46.95 51.26 47.1 38.74
"20" 40.83 51.27 43.67 37.82
"21" 41.34 46.57 43.63 39.58
"22" 44.75 48.36 39.66 33.49
"23" 41.96 51.15 45.96 38.57
"24" 43.21 51.24 44.26 39.97
"25" 51.68 52.66 43.33 45.37
"26" 35.96 47.64 43.92 31.24
"27" 43.96 50.69 46.63 37.79
"28" 41.6 51.98 44.1 36.26
"29" 41.29 47.29 47.11 37.89
"30" 43.55 52.83 43 35.34
"31" 42.73 47.15 44 39.53
"32" 46.1 49.98 45.83 41.54
"33" 38.83 45.83 45.63 36.34
"34" 42.89 53.5 44.65 39.69
"35" 38.51 52.84 43.53 38.98
"36" 38.99 50.4 44.1 33.89
"37" 40.7 47.69 48.15 37.69
"38" 50.36 54.12 43.95 46.7
"39" 42.62 51.71 43.72 35.13
"40" 46.1 47.39 43.05 39.15
"41" 45.3 53.78 43.94 38.98
"42" 42.36 53.99 46.09 36.36
"43" 39.92 52.36 44.75 39.69
"44" 44.72 50.62 43.5 40.47
"45" 36.73 52.36 45.05 36.84
"46" 42.08 49.77 48.16 34.62
"47" 38.28 50.15 44.27 35.67
"48" 41.35 52.38 44.62 41.49
"49" 47.48 51.7 42.51 39.41
"50" 39.35 50.63 48.04 38.86
"51" 41.53 49.76 45.83 34.45
"52" 45.12 50.15 47.97 43.52
"53" 41.63 47.01 44.64 37.24
"54" 49.02 57.79 46.63 43.47
"55" 45.18 47.88 43.98 44.72
"56" 41.46 52.85 42.05 32.77
"57" 40.91 48.1 41.58 35.65
"58" 39.81 48.45 44.16 39.61
"59" 49.13 49.02 44.78 45.11
"60" 40.13 50.05 45.62 37.81
"61" 42.42 52.3 44.22 36.7
"62" 41.68 52.29 43.45 35.62
