"h" "t"
"1" 74.2 1
"2" 72.14 2
"3" 74.45 3
"4" 81.41 4
"5" 74.68 5
"6" 83.05 9
"7" 81.05 12
"8" 69.39 14
"9" 48.28 17
"10" 49.45 18
"11" 33.45 19
"12" 43.57 20
"13" 42.12 21
"14" 51.5 22
"15" 46.94 25
"16" 52.86 26
"17" 73.07 30
"18" 75.68 32
"19" 74.72 34
"20" 81.43 35
"21" 76.96 36
"22" 76.24 37
"23" 58.71 41
"24" 56.75 42
"25" 46.1 44
"26" 56.73 45
"27" 42.88 46
"28" 29.97 49
"29" 47.36 52
"30" 55.1 54
"31" 58.41 55
"32" 67.7 57
"33" 65.76 58
"34" 75.89 59
"35" 80.19 62
"36" 79.37 63
"37" 74.32 67
"38" 57.73 71
"39" 55.87 72
"40" 73.42 84
"41" 78.88 86
"42" 83.31 87
"43" 89.26 88
"44" 93.43 89
"45" 92.93 90
"46" 88.73 91
"47" 98.07 93
"48" 82.73 94
"49" 81.9 96
"50" 71.43 101
"51" 67.23 102
"52" 58.06 105
"53" 63.95 107
"54" 70.14 109
"55" 82.4 111
"56" 76.51 112
"57" 84.92 113
"58" 91.71 114
"59" 91.08 115
"60" 102.4 117
"61" 100.52 122
"62" 92.35 123
"63" 86.62 124
"64" 72.94 126
"65" 67.86 129
"66" 66.68 130
"67" 63.78 131
"68" 60.69 132
"69" 62.58 133
"70" 60.55 134
"71" 79.49 136
"72" 83.36 139
"73" 77.44 140
"74" 84 141
"75" 84.91 142
"76" 97.03 144
"77" 88.54 145
"78" 104.81 146
"79" 98 147
"80" 102.54 149
"81" 102.17 150
"82" 86.64 151
"83" 82.78 152
"84" 86.29 155
"85" 62.13 158
"86" 61.92 159
"87" 57.46 160
"88" 60.33 161
"89" 57.57 162
"90" 66.24 164
"91" 60.81 165
"92" 69.39 167
"93" 69.66 168
"94" 82.99 169
"95" 76.11 170
"96" 89.49 174
"97" 86.67 176
"98" 82.02 177
"99" 58.3 183
"100" 59.92 184
"101" 61.49 185
"102" 51.56 186
"103" 49.04 187
"104" 50.16 189
"105" 45.21 192
"106" 53.16 193
"107" 64.67 194
"108" 62.96 195
"109" 66.43 196
"110" 74.35 198
"111" 80.12 199
"112" 83.66 201
"113" 78 207
"114" 68.16 208
"115" 67.32 209
"116" 51.2 210
"117" 53.3 212
"118" 49.74 213
"119" 44.57 215
"120" 37.17 218
"121" 51.97 223
"122" 57.79 224
"123" 79.67 227
"124" 88.72 232
"125" 82.06 233
"126" 75.45 234
"127" 74.05 235
"128" 64.66 237
"129" 59.1 238
"130" 46.01 239
"131" 54.38 240
"132" 49.18 242
"133" 45.34 248
"134" 52.91 249
"135" 61.18 252
"136" 71.81 254
"137" 86.52 257
"138" 76.22 262
"139" 77.61 263
"140" 80.53 264
"141" 73.28 265
"142" 69.27 266
"143" 63.42 267
"144" 63.6 268
"145" 64.8 269
"146" 61.63 273
"147" 50.85 275
"148" 58.11 276
"149" 64.36 277
"150" 67.45 280
"151" 91.19 282
"152" 86.08 283
"153" 89.61 284
"154" 99.56 285
"155" 103.88 286
"156" 96.02 290
"157" 89.09 292
"158" 77.51 293
"159" 80.45 295
"160" 70.66 296
"161" 79.57 297
"162" 67.75 302
"163" 70.6 303
"164" 67.68 305
"165" 78.99 306
"166" 78.66 307
"167" 73.09 308
"168" 88.34 309
"169" 94.52 310
"170" 98.61 312
"171" 99.25 313
"172" 108.18 314
"173" 95.61 318
"174" 98.73 319
"175" 87.69 320
"176" 82.69 321
"177" 77.65 322
"178" 71.94 324
"179" 66.34 325
"180" 62.74 326
"181" 61.77 327
"182" 59.29 328
"183" 53.78 329
"184" 60.93 330
"185" 64.74 331
"186" 68.74 332
"187" 90.63 338
"188" 92.4 340
"189" 93.15 341
"190" 83.89 342
"191" 100.06 343
"192" 89.83 344
"193" 88.16 346
"194" 79.29 348
"195" 83.69 349
"196" 77.43 350
"197" 67.08 351
"198" 54.73 353
"199" 55.45 354
"200" 53.46 360
"201" 65.21 363
"202" 71.18 364
"203" 74.12 365
