"distance" "Vi" "Va" "wind"
"1" 15.96 19 35.3 "upwind"
"2" 24.8 24.5 47.4 "upwind"
"3" 19.98 19.3 44.1 "upwind"
"4" 22.6 20.3 43.2 "upwind"
"5" 22.78 15.5 41.2 "upwind"
"6" 17.68 23.6 39.8 "upwind"
"7" 16.8 23.1 40.3 "upwind"
"8" 18.38 19.5 40.1 "upwind"
"9" 20.18 14.7 40.5 "upwind"
"10" 25.08 21.6 44.8 "upwind"
"11" 17.74 15.2 35.4 "upwind"
"12" 23.7 22 44.2 "upwind"
"13" 18.96 21.6 42.7 "upwind"
"14" 15.28 21.2 37.2 "upwind"
"15" 22.72 24.1 44.8 "upwind"
"16" 18.02 16.8 35.3 "upwind"
"17" 17.08 20.3 40.2 "upwind"
"18" 18.16 18.7 40.7 "upwind"
"19" 22.44 25.4 44.9 "upwind"
"20" 13.6 20.9 36.8 "upwind"
"21" 19.22 20 41.3 "upwind"
"22" 13.14 17.5 33.4 "upwind"
"23" 17.14 18.4 38.2 "upwind"
"24" 21.06 32 48.9 "upwind"
"25" 18.12 24.8 42.4 "upwind"
"26" 18.44 20.8 41.7 "upwind"
"27" 17.32 19.2 39.2 "upwind"
"28" 18.3 14 35 "upwind"
"29" 14.88 16.8 36.7 "upwind"
"30" 20.24 28.8 48.6 "upwind"
"31" 17.52 25.7 41 "upwind"
"32" 16.54 22.7 39.2 "upwind"
"33" 15.2 28.6 41.7 "upwind"
"34" 15.08 19.3 35 "upwind"
"35" 13.96 17.9 37.4 "upwind"
"36" 16.12 19 38 "upwind"
"37" 21.4 23.5 42.6 "upwind"
"38" 17.18 22 42 "upwind"
"39" 14.08 22.6 37 "upwind"
"40" 19.3 22.6 43.2 "upwind"
"41" 19.88 18.9 42.3 "upwind"
"42" 14.6 22 35.5 "upwind"
"43" 21.72 22.6 40.3 "upwind"
"44" 22.18 24.6 42.9 "upwind"
"45" 21.68 22.4 46.4 "upwind"
"46" 18.98 27.5 43.7 "upwind"
"47" 15.58 21 36.4 "upwind"
"48" 13.72 25.4 38.3 "upwind"
"49" 23.9 19.8 41.3 "upwind"
"50" 21.52 24.8 44.7 "upwind"
"51" 34.2 16.2 42.9 "downwind"
"52" 33.38 21.4 44.6 "downwind"
"53" 31.96 25.7 45 "downwind"
"54" 24.7 21.9 41.3 "downwind"
"55" 42.66 19.9 49 "downwind"
"56" 26.76 16.7 36.1 "downwind"
"57" 29 18.9 40.2 "downwind"
"58" 22.1 22.7 38.3 "downwind"
"59" 29.1 21.2 40 "downwind"
"60" 21.58 21.6 35.4 "downwind"
"61" 29.6 18.9 38.5 "downwind"
"62" 24.56 19.1 37 "downwind"
"63" 19.94 26 38.6 "downwind"
"64" 22.78 22.9 37.2 "downwind"
"65" 24.54 17.6 35.7 "downwind"
"66" 27.4 13.9 37.9 "downwind"
"67" 21.68 18.3 36.3 "downwind"
"68" 21.58 21.9 38.4 "downwind"
"69" 23.7 19.4 37.1 "downwind"
"70" 31.6 20.5 43 "downwind"
"71" 22.42 14.1 34.3 "downwind"
"72" 31.42 18.4 41.7 "downwind"
"73" 20.26 21.3 37.3 "downwind"
"74" 29.78 17.6 38.7 "downwind"
"75" 37.98 24.2 48.3 "downwind"
"76" 28.74 25.3 43.6 "downwind"
"77" 30.52 16.3 40.1 "downwind"
"78" 22.16 23.8 38.6 "downwind"
"79" 19.84 14.5 30.9 "downwind"
"80" 33.66 28.7 48.8 "downwind"
"81" 25.22 26.4 42.7 "downwind"
"82" 41.88 23.8 47.6 "downwind"
"83" 30.64 24.9 44.1 "downwind"
"84" 29.62 21.8 41.4 "downwind"
"85" 36.12 21.8 44.5 "downwind"
"86" 22.64 19.3 38.1 "downwind"
"87" 17.9 16.8 34.7 "downwind"
"88" 17.42 28.2 36.7 "downwind"
"89" 25.62 20.4 37.4 "downwind"
"90" 24.38 25.8 41.5 "downwind"
"91" 40.56 26.3 49 "downwind"
"92" 26.28 23.4 40.6 "downwind"
"93" 27.58 28.3 42.2 "downwind"
"94" 26.62 23 39.7 "downwind"
"95" 28.8 17.3 39.5 "downwind"
"96" 24.56 17.6 36.6 "downwind"
"97" 19.94 25.1 39.6 "downwind"
"98" 19.2 17.3 33 "downwind"
"99" 37.32 23 47 "downwind"
"100" 22.82 18.3 36 "downwind"
