"Lat" "Long"
"1" 45.7448 7.3647
"2" 45.7248 7.2946
"3" 45.7294 7.3494
"4" 45.7431 7.3664
"5" 45.7306 7.3418
"6" 45.7165 7.2749
"7" 45.7461 7.3402
"8" 45.7319 7.371
"9" 45.7398 7.3505
"10" 45.7373 7.345
"11" 45.7325 7.3341
"12" 45.7131 7.2472
"13" 45.7324 7.3422
"14" 45.7345 7.3366
"15" 45.7251 7.2928
"16" 45.7532 7.4181
"17" 45.7112 7.3205
"18" 45.7221 7.2953
"19" 45.7222 7.3269
"20" 45.7327 7.3318
"21" 45.7441 7.3965
"22" 45.7506 7.3849
"23" 45.7443 7.364
"24" 45.7363 7.3316
"25" 45.7185 7.3029
"26" 45.7182 7.3096
"27" 45.7126 7.2957
