"Rectal.temperature" "Pulse" "Respiratory.rate" "Packed.cell.volume" "Pain"
"1" 38.18 95.77 61.73 44.49 "Yes"
"2" 38 92.92 60.94 49.33 "Yes"
"3" 38.67 117.78 72.96 46.11 "Yes"
"4" 38.43 86.82 55.36 38.23 "Yes"
"5" 37.7 89.34 59.02 44.76 "Yes"
"6" 38.31 105.07 51.46 46.39 "Yes"
"7" 38.35 102.56 77.45 47.93 "Yes"
"8" 38.25 98.31 66.37 43.98 "Yes"
"9" 38.45 82.45 63.76 45.35 "Yes"
"10" 38.17 99.26 76.87 32.75 "Yes"
"11" 38.18 101.43 80.91 43.58 "Yes"
"12" 38.17 125.8 63.87 48.39 "Yes"
"13" 38.21 112.23 78.43 48.28 "Yes"
"14" 38.27 88.47 50.28 48.75 "Yes"
"15" 38.28 86.52 44.51 33.63 "Yes"
"16" 38.4 111.95 59.84 35.34 "Yes"
"17" 38.59 126.06 77.52 53.21 "Yes"
"18" 37.75 85.73 44.8 42.47 "Yes"
"19" 37.86 108.52 73.87 52.14 "Yes"
"20" 38.18 90.84 63.77 53.09 "Yes"
"21" 37.53 84.59 49.4 38.54 "Yes"
"22" 37.62 99.15 53.35 49.69 "Yes"
"23" 38.65 111.28 52.86 56.58 "Yes"
"24" 38.28 95.79 59.81 43.32 "Yes"
"25" 38.33 90.65 73.52 45.89 "Yes"
"26" 38.45 83.63 57.93 39.62 "Yes"
"27" 38.12 110.36 59.55 53.02 "Yes"
"28" 37.94 86.31 54.26 39.5 "Yes"
"29" 37.76 98.53 51.05 49.94 "Yes"
"30" 37.99 78.4 73.67 40.86 "Yes"
"31" 37.6 77.99 61.36 46.16 "Yes"
"32" 38.33 110.57 73.12 49.31 "Yes"
"33" 38.27 98.59 66.51 44.8 "Yes"
"34" 37.9 96.88 63.47 48.65 "Yes"
"35" 38.01 91.51 59.22 44.71 "Yes"
"36" 38.19 106.57 78.65 38.08 "Yes"
"37" 38.39 118.72 67.29 47.08 "Yes"
"38" 37.97 90.68 48.89 45.35 "Yes"
"39" 38.36 78.74 74.94 44.22 "Yes"
"40" 37.77 108.82 67.81 40.22 "Yes"
"41" 39.01 121.79 61.17 59.54 "Yes"
"42" 38.14 108.99 58.66 52.23 "Yes"
"43" 38.01 72.67 65.98 35.04 "Yes"
"44" 38.28 100.76 71.54 51.01 "Yes"
"45" 38.63 87.65 74.15 39.89 "Yes"
"46" 37.91 71.69 48.27 41.54 "Yes"
"47" 38.42 75.04 41.35 45.74 "Yes"
"48" 37.82 69.79 48.42 42.69 "Yes"
"49" 38.25 91.13 59.02 40.74 "Yes"
"50" 38.61 109.53 70.22 50.62 "Yes"
"51" 39.26 126.1 68.09 56.17 "Yes"
"52" 38.48 65.76 42.39 38.94 "Yes"
"53" 37.96 97.27 50.18 39.22 "Yes"
"54" 38.62 109.96 76.16 49.7 "Yes"
"55" 37.24 86.61 49.96 46.63 "Yes"
"56" 38.34 93.85 52.49 43.04 "Yes"
"57" 38.11 126.33 86 44.39 "Yes"
"58" 37.6 99.45 55.57 41.87 "Yes"
"59" 38.16 78.15 57.38 54.09 "Yes"
"60" 38.15 134.11 73.08 46.97 "Yes"
"61" 37.81 110.54 77.31 49.08 "Yes"
"62" 38.69 98 71.99 48.48 "Yes"
"63" 38.16 81.01 61.9 36.24 "Yes"
"64" 38.02 102.16 56.26 40.59 "Yes"
"65" 38.48 87.57 53.46 48.65 "Yes"
"66" 37.67 97.77 60.78 59.96 "Yes"
"67" 38.38 120.13 62.96 63.28 "Yes"
"68" 38.2 93.96 45.76 45.11 "Yes"
"69" 38.36 102.61 57.17 39.6 "Yes"
"70" 38.09 72.62 45.94 39.05 "Yes"
"71" 38.56 115.01 44.6 50.09 "Yes"
"72" 38.03 87.46 66.9 51.8 "Yes"
"73" 38.39 97.01 61.67 46.76 "Yes"
"74" 37.61 106.85 49.32 48.98 "Yes"
"75" 38.38 91.28 60.62 52.7 "Yes"
"76" 39 122.41 58.92 51.38 "Yes"
"77" 37.65 87.18 56.67 50.4 "Yes"
"78" 38.09 88.55 48.26 52 "Yes"
"79" 38.46 117.31 78 57.97 "Yes"
"80" 37.94 48.71 35.17 43.74 "No"
"81" 38.1 57.43 29.79 46.7 "No"
"82" 38.12 40.04 38.51 31.2 "No"
"83" 38.65 71.32 47.56 45.41 "No"
"84" 38.43 60.73 44.83 40.24 "No"
"85" 38.08 41.76 36.38 34.27 "No"
"86" 38.43 71.53 40.24 52 "No"
"87" 38.6 45.69 28.72 48.01 "No"
"88" 38.59 38.29 34.53 32.72 "No"
"89" 38.54 39.06 54.51 38.37 "No"
"90" 38.1 66.88 41.86 45.98 "No"
"91" 37.94 44.39 34.81 34.81 "No"
"92" 38.76 58.46 41.85 36.6 "No"
"93" 38 65.96 31.43 48.47 "No"
"94" 38.02 62.79 29.08 47.39 "No"
"95" 38.28 67.77 42.8 49.14 "No"
"96" 38.82 36.75 42.86 29.91 "No"
"97" 38.39 63.18 49.42 45.87 "No"
"98" 38.65 49.13 43.58 46.98 "No"
"99" 38.73 60.55 39.15 52.07 "No"
"100" 37.77 54.78 29.56 46.37 "No"
"101" 37.64 55.29 42.06 45.35 "No"
"102" 38.03 69.35 56.16 49.24 "No"
"103" 37.98 66.55 35.38 50.95 "No"
"104" 37.22 48.96 41.31 42.89 "No"
"105" 38.52 77.61 48.6 45.15 "No"
"106" 38.82 53.82 36.61 44.58 "No"
"107" 38.42 69.46 51.82 42.38 "No"
"108" 37.63 79 61.55 50.24 "No"
"109" 37.79 60.99 44.02 46.46 "No"
"110" 37.76 78.09 59.63 49.84 "No"
"111" 37.93 67.42 49.25 45.53 "No"
"112" 38.07 48.62 36.42 39.27 "No"
"113" 38.22 66.11 41.12 44.15 "No"
"114" 38.13 71.84 51.94 42.81 "No"
"115" 38.24 61.25 31.43 45.84 "No"
"116" 39.08 78.55 47.4 48.93 "No"
"117" 38.23 67.82 47.71 39.35 "No"
"118" 38.18 60.29 38.62 44.03 "No"
"119" 38.2 65.86 30.03 49.02 "No"
"120" 38.23 55 49.18 47.3 "No"
"121" 37.99 70.54 44.1 48.44 "No"
"122" 38 64.82 48.14 45.09 "No"
"123" 37.83 77.31 58.6 53.17 "No"
"124" 37.68 63.24 45.2 46.83 "No"
"125" 38.02 53.62 43.98 42.74 "No"
"126" 38.13 73.54 46.65 48.21 "No"
"127" 38.5 58.55 30 47.73 "No"
"128" 37.71 72.39 32.93 50.16 "No"
"129" 38.02 51.43 35.32 43.12 "No"
"130" 38.72 76.23 49.32 50.03 "No"
"131" 38.38 52.08 38.92 44.48 "No"
"132" 37.52 67.75 45.57 42.69 "No"
"133" 39.14 65.57 53.71 40.66 "No"
"134" 37.99 54.82 34.51 43.1 "No"
"135" 37.97 62.46 46.73 46.38 "No"
"136" 37.78 38.54 37.63 31.08 "No"
"137" 38.22 52.81 34.78 44.53 "No"
"138" 38.44 60.94 48.04 39.36 "No"
"139" 37.86 65.68 49.22 42.84 "No"
"140" 38.2 54.21 25.67 40.44 "No"
"141" 38.05 56.32 40.04 44.43 "No"
"142" 37.85 91.27 54.72 57.69 "No"
"143" 37.68 65.43 39.76 43.89 "No"
"144" 37.96 61.85 50.66 49.84 "No"
"145" 38.43 74.53 44.81 45.54 "No"
"146" 38.44 33.71 22.41 31.85 "No"
"147" 37.76 44.28 24.46 39.84 "No"
"148" 38.01 60.04 41.08 40.98 "No"
"149" 38.19 72.56 44.2 51.62 "No"
"150" 38.38 65.24 38.15 49.18 "No"
"151" 37.37 73.21 47.52 53.11 "No"
"152" 37.92 64.74 39.99 47.6 "No"
"153" 37.61 78.28 52.3 48.68 "No"
"154" 37.89 62.43 47.07 53.45 "No"
"155" 38.75 80.32 63.34 50.36 "No"
"156" 37.92 51.87 25.72 37.44 "No"
"157" 38.26 54.31 25.66 48.49 "No"
"158" 38.58 53.79 49.63 33.84 "No"
"159" 37.61 44.09 33.75 34.38 "No"
"160" 38.13 61.45 44.48 37.1 "No"
"161" 38.01 56.34 44.34 41.71 "No"
"162" 37.77 72.24 39.88 48.21 "No"
"163" 38.1 59.66 43.94 39.52 "No"
"164" 37.49 71.26 43.8 48.15 "No"
"165" 37.96 86.18 60.43 51.66 "No"
"166" 38.61 50.28 41.7 41.25 "No"
"167" 38.41 60.74 45.28 41.4 "No"
"168" 38.72 50.87 33.46 38.31 "No"
"169" 37.84 72.7 47.27 52.21 "No"
"170" 38.25 27.33 25.21 36.31 "No"
"171" 37.4 59.61 36.43 49.27 "No"
"172" 37.77 52.51 31.27 47.01 "No"
"173" 38.72 92.47 58.58 48.23 "No"
"174" 37.94 77.14 47.84 42.44 "No"
"175" 38.19 55.4 36.62 42.76 "No"
"176" 37.82 56.1 42.67 43.12 "No"
"177" 38.13 55.86 31.9 47.64 "No"
"178" 38.05 49.57 33.03 46.32 "No"
"179" 37.94 57.01 27.61 47.15 "No"
"180" 38.8 55.15 35.29 49.84 "No"
"181" 37.95 60.4 45.27 42.56 "No"
"182" 37.9 68 33.55 43.86 "No"
"183" 38.41 55.54 45.71 32.91 "No"
"184" 37.37 53.45 50.34 41.19 "No"
"185" 38.13 57.36 31.69 39.08 "No"
"186" 38.99 49.49 31.29 47.22 "No"
"187" 38.59 63.59 34.34 44.83 "No"
"188" 38.17 68.51 44.1 45.33 "No"
"189" 38.44 62.05 41 44.33 "No"
"190" 38.54 61.71 35.59 42.4 "No"
"191" 37.82 50.41 34.36 51.26 "No"
"192" 38.34 57.46 33.19 43.09 "No"
"193" 37.82 58.79 40.73 44.19 "No"
"194" 37.55 50.5 44.88 38.06 "No"
"195" 38.2 62.26 39.73 44.74 "No"
"196" 37.98 72.05 58.03 49.04 "No"
"197" 37.26 78.76 41.49 52.48 "No"
"198" 38.21 51.16 43.71 44.74 "No"
"199" 38.56 57.23 40.21 39.37 "No"
"200" 38.29 64.71 45.27 44.09 "No"
"201" 37.54 57.95 39.79 38.38 "No"
"202" 37.46 72.38 34.05 57.24 "No"
"203" 38 69.4 43.36 42.08 "No"
"204" 37.7 52.38 42.53 36.53 "No"
"205" 38.81 64.25 41.33 44.43 "No"
"206" 38.44 58.14 32.97 43.56 "No"
"207" 37.97 73.4 56.48 44.2 "No"
"208" 37.83 59.03 38.62 40.25 "No"
"209" 38.34 65.56 43.6 39.64 "No"
"210" 37.95 79.67 58.66 53.93 "No"
"211" 37.77 64.28 35.41 46.69 "No"
"212" 37.98 60.56 32.13 50.1 "No"
"213" 38.13 74.31 52.25 49.61 "No"
"214" 38.27 70.84 44.87 47.78 "No"
"215" 37.72 41.37 35.61 39.64 "No"
"216" 38.37 56.93 34.1 39.49 "No"
"217" 38.44 71.19 50.86 42.44 "No"
"218" 38.53 59.9 46.9 48.91 "No"
"219" 38 62.65 46.87 46.93 "No"
"220" 38.28 72.13 50.21 52.17 "No"
"221" 38.19 77.89 46.76 50.62 "No"
"222" 38.03 62.95 53.74 44.85 "No"
"223" 37.61 66.37 48.24 51.73 "No"
"224" 37.93 65.45 43.59 40.87 "No"
"225" 37.46 66.53 42.61 42.37 "No"
"226" 37.91 43.53 21.51 37.51 "No"
"227" 38.85 43.91 27.38 40.49 "No"
"228" 38.16 61.02 49.65 44.49 "No"
"229" 38.6 55.63 38.6 44.25 "No"
"230" 37.04 38.95 21.38 44.66 "No"
"231" 37.62 70.06 43.89 48.54 "No"
"232" 37.78 68.54 55.7 45.24 "No"
"233" 37.77 79.66 57.67 44.42 "No"
"234" 38.15 54.83 28.38 46.54 "No"
"235" 37.84 37.76 34.56 39.08 "No"
"236" 38.03 58.44 46.35 43.73 "No"
"237" 37.81 57.07 54.14 40.1 "No"
"238" 38.38 51.43 31.33 45.93 "No"
"239" 38.21 70.06 48.15 51.62 "No"
"240" 38.27 83.26 61.5 44.19 "No"
"241" 37.89 73.02 37.62 53.67 "No"
"242" 37.96 41.35 24.81 39.07 "No"
"243" 38.01 58.61 51.23 43.03 "No"
"244" 38.05 73.91 47.97 44.64 "No"
"245" 37.86 79.65 54.21 59.74 "No"
"246" 37.96 64.21 43.16 47.7 "No"
"247" 38.15 47.61 45.48 26.92 "No"
"248" 38.62 70.49 37.16 52.45 "No"
"249" 37.99 66.09 38 44.13 "No"
"250" 37.24 81.61 38.69 55.8 "No"
"251" 38.07 69.99 47.52 51.5 "No"
"252" 38.19 80.87 49.14 53.18 "No"
"253" 38.07 46.69 37.37 40.15 "No"
"254" 38.09 66.8 40.67 45.22 "No"
"255" 38.13 31.5 34.78 30.54 "No"
"256" 38.75 85.1 59.09 47.37 "No"
"257" 38.4 70.76 39.08 42.51 "No"
"258" 37.66 62.99 32.93 48.52 "No"
"259" 38.64 66.16 46.06 51.4 "No"
"260" 38.1 51.42 38.29 39.82 "No"
"261" 37.48 72.53 48.58 47.91 "No"
"262" 37.98 58.16 40.3 47.96 "No"
"263" 37.48 54.7 42.84 38.65 "No"
"264" 37.83 50.46 31.09 39.32 "No"
"265" 37.92 65.87 43.42 49.44 "No"
"266" 37.63 63.73 36.48 43.59 "No"
"267" 38.84 59.72 30.39 40.15 "No"
"268" 38.23 71.54 47.11 46.95 "No"
"269" 38.15 63.9 48.36 45.24 "No"
"270" 37.88 51.25 40.8 35.75 "No"
"271" 38 62.85 42.15 48.18 "No"
"272" 38.08 63.71 34.9 41.2 "No"
"273" 37.58 74.66 47.04 47 "No"
"274" 38.16 61.57 36.65 45.78 "No"
"275" 38.2 64.43 42.86 44.76 "No"
"276" 38.22 50.46 28.45 38.17 "No"
"277" 37.68 93.44 58.96 49.22 "No"
"278" 38.69 47.09 19.79 45.29 "No"
"279" 37.86 64.33 39.46 46.35 "No"
"280" 38.01 56.12 44.34 37.99 "No"
"281" 38.04 48.56 36.11 32.69 "No"
"282" 37.87 44.98 44.78 43.5 "No"
"283" 38.32 66.94 44.97 45.91 "No"
"284" 37.84 63.35 36.9 40.84 "No"
"285" 37.74 67.66 48.78 42.73 "No"
"286" 37.69 35.01 33.4 37.17 "No"
"287" 37.83 56.07 49.34 50.27 "No"
"288" 38.34 42.39 39.07 37.33 "No"
"289" 38.2 79.21 69.84 48.3 "No"
"290" 37.74 51.81 29.03 42.55 "No"
"291" 38.55 75.93 50.26 50.92 "No"
"292" 38.18 65.61 43.74 48.53 "No"
"293" 38.43 54.74 40.46 44.14 "No"
"294" 38.39 53.82 42.62 41.43 "No"
"295" 38.48 36.79 34.76 32.98 "No"
"296" 38.09 68.73 42.54 41.08 "No"
"297" 38.59 66.72 37.5 48.02 "No"
"298" 38.1 46.26 30.66 40.89 "No"
"299" 38.11 70.38 42.88 50.36 "No"
"300" 37.95 44.31 36.28 33.54 "No"
