"kg" "t" "day"
"1" 48.4 2 "weekday"
"2" 125.36 3 "weekend"
"3" 108.18 4 "weekend"
"4" 56.41 6 "weekday"
"5" 55.14 8 "weekday"
"6" 146.9 10 "weekend"
"7" 138.79 11 "weekend"
"8" 72.82 12 "weekday"
"9" 69.79 13 "weekday"
"10" 62.35 15 "weekday"
"11" 73.38 16 "weekday"
"12" 104.38 17 "weekend"
"13" 62.43 21 "weekday"
"14" 72.03 22 "weekday"
"15" 85.54 23 "weekday"
"16" 125.28 24 "weekend"
"17" 155.2 25 "weekend"
"18" 88.98 27 "weekday"
"19" 85.64 28 "weekday"
"20" 81.34 30 "weekday"
"21" 160.88 31 "weekend"
"22" 146.21 32 "weekend"
"23" 93.27 33 "weekday"
"24" 121.54 34 "weekday"
"25" 84.39 35 "weekday"
"26" 169.08 38 "weekend"
"27" 186.72 39 "weekend"
"28" 132.21 40 "weekday"
"29" 125.93 41 "weekday"
"30" 125.14 42 "weekday"
"31" 145.24 43 "weekday"
"32" 126.33 44 "weekday"
"33" 191.33 46 "weekend"
"34" 145.77 47 "weekday"
"35" 118.18 48 "weekday"
"36" 168.17 51 "weekday"
"37" 163.91 54 "weekday"
"38" 143.44 55 "weekday"
"39" 157.36 56 "weekday"
"40" 140.61 57 "weekday"
"41" 163.72 58 "weekday"
"42" 207.28 59 "weekend"
"43" 170.26 61 "weekday"
