"Flip-Flops" "Swimsuit"
"shop1" 38.18 77.09
"shop2" 33.06 82.33
"shop3" 30.6 77.3
"shop4" 31.76 79.31
"shop5" 33.78 90.04
"shop6" 36.58 84.3
"shop7" 34.85 75.34
"shop8" 38.87 89.58
"shop9" 32.48 84.15
"shop10" 41.88 93.95
"shop11" 37.05 75.28
"shop12" 37.41 81.53
"shop13" 33.42 90.34
"shop14" 37.68 87.17
"shop15" 32.91 76.17
"shop16" 38.37 95.7
"shop17" 36.6 80.72
"shop18" 32.76 87.6
"shop19" 33.44 86.21
"shop20" 37.15 90.46
"shop21" 31.53 85.72
"shop22" 37.2 84.68
"shop23" 32.34 84.7
"shop24" 33.32 86.41
"shop25" 31.25 81.03
"shop26" 34.65 83.79
"shop27" 37.1 78.77
"shop28" 33.43 76.21
"shop29" 32.93 86.33
"shop30" 36.1 92.12
"shop31" 40.58 88.92
"shop32" 36.25 88.1
"shop33" 32.25 84.98
"shop34" 33.73 84.44
"shop35" 41.83 86.9
"shop36" 29.71 77.62
"shop37" 36.96 80.87
"shop38" 35.95 84.61
"shop39" 37 84.97
"shop40" 34.77 92.37
"shop41" 38.31 88.86
"shop42" 34.46 84.84
"shop43" 35.06 85.98
"shop44" 35.47 89.58
"shop45" 34.04 87.88
