"Jun" "Jul" "Aug" "Sept"
"1" 76828.33 94178.97 87348.78 49828.59
"2" 75178.64 80621.67 83500.54 33471
"3" 66452.36 75697.98 87967.41 43334.22
"4" 69585.82 81025.64 78486.8 45076.02
"5" 88229.77 90721.66 84597.72 47631.84
"6" 71671.07 78981.74 89141.45 38933.83
"7" 70072.22 85346.5 96778.6 56248.32
"8" 64853.97 78155 83999.01 41883.62
"9" 72624.84 85898.18 91055.91 51465.03
"10" 64315.31 77672.71 89168.35 33957.66
"11" 75916.21 83084.66 84589.06 44966.3
"12" 73926.93 73443.03 89579.06 35965.05
"13" 66389.78 78300.65 79095.82 46409.3
"14" 75052.23 88134.68 90682.13 49859.96
"15" 77006.88 81567.38 90886.39 46431.85
"16" 88035.21 81183.46 93309.19 35889.64
"17" 70987.59 73736.69 81369.28 41950.05
"18" 79419.93 80936.88 89925.83 39847.01
"19" 78046.57 73563.27 88401.74 44196.59
"20" 69879.58 77129.18 89711.28 38641.9
"21" 83625.7 98481.72 98680.74 54018.19
"22" 72358.17 81925.11 95044.08 47608.97
"23" 78429.03 96177.06 100498.82 46193.71
"24" 80380.83 83723.99 82100.8 47278.65
"25" 80280.26 85742.6 97441.29 52741.69
"26" 75933.51 72535.38 81769.76 39177.22
"27" 77460.94 93260.48 92906.48 43770.84
"28" 69893.15 85042.62 98075.65 47857.5
"29" 73394.96 83315.76 90260.18 53798.82
"30" 72181.9 78355.05 84913.25 37351.79
"31" 74538.19 85311.49 84046.05 32115.4
"32" 79740.62 94506.47 94530.1 52526.75
"33" 69792.49 72007.73 81641.97 40626.02
"34" 70419.97 83098.42 77227.35 45310.42
"35" 70538.65 88716.11 94846.3 46918.92
"36" 72348.48 81409.01 81779.99 35728.66
"37" 77885.46 86511.97 89624.27 50522.93
