"S.Mar-Paraggi" "Paraggi-Portofino"
"1" 28.64 17.38
"2" 39.04 25.11
"3" 38.43 23.13
"4" 28.01 14.55
"5" 30.22 14.45
"6" 28.59 15.81
"7" 40.94 28.22
"8" 35.83 20.94
"9" 41.14 25.02
"10" 27.45 17.38
"11" 27.69 15.29
"12" 27.64 15.63
"13" 42.21 25.12
"14" 36.86 23.08
"15" 39.94 22.35
"16" 38.9 21.58
"17" 45.63 26.52
"18" 27.61 16.02
"19" 44.2 23.67
"20" 41.93 24.52
"21" 26.03 14.27
"22" 23.54 13.93
"23" 38.73 23.09
"24" 26.3 17.7
"25" 26.48 11.8
"26" 41.99 23.91
"27" 36.88 25.08
"28" 37.3 25.02
"29" 27.96 17.93
"30" 39.03 24.62
"31" 40.73 25.01
"32" 40.11 24.71
"33" 27.66 15.9
"34" 41.67 23.5
"35" 41.55 23.99
"36" 36.05 24.59
"37" 36.5 19.79
"38" 43.74 22.67
"39" 44.26 26.5
"40" 44.06 28.37
"41" 42.71 24.17
"42" 34.85 21.69
"43" 38.84 21.06
"44" 44.01 25.43
"45" 25.28 14.38
"46" 39.88 21.48
"47" 26.7 16.3
"48" 39.3 23.21
"49" 42.48 23.12
"50" 28.94 16.64
"51" 42.18 24.75
"52" 25.46 14.41
"53" 25.2 17.68
"54" 27.36 14.77
"55" 29.32 17.04
"56" 39.67 25.77
"57" 45.16 26.96
"58" 40.59 23.33
"59" 43.22 26.15
"60" 25.24 14.49
"61" 33.65 17.22
"62" 25.56 13.76
"63" 40.61 23.63
"64" 37.18 24.68
"65" 41.64 26.39
"66" 25.51 11.98
"67" 42.87 24.3
"68" 37.98 21.07
"69" 21.21 9.73
"70" 26.83 16.37
"71" 27.71 13.08
"72" 28.76 14.65
"73" 39.57 22.97
"74" 38.31 24.43
"75" 29.55 15.17
"76" 27.56 16.73
"77" 28.15 15.64
"78" 38.49 22.27
"79" 43.37 23.64
"80" 42.99 26.37
