"Flip-Flops" "Swimsuit"
"shop1" 26.07 67.89
"shop2" 27.09 61.56
"shop3" 30.76 68.23
"shop4" 30.65 65.27
"shop5" 30.18 62.82
"shop6" 25.01 56.54
"shop7" 30.5 66.78
"shop8" 32.23 71
"shop9" 24.76 59.23
"shop10" 28.6 72.95
"shop11" 23.79 61.24
"shop12" 25.91 65.09
"shop13" 27.09 68.19
"shop14" 24.94 61.24
"shop15" 28.61 60.26
"shop16" 27.12 72.79
"shop17" 25.12 57.39
"shop18" 26.01 69.3
"shop19" 22.27 60.05
"shop20" 28.48 62.09
"shop21" 28.59 64.39
"shop22" 32.2 67.92
"shop23" 23.45 66.6
"shop24" 23.23 59.16
"shop25" 33.32 72.86
"shop26" 26.64 67.16
"shop27" 27 69.27
"shop28" 32.29 75.35
"shop29" 30.09 68.75
"shop30" 27.75 60.51
"shop31" 24.63 69.18
"shop32" 32.09 63.64
"shop33" 29.61 67.65
"shop34" 29.66 68.78
"shop35" 33.06 69.3
"shop36" 32.05 75.83
"shop37" 26.33 61.87
"shop38" 29.23 65.99
"shop39" 25.43 68.39
"shop40" 35.76 76.75
"shop41" 27.05 63.45
"shop42" 27.67 62.94
"shop43" 31.57 76.23
"shop44" 28.95 69.69
"shop45" 29.8 65.7
