"Registered" "Talk" "No show"
"1969" 261 122 26
"1970" 301 116 32
"1971" 237 116 26
"1972" 237 105 24
"1973" 219 100 11
"1974" 268 119 24
"1975" 292 115 16
"1976" 233 112 17
"1977" 272 125 12
"1978" 296 114 13
"1979" 230 120 29
"1980" 232 130 26
"1981" 242 121 26
"1982" 269 129 24
"1983" 259 135 35
"1984" 223 103 9
"1985" 269 114 31
"1986" 210 122 13
"1987" 244 124 33
"1988" 273 120 40
"1989" 196 115 15
"1990" 260 125 30
"1991" 237 126 22
"1992" 247 126 28
"1993" 280 119 21
"1994" 214 113 11
"1995" 223 134 38
"1996" 252 123 30
"1997" 254 130 23
"1998" 251 123 31
"1999" 267 115 6
"2000" 261 102 25
"2001" 214 124 0
"2002" 265 124 20
"2003" 236 125 32
"2004" 269 108 23
"2005" 235 108 21
"2006" 229 128 27
"2007" 241 102 14
"2008" 264 120 28
"2009" 235 110 19
"2010" 244 123 25
"2011" 236 109 20
"2012" 285 133 28
"2013" 270 125 44
"2014" 276 136 27
"2015" 227 114 24
"2016" 247 118 18
"2017" 261 120 22
"2018" 229 112 17
