"N.people" "day" "temperature" "rain"
"1" 329 66 25.4 "no"
"2" 313 46 28.1 "no"
"3" 342 53 28.9 "no"
"4" 268 81 33.6 "no"
"5" 298 44 27.6 "no"
"6" 199 9 19.9 "no"
"7" 282 92 19.6 "no"
"8" 304 83 21.6 "no"
"9" 188 11 24.8 "yes"
"10" 234 10 27.7 "no"
"11" 298 59 20.7 "yes"
"12" 323 83 28.4 "no"
"13" 235 24 24.5 "no"
"14" 325 64 22.1 "no"
"15" 285 30 30.2 "yes"
"16" 292 79 26.5 "no"
"17" 281 61 29.4 "yes"
"18" 186 14 27.6 "yes"
"19" 296 28 26.8 "no"
"20" 211 4 24.5 "yes"
"21" 172 4 20.8 "yes"
"22" 264 71 19.1 "no"
"23" 288 63 22.7 "no"
"24" 217 5 18.5 "no"
"25" 186 9 24 "yes"
"26" 324 56 26.9 "yes"
"27" 190 3 25 "no"
"28" 323 69 21.7 "no"
"29" 250 20 28.5 "no"
"30" 306 42 20.6 "no"
"31" 284 77 21.8 "no"
"32" 332 66 20.1 "no"
"33" 281 38 19.5 "no"
"34" 268 85 21 "no"
"35" 266 33 27.5 "no"
"36" 261 30 23.6 "no"
"37" 231 92 26 "no"
"38" 187 1 25.7 "no"
"39" 252 21 24.1 "no"
"40" 173 4 27.8 "no"
"41" 237 6 23.3 "no"
"42" 194 5 22.7 "yes"
"43" 259 22 33 "no"
"44" 174 1 21.2 "yes"
"45" 266 26 31.7 "no"
"46" 294 35 18.7 "no"
"47" 264 26 26.4 "no"
"48" 192 9 23 "no"
"49" 275 83 24.6 "yes"
"50" 250 19 22.2 "yes"
"51" 337 72 25.3 "yes"
"52" 313 57 22.4 "no"
"53" 139 2 27.9 "no"
"54" 228 20 25.8 "no"
"55" 255 92 25.9 "no"
