"water" "sailing.time" "type"
"1" 32.08 82.69 "seadog"
"2" 34.09 113.85 "seadog"
"3" 31.35 69.39 "seadog"
"4" 30.33 111.54 "seadog"
"5" 23.58 67.95 "seadog"
"6" 45.69 99.52 "seadog"
"7" 42.12 123.1 "seadog"
"8" 36.44 124.19 "seadog"
"9" 36.08 85.08 "seadog"
"10" 30.49 92.69 "seadog"
"11" 34.77 129.6 "seadog"
"12" 37.02 81.91 "seadog"
"13" 27.72 43.98 "seadog"
"14" 34.55 71.9 "seadog"
"15" 41.1 115.82 "seadog"
"16" 32 105.82 "seadog"
"17" 28.34 121.14 "seadog"
"18" 24.83 72.47 "seadog"
"19" 32.72 59.2 "seadog"
"20" 41.97 125.79 "seadog"
"21" 25.01 76.05 "seadog"
"22" 32.61 24.77 "seadog"
"23" 28.8 81.36 "seadog"
"24" 32.32 100.97 "seadog"
"25" 31.78 91.23 "seadog"
"26" 31.79 85 "seadog"
"27" 33.39 90.99 "seadog"
"28" 24.91 66.81 "seadog"
"29" 38.18 105.8 "seadog"
"30" 26.85 99.94 "seadog"
"31" 39.54 110.55 "seadog"
"32" 33.37 76.11 "seadog"
"33" 28.84 52 "seadog"
"34" 31.96 68.15 "seadog"
"35" 23.66 77.03 "seadog"
"36" 26.06 75.81 "seadog"
"37" 21.98 96.89 "seadog"
"38" 30.52 72.33 "seadog"
"39" 20.59 104.03 "seadog"
"40" 26.17 69.04 "seadog"
"41" 33.56 93.52 "seadog"
"42" 26.08 97.41 "seadog"
"43" 40.39 165.78 "seadog"
"44" 41.32 81.02 "seadog"
"45" 33.2 90.9 "seadog"
"46" 31.93 80.94 "seadog"
"47" 27.75 52.19 "seadog"
"48" 34.18 99.51 "seadog"
"49" 32.29 70.26 "seadog"
"50" 42.8 144.16 "seadog"
"51" 32.44 102.54 "seadog"
"52" 23.42 74.84 "seadog"
"53" 33.16 85.33 "seadog"
"54" 30.73 108.25 "seadog"
"55" 37.04 126.27 "seadog"
"56" 28.35 98.1 "seadog"
"57" 19.01 52.03 "seadog"
"58" 28.02 88.65 "seadog"
"59" 35.25 84 "seadog"
"60" 25.92 48.53 "seadog"
"61" 32.78 237 "vacationer"
"62" 23.83 245.74 "vacationer"
"63" 18.74 234.29 "vacationer"
"64" 13.94 273.34 "vacationer"
"65" 19.02 166.12 "vacationer"
"66" 12.37 162.8 "vacationer"
"67" 17.14 209.06 "vacationer"
"68" 12.37 303.27 "vacationer"
"69" 22.67 63.53 "vacationer"
"70" 17.28 106.26 "vacationer"
"71" 21.47 287.78 "vacationer"
"72" 20.69 94.7 "vacationer"
"73" 20.31 92.99 "vacationer"
"74" 20.35 270.76 "vacationer"
"75" 12.19 198.31 "vacationer"
"76" 8.12 65.4 "vacationer"
"77" 25.56 334.38 "vacationer"
"78" 10.89 62.74 "vacationer"
"79" 15.35 216.21 "vacationer"
"80" 27.16 157.41 "vacationer"
"81" 20.91 245.21 "vacationer"
"82" 13.5 122.27 "vacationer"
"83" 22.3 111.06 "vacationer"
"84" 17.75 158.52 "vacationer"
"85" 21.42 164.34 "vacationer"
"86" 20.07 157.9 "vacationer"
"87" 13.13 246.36 "vacationer"
"88" 18.03 170.91 "vacationer"
"89" 23.73 149.78 "vacationer"
"90" 22.12 118.28 "vacationer"
"91" 16.19 74.83 "vacationer"
"92" 17.3 155.37 "vacationer"
"93" 10.63 180.68 "vacationer"
"94" 21.56 243.97 "vacationer"
"95" 22.16 88.87 "vacationer"
"96" 11.39 13.07 "vacationer"
"97" 13.37 116.78 "vacationer"
"98" 15.26 79.52 "vacationer"
"99" 22.89 150.94 "vacationer"
"100" 13.4 87.81 "vacationer"
"101" 25.06 258.36 "vacationer"
"102" 16.65 129.68 "vacationer"
"103" 23.89 92.64 "vacationer"
"104" 18.92 139 "vacationer"
"105" 15.42 220.16 "vacationer"
"106" 15.75 263.69 "vacationer"
"107" 15.99 162.09 "vacationer"
"108" 23.82 131.72 "vacationer"
"109" 23.82 158.31 "vacationer"
"110" 23.37 146.52 "vacationer"
"111" 13.91 255.56 "vacationer"
"112" 26.56 218.15 "vacationer"
"113" 24.12 145.14 "vacationer"
"114" 15.33 185.73 "vacationer"
"115" 28.2 203.19 "vacationer"
"116" 29.62 100.62 "vacationer"
"117" 27.37 105.79 "vacationer"
"118" 28.3 39.24 "vacationer"
"119" 24.08 261.18 "vacationer"
"120" 25.9 303.01 "vacationer"
