"waiting" "course" "city"
"1" 90 "Starter" "Iasi"
"2" 82 "Starter" "Iasi"
"3" 82 "Starter" "Iasi"
"4" 80 "Starter" "Iasi"
"5" 82 "Starter" "Iasi"
"6" 79 "Starter" "Iasi"
"7" 83 "Starter" "Iasi"
"8" 70 "Starter" "Iasi"
"9" 82 "Starter" "Iasi"
"10" 79 "Starter" "Iasi"
"11" 92 "Starter" "Iasi"
"12" 74 "Starter" "Iasi"
"13" 65 "Starter" "Iasi"
"14" 76 "Starter" "Iasi"
"15" 85 "Starter" "Iasi"
"16" 83 "Starter" "Iasi"
"17" 71 "Starter" "Iasi"
"18" 86 "Starter" "Iasi"
"19" 86 "Starter" "Iasi"
"20" 81 "Starter" "Iasi"
"21" 74 "Starter" "Iasi"
"22" 83 "Starter" "Iasi"
"23" 77 "Starter" "Iasi"
"24" 75 "Starter" "Iasi"
"25" 79 "Starter" "Iasi"
"26" 67 "Starter" "Iasi"
"27" 78 "Starter" "Iasi"
"28" 83 "Starter" "Iasi"
"29" 73 "Starter" "Iasi"
"30" 78 "Starter" "Iasi"
"31" 72 "Starter" "Bucarest"
"32" 91 "Starter" "Bucarest"
"33" 91 "Starter" "Bucarest"
"34" 91 "Starter" "Bucarest"
"35" 91 "Starter" "Bucarest"
"36" 87 "Starter" "Bucarest"
"37" 81 "Starter" "Bucarest"
"38" 86 "Starter" "Bucarest"
"39" 75 "Starter" "Bucarest"
"40" 81 "Starter" "Bucarest"
"41" 79 "Starter" "Bucarest"
"42" 75 "Starter" "Bucarest"
"43" 70 "Starter" "Bucarest"
"44" 71 "Starter" "Bucarest"
"45" 84 "Starter" "Bucarest"
"46" 68 "Starter" "Bucarest"
"47" 74 "Starter" "Bucarest"
"48" 78 "Starter" "Bucarest"
"49" 74 "Starter" "Bucarest"
"50" 81 "Starter" "Bucarest"
"51" 77 "Starter" "Bucarest"
"52" 90 "Starter" "Bucarest"
"53" 88 "Starter" "Bucarest"
"54" 83 "Starter" "Bucarest"
"55" 78 "Starter" "Bucarest"
"56" 81 "Starter" "Bucarest"
"57" 73 "Starter" "Bucarest"
"58" 71 "Starter" "Bucarest"
"59" 83 "Starter" "Bucarest"
"60" 82 "Starter" "Bucarest"
"61" 73 "Main" "Iasi"
"62" 81 "Main" "Iasi"
"63" 103 "Main" "Iasi"
"64" 81 "Main" "Iasi"
"65" 74 "Main" "Iasi"
"66" 89 "Main" "Iasi"
"67" 89 "Main" "Iasi"
"68" 80 "Main" "Iasi"
"69" 79 "Main" "Iasi"
"70" 96 "Main" "Iasi"
"71" 81 "Main" "Iasi"
"72" 84 "Main" "Iasi"
"73" 88 "Main" "Iasi"
"74" 77 "Main" "Iasi"
"75" 79 "Main" "Iasi"
"76" 85 "Main" "Iasi"
"77" 78 "Main" "Iasi"
"78" 83 "Main" "Iasi"
"79" 69 "Main" "Iasi"
"80" 76 "Main" "Iasi"
"81" 71 "Main" "Iasi"
"82" 72 "Main" "Iasi"
"83" 84 "Main" "Iasi"
"84" 83 "Main" "Iasi"
"85" 89 "Main" "Iasi"
"86" 82 "Main" "Iasi"
"87" 79 "Main" "Iasi"
"88" 86 "Main" "Iasi"
"89" 79 "Main" "Iasi"
"90" 67 "Main" "Iasi"
"91" 72 "Main" "Bucarest"
"92" 82 "Main" "Bucarest"
"93" 74 "Main" "Bucarest"
"94" 91 "Main" "Bucarest"
"95" 93 "Main" "Bucarest"
"96" 72 "Main" "Bucarest"
"97" 77 "Main" "Bucarest"
"98" 85 "Main" "Bucarest"
"99" 91 "Main" "Bucarest"
"100" 96 "Main" "Bucarest"
"101" 87 "Main" "Bucarest"
"102" 76 "Main" "Bucarest"
"103" 86 "Main" "Bucarest"
"104" 78 "Main" "Bucarest"
"105" 77 "Main" "Bucarest"
"106" 81 "Main" "Bucarest"
"107" 90 "Main" "Bucarest"
"108" 94 "Main" "Bucarest"
"109" 82 "Main" "Bucarest"
"110" 89 "Main" "Bucarest"
"111" 79 "Main" "Bucarest"
"112" 76 "Main" "Bucarest"
"113" 93 "Main" "Bucarest"
"114" 82 "Main" "Bucarest"
"115" 76 "Main" "Bucarest"
"116" 73 "Main" "Bucarest"
"117" 83 "Main" "Bucarest"
"118" 70 "Main" "Bucarest"
"119" 80 "Main" "Bucarest"
"120" 80 "Main" "Bucarest"
"121" 27 "Dessert" "Iasi"
"122" 42 "Dessert" "Iasi"
"123" 38 "Dessert" "Iasi"
"124" 15 "Dessert" "Iasi"
"125" 26 "Dessert" "Iasi"
"126" 29 "Dessert" "Iasi"
"127" 33 "Dessert" "Iasi"
"128" 32 "Dessert" "Iasi"
"129" 18 "Dessert" "Iasi"
"130" 44 "Dessert" "Iasi"
"131" 33 "Dessert" "Iasi"
"132" 38 "Dessert" "Iasi"
"133" 33 "Dessert" "Iasi"
"134" 34 "Dessert" "Iasi"
"135" 42 "Dessert" "Iasi"
"136" 33 "Dessert" "Iasi"
"137" 11 "Dessert" "Iasi"
"138" 27 "Dessert" "Iasi"
"139" 43 "Dessert" "Iasi"
"140" 31 "Dessert" "Iasi"
"141" 22 "Dessert" "Iasi"
"142" 32 "Dessert" "Iasi"
"143" 45 "Dessert" "Iasi"
"144" 35 "Dessert" "Iasi"
"145" 40 "Dessert" "Iasi"
"146" 24 "Dessert" "Iasi"
"147" 22 "Dessert" "Iasi"
"148" 35 "Dessert" "Iasi"
"149" 31 "Dessert" "Iasi"
"150" 30 "Dessert" "Iasi"
"151" 26 "Dessert" "Bucarest"
"152" 26 "Dessert" "Bucarest"
"153" 31 "Dessert" "Bucarest"
"154" 34 "Dessert" "Bucarest"
"155" 26 "Dessert" "Bucarest"
"156" 31 "Dessert" "Bucarest"
"157" 49 "Dessert" "Bucarest"
"158" 40 "Dessert" "Bucarest"
"159" 21 "Dessert" "Bucarest"
"160" 23 "Dessert" "Bucarest"
"161" 38 "Dessert" "Bucarest"
"162" 31 "Dessert" "Bucarest"
"163" 28 "Dessert" "Bucarest"
"164" 37 "Dessert" "Bucarest"
"165" 34 "Dessert" "Bucarest"
"166" 38 "Dessert" "Bucarest"
"167" 31 "Dessert" "Bucarest"
"168" 18 "Dessert" "Bucarest"
"169" 18 "Dessert" "Bucarest"
"170" 9 "Dessert" "Bucarest"
"171" 18 "Dessert" "Bucarest"
"172" 34 "Dessert" "Bucarest"
"173" 31 "Dessert" "Bucarest"
"174" 39 "Dessert" "Bucarest"
"175" 47 "Dessert" "Bucarest"
"176" 33 "Dessert" "Bucarest"
"177" 27 "Dessert" "Bucarest"
"178" 25 "Dessert" "Bucarest"
"179" 26 "Dessert" "Bucarest"
"180" 29 "Dessert" "Bucarest"
