"MEX-OAX" "OAX-MEX"
"day1" 72.45 120.6
"day2" 46.91 67.54
"day3" 80.78 117.92
"day4" 36.43 35.71
"day5" 71.08 74.83
"day6" 50.81 44.02
"day7" 79.18 56.85
"day8" 68.55 103.9
"day9" 23.05 104.23
"day10" 39.65 36.67
"day11" 25.36 41.77
"day12" 62.56 65.49
"day13" 36.14 48.38
"day14" 5.68 -19.6
"day15" -2.84 36.24
"day16" 76.96 96.5
"day17" 55.62 119.82
"day18" 36.6 84.13
"day19" 55.77 98.49
"day20" 82.75 103.39
"day21" 33.61 51.9
"day22" 37.32 27.29
"day23" 46.58 28.79
"day24" 50.12 127.12
"day25" 47.51 76.09
"day26" 35.46 24.81
"day27" 53.44 46.2
"day28" 50.67 22.54
"day29" 43.89 41.37
"day30" 32.55 81.68
"day31" 66.13 126.98
