"t" "Position" "Season" "price"
"1" 2 "Seafront" "" 231.17
"2" 6 "Seafront" "" 250.51
"3" 7 "Seafront" "" 241.26
"4" 8 "" "" 217.7
"5" 13 "" "" 214.53
"6" 16 "" "" 212.39
"7" 18 "Seafront" "" 233.74
"8" 23 "" "" 193.53
"9" 24 "" "" 202.18
"10" 25 "" "" 184.49
"11" 33 "" "" 193.55
"12" 37 "" "" 185.62
"13" 42 "Seafront" "" 186.74
"14" 48 "Seafront" "" 179.66
"15" 53 "" "" 128.86
"16" 58 "Seafront" "" 153.39
"17" 69 "" "" 93.85
"18" 81 "Seafront" "" 127.65
"19" 82 "Seafront" "" 104.08
"20" 91 "Seafront" "" 113.95
"21" 92 "" "" 71.31
"22" 95 "" "" 77.72
"23" 97 "" "" 69.17
"24" 103 "Seafront" "" 113.66
"25" 108 "Seafront" "" 120.09
"26" 116 "" "" 106.36
"27" 123 "Seafront" "" 155.55
"28" 124 "Seafront" "" 135.16
"29" 125 "Seafront" "" 160.45
"30" 127 "Seafront" "" 150.94
"31" 130 "Seafront" "" 161.79
"32" 131 "Seafront" "" 179.89
"33" 142 "" "" 164.77
"34" 144 "" "" 165.69
"35" 151 "" "" 164.39
"36" 152 "" "" 166.71
"37" 156 "Seafront" "" 222.5
"38" 169 "" "" 216.12
"39" 175 "Seafront" "" 241.81
"40" 181 "" "" 231.2
"41" 182 "" "" 236.93
"42" 190 "Seafront" "" 247.92
"43" 206 "" "WetSeason" 172.46
"44" 210 "Seafront" "WetSeason" 190.97
"45" 213 "" "WetSeason" 133.43
"46" 214 "Seafront" "WetSeason" 182.55
"47" 217 "Seafront" "WetSeason" 170.58
"48" 219 "" "WetSeason" 110.66
"49" 220 "Seafront" "WetSeason" 138.61
"50" 222 "" "WetSeason" 128.62
"51" 229 "Seafront" "WetSeason" 126.95
"52" 234 "Seafront" "WetSeason" 133.47
"53" 238 "Seafront" "WetSeason" 119.38
"54" 247 "" "WetSeason" 74.67
"55" 257 "Seafront" "WetSeason" 86.71
"56" 259 "" "WetSeason" 57.63
"57" 263 "Seafront" "WetSeason" 89.5
"58" 265 "" "WetSeason" 41.85
"59" 275 "Seafront" "" 111.3
"60" 277 "Seafront" "" 105.54
"61" 279 "" "" 76.25
"62" 283 "Seafront" "" 110.05
"63" 285 "Seafront" "" 128.5
"64" 287 "Seafront" "" 103.99
"65" 301 "Seafront" "" 136.56
"66" 306 "" "" 114
"67" 308 "Seafront" "" 160.34
"68" 313 "Seafront" "" 156.66
"69" 314 "" "" 134.58
"70" 315 "" "" 147.11
"71" 317 "" "" 159.09
"72" 318 "" "" 159.55
"73" 325 "" "" 170.73
"74" 334 "" "" 190.02
"75" 340 "Seafront" "" 193.61
"76" 346 "Seafront" "" 234.82
"77" 347 "" "" 209
"78" 350 "" "" 200.91
"79" 352 "" "" 219.48
"80" 355 "Seafront" "" 247.75
"81" 356 "" "" 220.49
"82" 362 "Seafront" "" 229.28
"83" 364 "" "" 245.42
