"price" "type.food" "area"
"1" 419.73 "Tacos" "MexicoCity"
"2" 407.52 "Tacos" "MexicoCity"
"3" 391.18 "Tacos" "MexicoCity"
"4" 472.59 "Tacos" "MexicoCity"
"5" 466.77 "Tacos" "MexicoCity"
"6" 369.05 "Tacos" "MexicoCity"
"7" 326.67 "Tacos" "MexicoCity"
"8" 509.69 "Tacos" "MexicoCity"
"9" 386.4 "Tacos" "MexicoCity"
"10" 452.97 "Tacos" "MexicoCity"
"11" 288.24 "Tacos" "MexicoCity"
"12" 361.57 "Tacos" "MexicoCity"
"13" 416.01 "Tacos" "MexicoCity"
"14" 335.77 "Tacos" "MexicoCity"
"15" 444.29 "Tacos" "MexicoCity"
"16" 429.77 "Tacos" "MexicoCity"
"17" 322.54 "Tacos" "MexicoCity"
"18" 331.61 "Tacos" "MexicoCity"
"19" 366.41 "Tacos" "MexicoCity"
"20" 392.22 "Tacos" "MexicoCity"
"21" 182.49 "Tacos" "MexicoCity"
"22" 363.44 "Tacos" "MexicoCity"
"23" 384.84 "Tacos" "MexicoCity"
"24" 239.74 "Tacos" "MexicoCity"
"25" 309.45 "Tacos" "MexicoCity"
"26" 444.7 "Tacos" "MexicoCity"
"27" 366.78 "Tacos" "MexicoCity"
"28" 448.96 "Tacos" "MexicoCity"
"29" 450.13 "Tacos" "MexicoCity"
"30" 386.49 "Tacos" "MexicoCity"
"31" 420.58 "Tacos" "MexicoCity"
"32" 483.89 "Tacos" "MexicoCity"
"33" 489.53 "Tacos" "MexicoCity"
"34" 428.14 "Tacos" "MexicoCity"
"35" 419.92 "Tacos" "MexicoCity"
"36" 576.56 "Tacos" "MexicoCity"
"37" 643.29 "Tacos" "MexicoCity"
"38" 511.65 "Tacos" "MexicoCity"
"39" 538.93 "Tacos" "MexicoCity"
"40" 314.85 "Tacos" "MexicoCity"
"41" 457.67 "Tacos" "MexicoCity"
"42" 552.23 "Tacos" "MexicoCity"
"43" 474.64 "Tacos" "MexicoCity"
"44" 281.57 "Tacos" "MexicoCity"
"45" 510.17 "Tacos" "MexicoCity"
"46" 469.19 "Tacos" "MexicoCity"
"47" 402.71 "Tacos" "MexicoCity"
"48" 331.11 "Tacos" "MexicoCity"
"49" 350.72 "Tacos" "MexicoCity"
"50" 491.12 "Tacos" "MexicoCity"
"51" 632.51 "Tacos" "Cancun"
"52" 926.56 "Tacos" "Cancun"
"53" 685.6 "Tacos" "Cancun"
"54" 795.68 "Tacos" "Cancun"
"55" 708.89 "Tacos" "Cancun"
"56" 749 "Tacos" "Cancun"
"57" 691.56 "Tacos" "Cancun"
