"MEX-OAX" "OAX-MEX"
"day1" 50.63 53.52
"day2" 36.61 46.48
"day3" 10.55 22.39
"day4" 35.22 61.68
"day5" 21.98 60.84
"day6" 42.26 60.94
"day7" 2.99 8.33
"day8" 33.14 45.82
"day9" 33.87 30.98
"day10" 41.95 49.05
"day11" 34.73 25.41
"day12" 12.99 18.71
"day13" 33.02 39.2
"day14" 34.83 42.17
"day15" 18.23 10.98
"day16" 35.55 47.22
"day17" 25.06 25.68
"day18" 57.29 57.6
"day19" 9.2 26.46
"day20" 12.06 30.76
"day21" -1.66 -7.45
"day22" 24.38 44.12
"day23" 46.22 52.31
"day24" 51.38 55.4
"day25" 31.5 50.94
"day26" 22.15 34.92
"day27" 28.61 36
"day28" 23.16 42.98
"day29" 58.8 80.9
"day30" 28.34 41.94
"day31" 52.41 69.81
