"Year" "Aspect Ratio" "Civilization"
"1" 748 0.81 "Maya"
"2" 397 0.98 "Maya"
"3" 1089 1.05 "Maya"
"4" 1194 1.7 "Maya"
"5" 1444 1.68 "Maya"
"6" 872 1.2 "Maya"
"7" 856 1.47 "Maya"
"8" 1206 1.63 "Maya"
"9" 562 0.92 "Maya"
"10" 549 0.84 "Maya"
"11" 1014 1.25 "Maya"
"12" 839 1.33 "Maya"
"13" 963 1.31 "Maya"
"14" 684 1.04 "Maya"
"15" 749 1.22 "Maya"
"16" 1033 1.31 "Maya"
"17" 1097 1.49 "Maya"
"18" 891 1.38 "Maya"
"19" 654 1.11 "Maya"
"20" 481 1.18 "Maya"
"21" 177 1.08 "Maya"
"22" 1044 1.38 "Maya"
"23" 860 1.28 "Maya"
"24" 492 0.8 "Maya"
"25" 571 0.67 "Maya"
"26" 1360 1.62 "Maya"
"27" 960 1.45 "Maya"
"28" 865 0.91 "Maya"
"29" 522 0.79 "Maya"
"30" 505 1.06 "Maya"
"31" 217 0.86 "Maya"
"32" 1199 1.53 "Maya"
"33" 201 1.04 "Maya"
"34" 752 1.2 "Maya"
"35" 1302 1.48 "Maya"
"36" 84 0.7 "Maya"
"37" 177 1.01 "Maya"
"38" 939 1.66 "Maya"
"39" 955 1.38 "Maya"
"40" 249 1.09 "Maya"
"41" 654 1.2 "Maya"
"42" 363 1.09 "Maya"
"43" 880 1.14 "Maya"
"44" 983 1.26 "Maya"
"45" 1013 1.58 "Maya"
"46" 289 1.2 "Maya"
"47" 1036 1.53 "Maya"
"48" 846 1.43 "Maya"
"49" 832 1.13 "Maya"
"50" 837 1.16 "Maya"
"51" 368 0.89 "Maya"
"52" 574 0.97 "Maya"
"53" 1058 1.45 "Maya"
"54" 690 0.78 "Maya"
"55" 624 1.25 "Maya"
"56" 468 1.27 "Maya"
"57" 468 1.09 "Maya"
"58" 387 0.98 "Maya"
"59" 519 0.57 "Maya"
"60" 575 0.89 "Maya"
"61" 575 0.97 "Maya"
"62" 1313 1.63 "Maya"
"63" 1137 1.12 "Maya"
"64" 1141 1.6 "Maya"
"65" 468 0.99 "Maya"
"66" 1020 1.3 "Maya"
"67" 534 1.31 "Maya"
"68" 560 1.1 "Maya"
"69" 1035 1.52 "Maya"
"70" 475 0.99 "Maya"
"71" 1399 1.82 "Maya"
"72" 706 1.05 "Maya"
"73" 861 1.09 "Maya"
"74" 913 1.36 "Maya"
"75" 747 1.16 "Maya"
"76" 532 1.08 "Maya"
"77" 858 1.4 "Maya"
"78" 472 0.96 "Maya"
"79" 526 0.77 "Maya"
"80" 919 1.14 "Maya"
"81" 522 0.77 "Maya"
"82" 980 1.62 "Maya"
"83" 1061 1.3 "Maya"
"84" 1047 1.31 "Maya"
"85" 892 1.68 "Maya"
"86" 747 1.33 "Maya"
"87" 980 1.37 "Maya"
"88" 1347 1.7 "Aztec"
"89" 1464 2.08 "Aztec"
"90" 1389 1.98 "Aztec"
"91" 1403 2 "Aztec"
"92" 1470 2.05 "Aztec"
"93" 1453 2.15 "Aztec"
"94" 1437 1.87 "Aztec"
"95" 1528 2.32 "Aztec"
"96" 1424 1.78 "Aztec"
"97" 1491 1.87 "Aztec"
"98" 1467 2 "Aztec"
"99" 1437 1.97 "Aztec"
"100" 1486 2.26 "Aztec"
"101" 1461 1.83 "Aztec"
"102" 1323 1.62 "Aztec"
"103" 1375 1.87 "Aztec"
"104" 1474 2.05 "Aztec"
"105" 1424 1.71 "Aztec"
"106" 1493 2.05 "Aztec"
"107" 1529 2.43 "Aztec"
"108" 1388 1.93 "Aztec"
"109" 1370 1.84 "Aztec"
"110" 1432 1.79 "Aztec"
"111" 1380 1.89 "Aztec"
"112" 1390 1.79 "Aztec"
"113" 1409 1.92 "Aztec"
"114" 1445 2 "Aztec"
"115" 1337 1.46 "Aztec"
"116" 1482 2.01 "Aztec"
"117" 1380 2.08 "Aztec"
"118" 1468 1.95 "Aztec"
"119" 1503 2.1 "Aztec"
"120" 1434 2.14 "Aztec"
"121" 1472 1.88 "Aztec"
"122" 1413 1.65 "Aztec"
"123" 1360 1.95 "Aztec"
"124" 1425 1.97 "Aztec"
"125" 1438 2.07 "Aztec"
"126" 1004 1.92 "Toltec"
"127" 1014 2.33 "Toltec"
"128" 1062 2.42 "Toltec"
"129" 992 1.96 "Toltec"
"130" 976 1.3 "Toltec"
"131" 1000 2.04 "Toltec"
"132" 997 2.13 "Toltec"
"133" 1015 2 "Toltec"
"134" 1023 1.97 "Toltec"
"135" 1020 2.31 "Toltec"
"136" 977 2.03 "Toltec"
"137" 1036 2.07 "Toltec"
"138" 1002 1.87 "Toltec"
"139" 991 1.59 "Toltec"
"140" 1032 2.27 "Toltec"
"141" 984 1.82 "Toltec"
"142" 960 1.46 "Toltec"
"143" 993 1.89 "Toltec"
"144" 944 1.79 "Toltec"
"145" 1036 2.3 "Toltec"
"146" 1037 2.15 "Toltec"
"147" 1064 2.5 "Toltec"
"148" 988 1.94 "Toltec"
"149" 946 1.56 "Toltec"
"150" 993 1.88 "Toltec"
"151" 987 2.15 "Toltec"
"152" 987 1.65 "Toltec"
"153" 1011 2.13 "Toltec"
"154" 1012 2.46 "Toltec"
"155" 976 2.06 "Toltec"
"156" 999 1.84 "Toltec"
"157" 994 2.14 "Toltec"
"158" 1053 2.54 "Toltec"
"159" 1021 2.12 "Toltec"
"160" 958 1.89 "Toltec"
"161" 1041 2.23 "Toltec"
"162" 1005 1.94 "Toltec"
"163" 993 1.68 "Toltec"
"164" 994 1.77 "Toltec"
"165" 982 1.73 "Toltec"
"166" 1028 2.4 "Toltec"
"167" 998 2.12 "Toltec"
