"x" "y" "risk"
"1" 3.8 -1.428 "H"
"2" 2.904 -2.051 "H"
"3" 1.917 -1.684 "H"
"4" 2.998 -0.339 "H"
"5" 3.019 1.578 "H"
"6" 2.397 -0.432 "H"
"7" 1.672 -3.342 "H"
"8" 1.152 -3.756 "H"
"9" 1.791 -4.696 "H"
"10" 3.699 0.513 "H"
"11" 4.982 -0.516 "H"
"12" 3.016 2.261 "H"
"13" 4.682 -0.531 "H"
"14" 2.082 -0.335 "H"
"15" 1.444 -2.223 "H"
"16" 2.722 -0.13 "H"
"17" 3.095 -0.952 "H"
"18" 4.051 -0.044 "H"
"19" 2.266 -0.388 "H"
"20" 4.105 0.694 "H"
"21" 0.239 -4.145 "H"
"22" 2.212 -3.184 "H"
"23" 3.006 -0.175 "H"
"24" 4.121 1.866 "H"
"25" 2.28 -2.695 "H"
"26" 3.777 -0.023 "H"
"27" 3.172 -2.884 "H"
"28" 2.242 -2.076 "H"
"29" 2.208 -2.266 "H"
"30" 2.5 0.534 "H"
"31" 3.816 1.513 "H"
"32" 4.648 -0.192 "H"
"33" 1.469 -1.842 "H"
"34" 1.736 -1.617 "H"
"35" 4.896 -1.209 "H"
"36" 1.236 -0.363 "H"
"37" 3.545 0.942 "H"
"38" 1.583 -3.681 "H"
"39" 2.766 -1.574 "H"
"40" 2.514 -1.828 "H"
"41" 3.114 -1.144 "H"
"42" 3.513 0.109 "H"
"43" 2.342 -2.335 "H"
"44" 3.839 0.546 "H"
"45" 2.196 -1.205 "H"
"46" 0.593 -4.276 "H"
"47" 1.176 -3.963 "H"
"48" 2.387 -2.237 "H"
"49" 2.05 -0.7 "H"
"50" 1.898 -1.164 "H"
"51" 2.683 -1.802 "H"
"52" 1.602 -3.056 "H"
"53" 1.645 -4.55 "H"
"54" 4.237 -1.782 "H"
"55" 5.044 1.763 "H"
"56" 1.77 -2.388 "H"
"57" 2.692 -1.616 "H"
"58" 2.696 -1.617 "H"
"59" 2.703 -2.476 "H"
"60" 3.688 0.427 "H"
"61" 1.307 -2.674 "H"
"62" 3.103 -1.071 "H"
"63" 3.532 -0.373 "H"
"64" 3.296 0.681 "H"
"65" 2.566 1.837 "H"
"66" 1.173 -2.114 "H"
"67" 3.002 -1.599 "H"
"68" 3.292 0.859 "H"
"69" 2.88 -1.146 "H"
"70" 3.394 -0.71 "H"
"71" 5.192 -0.078 "H"
"72" 3.27 -2.985 "H"
"73" 2.685 -1.214 "H"
"74" 3.831 -1.526 "H"
"75" 3.435 -2.241 "H"
"76" 4.681 2.134 "H"
"77" 2.094 0.679 "H"
"78" 3.99 1.831 "H"
"79" 3.307 1.36 "H"
"80" 2.242 -0.464 "H"
"81" 3.033 0.179 "H"
"82" 3.738 -1.535 "H"
"83" 2.498 -3.369 "H"
"84" 1.499 -1.465 "H"
"85" 3.079 -1.092 "H"
"86" 3.191 -0.114 "H"
"87" 3.307 -2.133 "H"
"88" 4.352 0.92 "H"
"89" 2.202 -1.708 "H"
"90" 2.961 -1.286 "H"
"91" 3.962 -2.759 "H"
"92" 3.898 2.18 "H"
"93" 2.788 0.414 "H"
"94" 3.066 -0.216 "H"
"95" 2.443 -2.727 "H"
"96" 3.01 -2.203 "H"
"97" 3.151 -1.389 "H"
"98" 1.98 -2.319 "H"
"99" 2.143 -3.332 "H"
"100" 3.196 -0.645 "H"
"101" 2.422 -2.903 "H"
"102" 3.8 -0.422 "H"
"103" 1.783 0.161 "H"
"104" 2.511 -3.649 "H"
"105" 2.819 -1.402 "H"
"106" 3.69 0.258 "H"
"107" 4.178 1.588 "H"
"108" 1.175 -4.334 "H"
"109" 3.245 -1.059 "H"
