"waiting.time" "day" "day.of.the.week"
"1" 57.42 7 "weekend"
"2" 45.15 8 "weekdays"
"3" 41.62 10 "weekdays"
"4" 35.64 11 "weekdays"
"5" 58.29 11 "weekdays"
"6" 39.98 11 "weekdays"
"7" 53.23 11 "weekdays"
"8" 44.25 12 "weekdays"
"9" 55.76 14 "weekend"
"10" 37.96 19 "weekdays"
"11" 49.21 32 "weekdays"
"12" 52.37 33 "weekdays"
"13" 53.18 34 "weekend"
"14" 45.2 37 "weekdays"
"15" 19.11 37 "weekdays"
"16" 37.72 38 "weekdays"
"17" 33.04 38 "weekdays"
"18" 30.55 40 "weekdays"
"19" 29.05 40 "weekdays"
"20" 49.81 42 "weekend"
"21" 33.55 43 "weekdays"
"22" 28.3 46 "weekdays"
"23" 22.61 47 "weekdays"
"24" 50.26 48 "weekend"
"25" 43.94 48 "weekend"
"26" 58.94 48 "weekend"
"27" 26.49 54 "weekdays"
"28" 26.75 54 "weekdays"
"29" 25.33 54 "weekdays"
"30" 24.78 54 "weekdays"
"31" 20.14 57 "weekdays"
"32" 20.46 57 "weekdays"
"33" 23.95 58 "weekdays"
"34" 15.12 60 "weekdays"
"35" 43.14 63 "weekend"
"36" 48.14 63 "weekend"
"37" 11.89 64 "weekdays"
"38" 25.19 64 "weekdays"
"39" 9 67 "weekdays"
"40" 50.92 69 "weekend"
"41" 32.82 71 "weekdays"
"42" 15.23 72 "weekdays"
"43" 24.78 75 "weekdays"
"44" 32.89 76 "weekend"
"45" 34.63 77 "weekend"
"46" 20.23 79 "weekdays"
"47" 20.55 80 "weekdays"
"48" 17.35 80 "weekdays"
"49" 13.51 80 "weekdays"
"50" 8.56 80 "weekdays"
"51" 30.88 81 "weekdays"
"52" 0.96 81 "weekdays"
"53" 21.48 82 "weekdays"
"54" 37.84 82 "weekdays"
"55" 40.89 83 "weekend"
"56" 26 84 "weekend"
"57" 18.94 84 "weekend"
"58" 15.23 85 "weekdays"
"59" 14.05 87 "weekdays"
"60" 20.44 88 "weekdays"
"61" 30.02 89 "weekdays"
"62" 24.95 90 "weekend"
"63" 39.94 91 "weekend"
"64" 7.31 95 "weekdays"
"65" 21.21 96 "weekdays"
"66" 28.34 98 "weekend"
"67" 24.27 100 "weekdays"
"68" 4.16 101 "weekdays"
"69" 3.03 103 "weekdays"
"70" 23.66 107 "weekdays"
"71" 22.19 108 "weekdays"
"72" 11.5 109 "weekdays"
"73" 34 112 "weekend"
"74" 45.64 114 "weekdays"
"75" 8.13 115 "weekdays"
"76" 43.83 115 "weekdays"
"77" 17.98 116 "weekdays"
"78" 32.31 118 "weekend"
"79" 48.71 119 "weekend"
"80" 28.38 121 "weekdays"
"81" 31.82 123 "weekdays"
"82" 28.61 124 "weekdays"
"83" 18.98 124 "weekdays"
"84" 26.24 127 "weekdays"
"85" 28.79 129 "weekdays"
"86" 11.38 131 "weekdays"
"87" 45.35 132 "weekend"
"88" 42.5 133 "weekend"
"89" 35.55 134 "weekdays"
"90" 39.75 134 "weekdays"
"91" 16.15 134 "weekdays"
"92" 51.28 135 "weekdays"
"93" 36.82 136 "weekdays"
"94" 22.85 136 "weekdays"
"95" 32 137 "weekdays"
"96" 35.06 141 "weekdays"
"97" 42.95 142 "weekdays"
"98" 34.92 142 "weekdays"
"99" 31.7 143 "weekdays"
"100" 59.83 146 "weekend"
"101" 36.49 148 "weekdays"
"102" 49.71 148 "weekdays"
"103" 25.38 150 "weekdays"
"104" 50.94 152 "weekdays"
"105" 40.4 157 "weekdays"
"106" 33.69 159 "weekdays"
"107" 42.91 159 "weekdays"
"108" 69.85 160 "weekend"
"109" 50.8 161 "weekend"
"110" 46.92 165 "weekdays"
"111" 43.63 165 "weekdays"
"112" 39.02 166 "weekdays"
"113" 42.82 169 "weekdays"
"114" 63.87 172 "weekdays"
"115" 55.79 173 "weekdays"
"116" 49.95 173 "weekdays"
"117" 48.15 174 "weekend"
"118" 40.8 179 "weekdays"
"119" 46.48 180 "weekdays"
"120" 64.99 180 "weekdays"
"121" 46.77 180 "weekdays"
"122" 38.35 183 "weekdays"
"123" 49.73 183 "weekdays"
"124" 50.6 185 "weekdays"
"125" 58.42 185 "weekdays"
"126" 30.93 186 "weekdays"
"127" 45.44 186 "weekdays"
"128" 60.47 187 "weekdays"
"129" 45.07 191 "weekdays"
"130" 49.59 192 "weekdays"
"131" 58.7 196 "weekend"
"132" 40.68 198 "weekdays"
"133" 43.74 198 "weekdays"
"134" 59.2 199 "weekdays"
"135" 43.72 199 "weekdays"
"136" 25.18 201 "weekdays"
"137" 50.42 202 "weekend"
"138" 49.87 204 "weekdays"
"139" 44.97 205 "weekdays"
"140" 40.2 206 "weekdays"
"141" 44.76 206 "weekdays"
"142" 56.75 207 "weekdays"
"143" 44.41 207 "weekdays"
"144" 52.73 210 "weekend"
"145" 48.21 212 "weekdays"
"146" 32.65 212 "weekdays"
"147" 56.9 216 "weekend"
"148" 46.73 217 "weekend"
"149" 55.39 217 "weekend"
"150" 34.21 220 "weekdays"
"151" 42.33 221 "weekdays"
"152" 32.21 222 "weekdays"
"153" 20.58 232 "weekdays"
"154" 44.46 232 "weekdays"
"155" 23.48 234 "weekdays"
"156" 31.47 236 "weekdays"
"157" 22.97 236 "weekdays"
"158" 41.76 237 "weekend"
"159" 14.77 240 "weekdays"
"160" 21.3 243 "weekdays"
"161" 9.96 247 "weekdays"
"162" 19.99 247 "weekdays"
"163" 22.46 248 "weekdays"
"164" 22.26 249 "weekdays"
"165" 33.4 252 "weekend"
"166" 34.59 252 "weekend"
"167" 17.08 253 "weekdays"
"168" 11.15 256 "weekdays"
"169" 18.49 256 "weekdays"
"170" 9.07 257 "weekdays"
"171" 24.56 263 "weekdays"
"172" 25.85 263 "weekdays"
"173" 47.01 265 "weekend"
"174" 21.13 265 "weekend"
"175" 42.87 266 "weekend"
"176" 19.94 267 "weekdays"
