"height" "diameter"
"1" 71.08 7.16
"2" 71.04 7.32
"3" 71.75 6.82
"4" 51.33 4.47
"5" 54.43 5.15
"6" 64.31 6.45
"7" 53.8 6.98
"8" 69.08 7.43
"9" 61.94 7.99
"10" 53.98 6.3
"11" 51.38 5.57
"12" 64.3 8.25
"13" 73.02 8.4
"14" 63.01 7.89
"15" 65.05 7.54
"16" 62.63 6.81
"17" 64.52 6.3
"18" 62.3 6.88
"19" 62.58 7.24
"20" 83.49 6.56
"21" 62.69 7.47
"22" 53.06 6.43
"23" 64.37 6.53
"24" 56.25 6.38
"25" 53.64 7.52
"26" 53.03 5.14
"27" 74.87 8.18
"28" 65.52 7.13
"29" 63.46 7.93
"30" 54.33 6.42
"31" 73.26 8.29
"32" 71.23 7.48
"33" 52.88 6.64
"34" 55.6 6.2
"35" 84.35 8.25
"36" 72.61 7.71
"37" 71.71 7.38
"38" 70.76 7.21
"39" 71.51 7.75
"40" 54.12 6
"41" 69.35 5.83
"42" 72.72 7.94
"43" 90.63 11.22
"44" 63.72 7.94
"45" 73.24 6.78
"46" 71.9 8.27
"47" 52.85 5.23
"48" 71.61 6.48
"49" 84.26 8.02
"50" 69.92 6.6
"51" 53.76 6.61
"52" 76.94 6.83
"53" 55.74 5.95
"54" 72.39 7.67
"55" 61.41 5.96
"56" 71.29 7.58
"57" 94.11 12
"58" 70.93 6.66
"59" 54.74 7.56
"60" 70.48 6.4
"61" 52.16 5.73
"62" 75.13 9.26
"63" 52.86 5.13
"64" 53.64 6.32
"65" 64.8 6.87
"66" 69.63 7.65
"67" 63.58 7.05
"68" 63.21 8.05
"69" 57.05 6.77
"70" 61.79 5.83
"71" 60.72 6.39
"72" 92.01 12.29
"73" 53.83 6.73
"74" 95.47 12.18
"75" 71.48 6.76
"76" 52.1 5.43
"77" 53.49 6.92
"78" 63.71 7.34
"79" 71.12 6.5
"80" 60.15 7.07
"81" 54.71 5.64
"82" 54.82 5.7
"83" 89.45 12.06
"84" 71.29 8.29
"85" 73.21 7.35
"86" 70.56 8.15
"87" 56.48 6.48
"88" 54.95 6.54
"89" 72.4 8.77
"90" 70.59 6.93
"91" 72.46 7.92
"92" 49.4 5.25
"93" 72.1 7.74
"94" 52.34 4.56
"95" 62.95 6.4
"96" 83.97 8.37
"97" 60 6.54
"98" 62.89 7
"99" 56.54 6.92
"100" 52.61 6.47
"101" 71.62 7.73
"102" 84.14 7.99
"103" 56.32 6.36
"104" 53.62 6.15
"105" 54.95 7.02
"106" 61.94 7.01
"107" 53.21 6.31
"108" 54.88 7.35
"109" 55.33 7.17
"110" 71.41 6.65
"111" 71.02 6.37
"112" 52.71 5.95
"113" 71.25 7.36
"114" 60.87 5.84
"115" 70.42 6.19
"116" 60.51 8.62
"117" 73.82 7.74
"118" 62.86 6.29
"119" 71.82 6.62
"120" 54.52 6.71
"121" 51.17 6.04
"122" 52.57 5.2
"123" 83.81 7.74
"124" 53.77 5.99
"125" 54.56 6.34
"126" 61.5 7.11
"127" 64.18 6.94
"128" 73.74 7.84
"129" 85.19 7.42
"130" 55.23 7.12
"131" 53.98 5.09
"132" 72.89 8.56
"133" 64.04 7.37
"134" 55.27 5.77
"135" 85.02 7.34
"136" 62.64 6.43
"137" 73.11 7.63
"138" 93.04 11.67
"139" 53.36 6.45
"140" 70.75 7.04
"141" 51.71 5.75
"142" 61.92 5.84
"143" 70.86 6.81
"144" 56.68 6.28
"145" 64.68 6.52
"146" 69.79 6.05
"147" 72.75 8.18
"148" 61.06 5.42
"149" 71.09 7.53
"150" 84.72 7.24
"151" 85.89 7.5
"152" 54.68 5.29
"153" 71.23 6.9
"154" 62.62 7.61
"155" 72.78 6.55
"156" 74.23 7.97
"157" 86.23 9.37
"158" 72.03 7.24
"159" 55.76 6.63
"160" 62.45 6.79
"161" 72.66 8.46
"162" 52.78 6.54
"163" 63.14 6.7
"164" 70.86 7.72
"165" 74.32 7.66
"166" 65.03 7.8
"167" 64.21 7.27
"168" 72.95 8.46
"169" 73.06 7.76
"170" 70.85 7.94
"171" 51.4 4.12
"172" 71.05 7.06
"173" 54.2 5.13
"174" 54.92 6.17
"175" 83.81 7.14
"176" 61.1 6.59
"177" 63.7 8.02
"178" 66.07 7.68
"179" 51.95 6.36
"180" 71.47 7.5
"181" 64.41 5.74
"182" 62.53 7.47
"183" 84.75 8.01
"184" 53.21 5.66
"185" 70.31 6.91
"186" 53.07 5.72
"187" 54.51 6.49
"188" 61.44 7.41
"189" 62.49 6.43
"190" 53.14 5.28
"191" 71.63 7.08
"192" 53.28 6.41
"193" 66.5 8.05
"194" 83.15 8.78
"195" 61.37 7.22
"196" 63.69 7.51
"197" 63.1 7.62
"198" 53.36 5.24
"199" 52.82 6.69
"200" 52.92 7.06
"201" 68.27 5.82
"202" 62.93 7.05
"203" 63.91 6.82
"204" 53.36 6.07
"205" 62.01 6.01
"206" 54.71 6.35
"207" 64.18 6.92
"208" 52.23 6.24
"209" 72.72 6.85
"210" 85.98 8.31
"211" 52.85 5.67
"212" 54.3 7.18
"213" 71.8 7.11
"214" 70.02 6.27
"215" 93.15 11.96
"216" 55.16 7.06
"217" 55.09 7.65
"218" 72.46 8.05
"219" 91.9 12.01
"220" 54.62 7.16
"221" 53.72 5.19
"222" 85.18 8.15
"223" 85.87 9.07
"224" 62.25 6.69
"225" 54.71 7.4
"226" 53.48 6.24
"227" 73.04 8.19
"228" 54 6.42
"229" 62.59 7.11
"230" 64.77 7.3
"231" 52.9 5.94
"232" 53.05 6.57
"233" 63.48 6.02
"234" 53.92 5.49
"235" 94.56 12.35
"236" 60.92 5.68
"237" 53.13 5.46
"238" 62.29 7
"239" 68.38 6.7
"240" 55.59 6.91
