"Petrol" "Diesel" "Electric" "GPL" "Natural.Gas" "Hybrid.Diesel" "Hybrid.Petrol" "Total" "Weekend"
"01/03/2016" 9823 21180 92 3314 1427 38 2139 44543 0
"02/03/2016" 11755 19865 119 3986 1358 50 4414 48586 0
"03/03/2016" 13011 23023 81 4131 1498 53 5060 50498 0
"04/03/2016" 13504 22133 126 4086 1393 46 5264 49307 0
"05/03/2016" 15997 21755 35 3011 756 42 3057 47943 1
"06/03/2016" 14834 15465 22 1882 452 22 2362 38023 1
"07/03/2016" 11308 22553 143 3148 1571 51 4081 45621 0
"08/03/2016" 13469 21233 127 4043 1483 46 4390 47303 0
"09/03/2016" 12567 22255 112 3180 1384 72 3683 45854 0
"10/03/2016" 12215 23296 153 4463 1765 48 5424 49818 0
"11/03/2016" 12632 22439 67 2969 1488 56 3501 47503 0
"12/03/2016" 17236 18954 29 2987 713 39 2336 46937 1
"13/03/2016" 12719 15491 19 2429 509 29 2081 36834 1
"14/03/2016" 10817 19070 118 3479 1346 66 4193 41714 0
"15/03/2016" 12495 21801 107 4456 1313 53 4354 47132 0
"16/03/2016" 14463 23179 80 3990 1422 78 5030 51512 0
"17/03/2016" 14248 24023 105 4572 1473 61 3991 51917 0
"18/03/2016" 15241 23390 101 4253 1642 74 4630 54791 0
"19/03/2016" 15554 17173 45 3128 724 39 3474 46634 1
"20/03/2016" 13466 16269 22 2183 408 15 1725 40902 1
"21/03/2016" 11083 17646 142 3891 1279 54 3374 42320 0
"22/03/2016" 11591 22099 116 4413 1457 64 4416 46946 0
"23/03/2016" 11871 22755 99 3844 1552 70 4751 48091 0
"24/03/2016" 12539 20521 114 4103 1456 44 4030 45265 0
"25/03/2016" 11261 16962 119 3689 1145 31 3247 39772 0
"26/03/2016" 11296 13640 36 2014 532 10 1603 32105 1
"27/03/2016" 7536 9224 16 1325 316 11 1021 23014 1
"28/03/2016" 11795 11872 20 1642 348 20 1363 30265 0
"29/03/2016" 8546 15642 86 2503 1243 54 2215 36461 0
"30/03/2016" 9602 15967 89 3588 1297 44 3747 40657 0
"31/03/2016" 12531 17411 143 3514 1570 40 3420 47985 0
