"M.out" "F.out" "M.ret" "F.ret"
"couple1" 15.91 19.62 17.54 23.24
"couple2" 13.38 17.62 16.05 21.03
"couple3" 12.53 18.78 16.06 22.47
"couple4" 14.47 16.11 15.9 20.28
"couple5" 13.11 18.78 18.47 22.96
"couple6" 14.97 19.96 17.54 20.15
"couple7" 13.99 16.54 16.95 20.9
"couple8" 13.62 19.03 16.79 21.96
"couple9" 12.87 17.42 18.39 23.14
"couple10" 10.12 19.28 17.32 20.97
"couple11" 12.25 21.24 16.92 24.98
"couple12" 16.28 19.73 15.04 20.11
"couple13" 16.51 17.57 20.21 20.57
"couple14" 15.52 20.24 17.75 20.98
"couple15" 12.82 20.82 15.9 21.63
"couple16" 14.26 17.63 17.34 21.48
"couple17" 14.04 16.94 16.34 20.94
"couple18" 14.59 19.85 13.16 19.41
"couple19" 15.87 19.66 18.46 21.79
"couple20" 13.66 16.13 15.75 17.75
"couple21" 13.74 16.95 18.06 20.55
"couple22" 16.08 19 17.82 20.61
"couple23" 16 19.99 17.39 22.88
"couple24" 13.93 16.15 17.63 21.91
"couple25" 11.14 18.48 16.74 23.62
"couple26" 15.48 18.46 15.06 20.05
"couple27" 14.64 20.18 17.49 23.64
"couple28" 12.74 18.23 18.04 19.89
"couple29" 13.93 17.05 17.28 18.24
"couple30" 14.44 18.66 18.62 21.69
"couple31" 14.3 18.5 17.7 21.56
"couple32" 15.77 18.26 16.51 19.24
"couple33" 13.07 16.35 17.59 21.58
"couple34" 11.86 17.13 15.13 19.77
"couple35" 13.39 16.85 15.9 22.03
"couple36" 16.57 19.2 20.14 19.97
"couple37" 14.03 19.01 17.86 21.18
"couple38" 11.09 16.35 20.28 21.55
"couple39" 14.9 17.98 16.03 23.11
"couple40" 12.47 20.81 15.75 22.74
"couple41" 15.42 16.8 17.17 22.01
"couple42" 14.21 17.8 16.08 22.39
"couple43" 15.19 17.81 17.15 19.3
"couple44" 15.12 16.03 19.26 21.59
"couple45" 13.59 17.9 16 20.55
"couple46" 15.48 16.21 16.77 19.32
"couple47" 12.59 20 14.97 18.14
"couple48" 11.41 16.55 18.64 22.06
"couple49" 13.89 19.14 17.02 18.82
"couple50" 15.19 21.54 16.19 23.2
"couple51" 15.62 20.7 16.84 20.14
"couple52" 14.48 20.34 18.44 22.67
"couple53" 15.2 19.11 18.49 22.12
"couple54" 13.6 20.83 15.91 19.77
"couple55" 13.61 14.55 17.92 22.49
"couple56" 15.59 18.21 15.65 19.26
"couple57" 15.29 16.85 17.27 20.62
"couple58" 12.54 20.46 15.78 18.25
"couple59" 15.22 18.88 17.01 21.56
"couple60" 14.78 17.72 15.65 22.1
"couple61" 12.83 20.37 18.34 19.24
"couple62" 12 19.71 16.36 21.64
"couple63" 14.21 17.78 16.01 19.93
"couple64" 10.54 19.27 19.23 21.86
"couple65" 12.94 18.87 15.21 23.1
"couple66" 14.53 20.74 16.32 21.51
"couple67" 13.5 19.3 17.88 22.61
"couple68" 12.14 19.6 16.61 24.73
"couple69" 15.77 19.23 14.84 19.89
"couple70" 15.23 17.55 18.05 21.52
"couple71" 13.81 18.4 15.73 19.64
"couple72" 14.25 18.38 17.39 20.35
"couple73" 10.67 18.84 15.4 19.32
"couple74" 15.71 18.57 16.67 19.3
"couple75" 13.18 20.26 16.23 21.58
"couple76" 16.64 17.96 17.69 19.07
