"google" "apple" "gain"
"2" -10.09 -3.012 0
"3" -12.82 0.01 0
"4" -1.49 1.457 0
"5" 1.76 4.049 1
"6" -6.19 0.117 0
"7" -3.66 -2.699 0
"8" 4.74 0.949 0
"9" 4.13 -0.411 0
"10" -1.92 -2.914 0
"11" 6.45 -0.812 1
"13" -0.52 2.67 1
"14" 10.45 0.812 1
"15" 16.91 2.787 1
"16" 4.65 0.567 1
"17" -5.23 0.117 0
"18" -15.53 -3.873 0
"19" -8.76 6.034 1
"20" 0.8 3.511 1
"21" 24.32 -1.702 0
"22" -5.35 1.438 0
"23" 1.1 0.02 1
"24" -7.2 0.89 1
"25" 3.73 0.835 0
"26" 4.05 -0.992 0
"27" -4.6 0.776 0
"28" 10.88 2.258 1
"29" -2.16 2.808 1
"30" 8.01 1.551 0
"31" 5.15 0.609 0
"33" -6.15 0.736 0
"34" -2.36 0.874 1
"35" 3.8 -0.265 1
"36" -4.65 1.031 1
"37" -6.8 3.436 0
"38" 3.65 -0.815 0
"39" 8.68 -3.318 1
"40" 11.96 1.6 1
"41" 3.34 -1.924 0
"42" 12.39 0.619 1
"43" 3.77 0.265 0
"44" -0.46 -0.805 1
"45" 3.1 -2.091 1
"46" -8.53 0.187 0
"47" 1.2 0.53 0
"48" -14.25 -2.582 0
"49" -4.16 -2.229 1
"50" 5.48 2.17 1
"51" -8.17 -0.844 0
"52" 8.64 1.335 1
"53" -4.03 2.052 1
"54" 8.55 1.404 1
"55" -2.49 -0.952 1
"56" 1.28 -1.571 1
"57" 0.42 1.286 1
"58" 12.17 -0.511 1
"59" -10.54 -3.25 0
"60" -3.36 0.844 1
"61" -6.09 -0.972 1
"62" 3.59 3.063 0
"63" -6.44 -1.905 0
"64" -5.21 -0.177 0
"65" -8.18 1.051 0
"67" 2.64 1.993 1
"68" 0.91 -1.316 0
"69" 3.98 -0.403 0
"70" -0.82 0.943 0
"71" 0.52 0.53 0
"72" 0.1 -0.245 1
"73" -8.86 -0.54 1
"74" 1.26 0.471 0
"75" 2.48 -0.599 0
"76" -10.78 -1.394 0
"77" 11.79 2.798 1
"78" -1.61 -0.677 1
"79" 6.26 1.679 1
"80" 8.28 1.031 0
"81" 16.2 0.599 0
"82" -7.54 2.327 1
"83" -1.75 -2.052 0
"84" -2.98 -1.885 0
"85" -12.62 -3.426 0
"86" 2.39 3.731 1
"87" 1.68 -0.245 0
"88" -9.8 -2.847 0
"89" -7.96 -0.776 1
"90" 6.96 0.759 1
"91" 6.91 2.327 1
"92" -3.17 -1.282 0
"93" -7.05 -0.444 0
"94" 0.76 0.138 1
"95" 9.71 2.899 1
"96" -2.71 -0.177 0
"97" 0.18 1.4 1
"98" 2.61 -0.118 0
"99" 3.23 -0.01 0
"100" 4.3 1.311 0
"101" -2.29 1.134 1
"103" -7.33 -2.879 0
"104" 7.06 2.386 1
"105" -0.07 -0.256 0
"106" -8.86 -1.479 0
"107" 3.89 0.256 1
"108" 4.74 -0.572 1
"109" 1.34 0.158 1
"110" -3.6 -0.749 0
"111" -2.16 -0.7 1
"112" -6.05 -0.838 0
"113" -1.32 -0.375 0
"114" 10.44 1.439 1
"115" -2.56 -0.286 0
"116" -2.57 -1.4 0
"117" -4.47 -0.246 0
"118" 1.87 0.67 1
"119" 1.73 -0.296 1
"120" 9.58 0.572 1
"121" 1.34 -1.262 0
"122" 2.16 0.996 1
"123" 3.71 -0.572 1
"124" -4.82 1.065 1
"125" -0.62 -0.601 0
"126" -4.89 -0.739 1
"127" -11.81 -2.189 0
"128" -1.21 0.887 0
"129" 3.26 1.154 1
"130" 4.04 -0.158 1
"132" -1.72 -0.434 1
"133" 4.41 -0.306 0
"134" -8.33 -3.076 0
"135" 2.95 -2.465 1
"136" 11.46 3.165 1
"137" 15.62 2.346 1
"138" 12.45 -0.049 0
"139" -0.22 1.193 1
"140" 17.82 1.666 1
"141" 97.84 1.094 1
"142" -6.78 2.415 1
"143" 2.51 -1.301 1
"144" -0.25 -5.452 0
"145" -20.37 -0.059 0
"146" -19.96 -0.651 1
"147" 3.5 -1.706 0
