"Long" "Lat" "DO"
"1" 14.6813 42.5026 6.03
"2" 14.3937 42.428 6.02
"3" 14.7239 42.5097 5.94
"4" 14.3704 42.4219 5.98
"5" 14.6001 42.449 6.01
"6" 14.7144 42.5027 5.87
"7" 14.3019 42.438 6.01
"8" 14.6537 42.5172 5.75
"9" 14.4932 42.457 5.95
"10" 14.4219 42.4073 5.93
"11" 14.6167 42.4219 5.87
"12" 14.798 42.4787 6.02
"13" 14.7371 42.4689 5.82
"14" 14.707 42.5071 6.01
"15" 14.5414 42.3854 5.93
"16" 14.7667 42.4937 5.92
"17" 14.5767 42.447 5.85
"18" 14.6782 42.5209 5.89
"19" 14.5184 42.4674 5.8
"20" 14.3729 42.407 5.72
"21" 14.5395 42.4306 5.83
"22" 14.6625 42.519 6.08
"23" 14.6758 42.5155 5.97
"24" 14.4114 42.4034 5.89
"25" 14.3885 42.4155 5.83
"26" 14.5017 42.4752 5.97
"27" 14.6236 42.4444 6
"28" 14.5679 42.4657 5.93
"29" 14.6402 42.5282 5.77
"30" 14.4001 42.3849 5.87
"31" 14.3505 42.4232 6.01
"32" 14.4074 42.4035 5.9
"33" 14.7329 42.4817 5.94
"34" 14.4816 42.3917 6.04
"35" 14.5038 42.464 5.89
"36" 14.4191 42.4193 5.88
"37" 14.5038 42.4746 5.96
"38" 14.6977 42.5124 5.9
"39" 14.6412 42.4113 6.17
"40" 14.7389 42.4907 5.71
"41" 14.645 42.5134 6.01
"42" 14.7527 42.4796 5.7
"43" 14.5169 42.5786 5.93
"44" 14.7457 42.5016 5.73
"45" 14.6827 42.4971 6.05
"46" 14.6919 42.4938 5.88
"47" 14.6112 42.4408 5.84
"48" 14.7157 42.5133 5.74
"49" 14.7617 42.4657 5.78
"50" 14.684 42.4996 5.91
"51" 14.5274 42.4442 5.88
"52" 14.6199 42.538 5.96
"53" 14.3599 42.43 5.86
"54" 14.6857 42.4898 5.98
"55" 14.6944 42.5184 5.81
"56" 14.4798 42.3853 5.85
"57" 14.3197 42.4401 5.89
"58" 14.4428 42.4823 6.01
"59" 14.6146 42.5434 5.97
"60" 14.6666 42.4987 5.96
"61" 14.5506 42.461 5.85
"62" 14.5583 42.4443 5.97
"63" 14.61 42.4321 5.85
"64" 14.7131 42.496 5.9
"65" 14.4507 42.4099 5.93
"66" 14.6055 42.5267 6
"67" 14.4905 42.4061 5.76
"68" 14.4214 42.3998 6.03
"69" 14.8107 42.4622 5.73
"70" 14.624 42.5283 5.8
"71" 14.706 42.502 5.72
"72" 14.6727 42.5173 5.81
"73" 14.4759 42.4767 5.85
"74" 14.7068 42.5033 5.91
"75" 14.7216 42.5031 6.01
"76" 14.6816 42.5165 5.85
"77" 14.6139 42.447 5.94
"78" 14.3114 42.4551 5.92
"79" 14.5836 42.4599 5.91
"80" 14.5807 42.5366 5.89
"81" 14.4722 42.3939 5.83
"82" 14.4046 42.4086 5.92
"83" 14.6708 42.4918 5.89
"84" 14.335 42.4419 6.01
"85" 14.5712 42.4464 5.9
"86" 14.3013 42.4528 5.82
"87" 14.4372 42.4155 5.99
"88" 14.6028 42.4357 6.04
"89" 14.7311 42.5014 5.9
"90" 14.4997 42.4663 5.79
"91" 14.5891 42.5415 5.89
"92" 14.5247 42.4618 5.96
"93" 14.5464 42.4583 5.76
"94" 14.2971 42.4449 5.97
"95" 14.774 42.476 5.72
"96" 14.599 42.5355 5.78
"97" 14.6035 42.4284 5.89
"98" 14.4317 42.403 5.84
"99" 14.509 42.4529 5.82
"100" 14.473 42.4956 5.85
"101" 14.6948 42.5056 5.76
"102" 14.5931 42.4471 6.05
"103" 14.4957 42.4577 5.94
"104" 14.6552 42.5203 5.85
"105" 14.7299 42.4812 5.9
"106" 14.5288 42.4413 5.99
"107" 14.522 42.4589 6
"108" 14.6642 42.4126 5.68
"109" 14.6154 42.5273 5.98
"110" 14.3828 42.4132 5.74
"111" 14.4361 42.4118 5.95
"112" 14.6635 42.5135 5.94
"113" 14.5793 42.4689 6.07
"114" 14.4665 42.406 5.79
"115" 14.6545 42.511 5.82
"116" 14.7051 42.4978 6.06
"117" 14.4168 42.4695 5.95
"118" 14.6564 42.5193 5.9
"119" 14.7231 42.5036 5.82
"120" 14.5793 42.4433 5.92
"121" 14.7215 42.5043 5.85
"122" 14.6551 42.4318 5.78
"123" 14.7806 42.4706 5.93
"124" 14.5996 42.4366 5.92
"125" 14.6525 42.5133 6
"126" 14.7113 42.4926 6
"127" 14.6254 42.5382 5.87
"128" 14.5469 42.441 5.74
"129" 14.4099 42.4038 5.91
"130" 14.3517 42.4321 5.76
"131" 14.7356 42.4852 5.96
"132" 14.6055 42.4224 5.69
"133" 14.6417 42.5247 5.82
"134" 14.5573 42.4597 5.82
"135" 14.3995 42.4074 5.94
"136" 14.3632 42.43 5.96
"137" 14.7205 42.4963 5.93
"138" 14.524 42.4606 5.86
"139" 14.6314 42.5211 5.98
"140" 14.5458 42.4715 5.62
"141" 14.7655 42.4856 6.03
"142" 14.7506 42.4924 5.79
"143" 14.6825 42.5237 5.93
"144" 14.677 42.5092 5.84
"145" 14.5336 42.4567 5.86
"146" 14.7098 42.4744 5.93
"147" 14.5861 42.4419 5.95
"148" 14.7063 42.5158 5.85
"149" 14.5588 42.4613 5.77
"150" 14.6907 42.5126 5.97
"151" 14.3799 42.4187 5.96
"152" 14.6554 42.5385 5.68
"153" 14.7067 42.4924 5.92
"154" 14.39 42.4069 5.88
"155" 14.6001 42.4457 5.89
"156" 14.4398 42.4074 5.91
"157" 14.5408 42.4556 5.94
"158" 14.4474 42.3926 5.93
"159" 14.7108 42.4935 5.79
"160" 14.5512 42.4495 5.91
"161" 14.6024 42.4289 5.77
"162" 14.6804 42.5223 5.88
"163" 14.6126 42.4265 5.75
"164" 14.5122 42.4509 6.13
"165" 14.7323 42.5116 6.06
"166" 14.707 42.5014 5.96
"167" 14.36 42.4299 5.82
"168" 14.5747 42.4368 6.17
"169" 14.6776 42.5023 5.9
"170" 14.5626 42.4551 5.86
"171" 14.5883 42.5473 5.96
"172" 14.6818 42.5105 5.81
"173" 14.5449 42.4534 5.77
"174" 14.3987 42.4127 6.11
"175" 14.3649 42.4117 5.96
"176" 14.4208 42.4104 5.93
"177" 14.6358 42.499 5.97
"178" 14.346 42.4294 5.93
"179" 14.6541 42.4199 5.69
"180" 14.7172 42.4942 5.95
"181" 14.4508 42.3959 5.87
"182" 14.6544 42.5431 5.93
"183" 14.6171 42.428 5.98
"184" 14.7073 42.4999 6.03
"185" 14.7404 42.5021 5.78
"186" 14.5159 42.4693 5.83
"187" 14.7607 42.4981 5.83
"188" 14.7081 42.4896 6.04
"189" 14.5624 42.4356 6.04
"190" 14.5773 42.4407 5.99
"191" 14.4005 42.4204 5.97
"192" 14.4292 42.3835 5.82
"193" 14.4974 42.3896 5.91
"194" 14.518 42.469 6.07
"195" 14.7106 42.4872 5.82
"196" 14.6601 42.4287 5.84
"197" 14.5286 42.4681 5.98
"198" 14.3962 42.4281 6.01
"199" 14.5394 42.4587 5.84
"200" 14.4256 42.4096 6.01
"201" 14.4584 42.409 5.96
"202" 14.4033 42.4011 5.99
"203" 14.4974 42.4629 5.91
"204" 14.6256 42.5209 6.02
"205" 14.7053 42.4793 5.88
"206" 14.726 42.5073 6.01
"207" 14.6712 42.5133 5.88
"208" 14.5856 42.4525 6.12
"209" 14.5079 42.4788 5.86
"210" 14.698 42.4983 5.91
"211" 14.6451 42.4965 5.79
"212" 14.4749 42.3944 5.87
"213" 14.7498 42.4718 5.84
"214" 14.6744 42.5127 5.93
"215" 14.6951 42.5001 5.88
"216" 14.651 42.5118 5.89
"217" 14.4905 42.4656 6.05
"218" 14.7853 42.4824 5.86
"219" 14.6092 42.4518 5.9
"220" 14.5967 42.4358 5.89
"221" 14.6463 42.5331 5.9
"222" 14.6969 42.5098 5.96
"223" 14.7474 42.4851 5.83
"224" 14.7079 42.4817 5.88
"225" 14.6729 42.5201 5.88
"226" 14.558 42.4503 5.99
"227" 14.5166 42.4691 5.83
"228" 14.5296 42.4533 5.98
"229" 14.6813 42.5185 5.8
"230" 14.6684 42.5232 5.96
"231" 14.405 42.4057 6
"232" 14.6051 42.5281 5.91
"233" 14.7252 42.4851 5.87
"234" 14.7395 42.5124 6.02
"235" 14.5881 42.4442 5.72
"236" 14.6823 42.5129 5.84
"237" 14.6887 42.4243 5.94
"238" 14.5674 42.4618 5.82
"239" 14.3453 42.4345 5.87
"240" 14.464 42.4639 5.98
"241" 14.4126 42.3816 5.84
"242" 14.5676 42.4438 5.92
"243" 14.6286 42.5043 5.99
"244" 14.538 42.4562 5.93
"245" 14.4487 42.41 6.08
"246" 14.4175 42.4102 5.93
"247" 14.608 42.5258 6.08
"248" 14.5027 42.4038 5.99
"249" 14.528 42.4474 5.91
