"Day.of.Week" "Bread.Sold" "Wraps.Sold" "Sandwich.Sold" "Focaccia.Sold" "Piadina.Sold" "Chips.Sold" "Juices.Sold" "Total.Soda.and.Coffee.Sold" "Max.Daily.Temperature" "Sales"
"1" "Tue" 5 25 5 5 1 12 8 61 36 199.95
"2" "Wed" 6 7 3 1 0 0 0 46 34 195.74
"3" "Thu" 8 14 4 1 0 0 13 57 39 102.68
"4" "Fri" 4 5 5 3 3 20 0 40 40 162.88
"5" "Mon" 3 10 8 3 2 0 5 33 36 101.76
"6" "Tue" 7 5 1 5 2 4 4 56 26 186.94
"7" "Wed" 6 19 6 10 2 2 5 47 34 120.18
"8" "Thu" 0 7 6 0 0 20 6 58 33 228.78
"9" "Fri" 3 4 0 3 1 3 4 42 20 88.02
"10" "Mon" 2 13 3 6 2 16 7 46 37 119.57
"11" "Tue" 3 10 5 5 1 2 0 63 38 172.31
"12" "Wed" 4 15 4 4 2 9 6 47 33 137.65
"13" "Thu" 9 13 14 13 3 13 6 55 39 197.56
"14" "Fri" 1 6 2 1 0 10 1 38 35 70
"15" "Mon" 3 14 2 8 1 9 2 35 31 97
"16" "Tue" 8 16 11 9 2 11 8 53 29 181.43
"17" "Wed" 7 12 5 7 1 14 3 45 26 125.57
"18" "Thu" 8 19 12 9 2 4 2 59 28 180.63
"19" "Fri" 2 4 0 2 2 25 2 38 30 75.87
"20" "Mon" 3 12 6 8 2 7 7 57 26 150.51
"21" "Tue" 8 22 1 3 3 13 5 68 29 177.41
"22" "Wed" 6 8 9 10 1 11 2 72 29 153.84
"23" "Thu" 4 19 10 9 3 8 12 60 34 205.36
"24" "Fri" 4 10 4 4 0 14 4 42 39 118.54
"25" "Mon" 6 16 9 7 1 11 2 50 36 138.04
"26" "Tue" 7 23 12 12 4 21 5 71 33 236.01
"27" "Wed" 6 15 1 6 1 11 5 66 28 149.58
"28" "Thu" 5 22 8 4 4 10 4 72 33 206.17
"29" "Fri" 2 5 28 8 0 11 21 38 35 93.1
"30" "Mon" 3 9 5 6 2 10 7 60 40 151.91
"31" "Tue" 8 21 10 9 2 12 7 74 39 217.29
"32" "Wed" 4 13 8 8 3 9 4 45 39 148.24
"33" "Thu" 4 14 6 8 2 8 5 64 45 168.08
"34" "Mon" 6 17 3 4 2 9 3 32 48 130.77
"35" "Tue" 7 19 5 13 1 11 4 56 61 164.54
"36" "Wed" 3 13 3 6 0 7 4 39 64 121.41
"37" "Thu" 5 15 1 5 4 8 5 37 64 127.93
"38" "Fri" 2 4 5 3 1 1 3 27 65 61.94
"39" "Mon" 4 13 3 2 2 8 7 35 47 128.59
"40" "Tue" 8 14 7 4 2 7 6 56 62 159.23
"41" "Wed" 4 9 8 5 2 7 5 49 66 148.08
"42" "Thu" 6 18 3 3 2 9 4 63 56 164.86
"43" "Fri" 1 4 3 5 1 3 2 30 49 74.13
"44" "Mon" 2 9 3 1 0 4 0 42 56 82.96
"45" "Tue" 6 25 11 9 4 9 10 69 62 240.87
"46" "Wed" 4 15 1 9 3 6 4 52 76 151.52
"47" "Thu" 4 16 6 6 1 11 3 56 80 150.99
