"Long" "Lat"
"1" 14.246 42.45
"2" 14.2328 42.4481
"3" 14.238 42.4525
"4" 14.2317 42.4543
"5" 14.2293 42.4546
"6" 14.2258 42.4536
"7" 14.2443 42.4491
"8" 14.2402 42.451
"9" 14.2459 42.4458
"10" 14.2182 42.4566
"11" 14.2297 42.4528
"12" 14.2475 42.4469
"13" 14.2409 42.4512
"14" 14.2399 42.4517
"15" 14.2304 42.453
"16" 14.2259 42.4548
"17" 14.2314 42.4513
"18" 14.2273 42.4553
"19" 14.2209 42.4594
"20" 14.219 42.4583
"21" 14.2297 42.4534
"22" 14.2379 42.452
"23" 14.2357 42.4518
"24" 14.2364 42.4517
"25" 14.2299 42.4514
"26" 14.238 42.4538
"27" 14.2367 42.4483
"28" 14.2355 42.453
"29" 14.2202 42.4581
"30" 14.2386 42.4526
"31" 14.241 42.4516
"32" 14.2507 42.4457
"33" 14.2434 42.4495
"34" 14.2318 42.4545
"35" 14.2517 42.4449
"36" 14.2347 42.4505
"37" 14.2334 42.4515
"38" 14.2456 42.4511
"39" 14.2448 42.4486
"40" 14.225 42.4552
"41" 14.2361 42.4512
"42" 14.24 42.4497
"43" 14.2356 42.4511
"44" 14.2304 42.4549
"45" 14.2358 42.4518
"46" 14.2393 42.4518
"47" 14.2177 42.4576
"48" 14.2353 42.4517
"49" 14.2337 42.4527
"50" 14.2244 42.454
"51" 14.2188 42.4578
"52" 14.2335 42.4511
"53" 14.2462 42.4498
"54" 14.2372 42.4507
"55" 14.2355 42.453
"56" 14.2221 42.4557
"57" 14.23 42.457
"58" 14.2303 42.4544
"59" 14.2402 42.4502
"60" 14.2334 42.453
"61" 14.2395 42.4492
"62" 14.2296 42.4509
"63" 14.237 42.4513
"64" 14.2304 42.4527
"65" 14.2384 42.4513
"66" 14.2223 42.4542
"67" 14.2373 42.451
"68" 14.2332 42.4504
"69" 14.2472 42.4472
"70" 14.2183 42.4555
"71" 14.2271 42.4545
"72" 14.2358 42.451
"73" 14.2344 42.4508
"74" 14.2311 42.4525
"75" 14.2413 42.4493
"76" 14.2227 42.4556
"77" 14.2319 42.4543
"78" 14.2389 42.4522
"79" 14.2305 42.4547
"80" 14.2401 42.4483
"81" 14.2249 42.4531
"82" 14.2236 42.4562
"83" 14.2287 42.4549
"84" 14.2295 42.4525
"85" 14.2478 42.4475
"86" 14.227 42.4545
"87" 14.248 42.4492
"88" 14.2236 42.4539
"89" 14.2327 42.4513
"90" 14.2311 42.4526
"91" 14.2267 42.4541
"92" 14.236 42.4497
"93" 14.2394 42.4531
"94" 14.2283 42.4541
"95" 14.2189 42.4557
"96" 14.2376 42.4509
"97" 14.2417 42.4506
"98" 14.2409 42.4491
"99" 14.2397 42.4491
"100" 14.2381 42.4514
"101" 14.2328 42.4532
"102" 14.2259 42.457
"103" 14.2278 42.4519
"104" 14.2218 42.4551
"105" 14.2443 42.4505
"106" 14.2313 42.451
"107" 14.243 42.4494
"108" 14.2288 42.4561
"109" 14.2357 42.4537
"110" 14.2317 42.4537
"111" 14.245 42.4485
"112" 14.222 42.4576
"113" 14.23 42.4543
"114" 14.2344 42.4531
"115" 14.2473 42.4508
"116" 14.2304 42.4539
"117" 14.2342 42.4508
"118" 14.2379 42.4529
"119" 14.2379 42.452
"120" 14.2303 42.4521
"121" 14.2294 42.4532
"122" 14.2278 42.4546
"123" 14.2455 42.4474
"124" 14.2359 42.4513
"125" 14.233 42.4551
"126" 14.24 42.4509
"127" 14.23 42.4554
"128" 14.235 42.4517
"129" 14.2543 42.4467
"130" 14.2338 42.4508
"131" 14.2214 42.456
"132" 14.2276 42.4545
"133" 14.242 42.4494
"134" 14.2326 42.4521
"135" 14.2322 42.4543
"136" 14.2423 42.4491
"137" 14.2264 42.4607
"138" 14.2407 42.4465
"139" 14.2297 42.4533
"140" 14.2435 42.4517
"141" 14.2442 42.4486
"142" 14.23 42.454
"143" 14.2385 42.4514
"144" 14.2309 42.4527
"145" 14.2335 42.4528
"146" 14.2337 42.4528
"147" 14.2441 42.4482
"148" 14.2322 42.4527
"149" 14.2449 42.4496
"150" 14.2366 42.4482
"151" 14.2486 42.4469
"152" 14.2346 42.4477
"153" 14.2369 42.448
"154" 14.2376 42.4499
"155" 14.2497 42.4464
"156" 14.2251 42.4544
"157" 14.2356 42.4512
"158" 14.2528 42.4482
"159" 14.2358 42.4503
"160" 14.2397 42.4517
"161" 14.2319 42.4517
"162" 14.2299 42.4529
"163" 14.2465 42.4488
"164" 14.236 42.4516
"165" 14.2518 42.4482
"166" 14.2276 42.4546
"167" 14.2392 42.4498
"168" 14.2395 42.4471
"169" 14.2336 42.4523
"170" 14.2289 42.4513
"171" 14.2286 42.4534
"172" 14.2271 42.4545
"173" 14.2422 42.4511
"174" 14.2341 42.4522
"175" 14.2407 42.449
"176" 14.2503 42.4495
"177" 14.2407 42.4502
"178" 14.2296 42.4509
"179" 14.2244 42.4539
"180" 14.2313 42.4489
"181" 14.249 42.4455
"182" 14.2373 42.4507
"183" 14.2176 42.4563
"184" 14.2399 42.4516
"185" 14.2445 42.4467
"186" 14.2434 42.4503
"187" 14.2413 42.4536
"188" 14.2391 42.4501
"189" 14.2339 42.4509
"190" 14.2245 42.458
"191" 14.255 42.4428
"192" 14.2253 42.4535
"193" 14.2417 42.4504
"194" 14.2283 42.4542
"195" 14.2378 42.4514
"196" 14.2566 42.444
"197" 14.2334 42.4525
"198" 14.2491 42.4437
"199" 14.2402 42.4487
"200" 14.2298 42.4505
"201" 14.2445 42.4493
"202" 14.2357 42.4498
"203" 14.2279 42.4544
"204" 14.2315 42.4525
"205" 14.2206 42.4537
"206" 14.234 42.4536
"207" 14.2445 42.4465
"208" 14.2392 42.4525
"209" 14.2396 42.4498
"210" 14.2366 42.4504
"211" 14.2375 42.4503
"212" 14.2258 42.4536
"213" 14.2353 42.4539
"214" 14.2291 42.4522
"215" 14.2394 42.4502
"216" 14.2371 42.4498
"217" 14.2272 42.4527
"218" 14.2365 42.4513
"219" 14.2421 42.4486
"220" 14.2385 42.4507
"221" 14.2369 42.4544
"222" 14.2432 42.4509
"223" 14.2416 42.4484
"224" 14.2367 42.454
"225" 14.2274 42.4518
"226" 14.2361 42.4523
"227" 14.2376 42.4533
"228" 14.2385 42.4525
"229" 14.2523 42.447
"230" 14.2337 42.4515
"231" 14.2428 42.4488
"232" 14.2417 42.4463
"233" 14.2301 42.4531
"234" 14.2369 42.4512
"235" 14.2422 42.451
"236" 14.2379 42.4511
"237" 14.2432 42.4475
"238" 14.2382 42.4509
"239" 14.2429 42.4492
"240" 14.2472 42.4481
"241" 14.2331 42.4536
"242" 14.2297 42.4543
"243" 14.2299 42.4522
"244" 14.2455 42.4525
"245" 14.2323 42.4504
"246" 14.2417 42.446
"247" 14.2353 42.4508
"248" 14.2263 42.4548
"249" 14.2412 42.452
"250" 14.2339 42.4517
"251" 14.2139 42.4545
"252" 14.2259 42.4564
"253" 14.2257 42.454
"254" 14.2469 42.4457
"255" 14.2423 42.4486
"256" 14.2338 42.4531
"257" 14.2366 42.4529
"258" 14.2355 42.4512
"259" 14.2483 42.4487
"260" 14.2363 42.4494
"261" 14.2345 42.4497
"262" 14.2164 42.4587
"263" 14.224 42.4532
"264" 14.2398 42.4498
"265" 14.2444 42.4477
"266" 14.2389 42.4513
"267" 14.2433 42.4495
"268" 14.2399 42.4514
"269" 14.2306 42.4509
"270" 14.2314 42.4542
"271" 14.2343 42.4503
"272" 14.2187 42.4561
"273" 14.2387 42.4514
"274" 14.2399 42.4497
"275" 14.2322 42.4537
"276" 14.2289 42.4536
"277" 14.2422 42.4477
"278" 14.227 42.4521
"279" 14.2374 42.4521
"280" 14.2198 42.4578
"281" 14.2313 42.4529
"282" 14.2236 42.4545
"283" 14.2301 42.4493
"284" 14.2354 42.4516
"285" 14.2465 42.45
"286" 14.235 42.4512
"287" 14.2403 42.4486
"288" 14.2305 42.4553
"289" 14.2311 42.4509
"290" 14.2344 42.451
"291" 14.2369 42.4508
"292" 14.2291 42.4532
"293" 14.2337 42.4508
"294" 14.2378 42.452
"295" 14.2282 42.4544
"296" 14.2394 42.4487
"297" 14.2262 42.4552
"298" 14.2302 42.4526
"299" 14.2408 42.4522
"300" 14.2329 42.4533
"301" 14.2395 42.4515
"302" 14.2313 42.4535
"303" 14.22 42.4566
"304" 14.2413 42.4492
"305" 14.2403 42.4464
"306" 14.2378 42.4494
"307" 14.2418 42.449
"308" 14.2386 42.45
"309" 14.2231 42.4584
"310" 14.2246 42.4536
"311" 14.2375 42.4531
"312" 14.2342 42.4508
"313" 14.2337 42.4527
"314" 14.2318 42.4549
"315" 14.2346 42.4524
"316" 14.2251 42.4528
"317" 14.2476 42.4491
"318" 14.2323 42.4544
"319" 14.2398 42.45
"320" 14.2413 42.45
"321" 14.2219 42.4582
"322" 14.2352 42.4534
"323" 14.2353 42.453
"324" 14.2262 42.4537
