"price" "l" "ncolors" "q"
"1" 1605.06 5.13 3 "medium"
"2" 6049.56 9.47 4 "high"
"3" 2100.27 7.15 4 "medium"
"4" 4365.12 6.62 4 "high"
"5" 3855.82 6.64 1 "high"
"6" 1631.76 6.88 3 "medium"
"7" 1446.65 5.98 3 "medium"
"8" 2509.84 10.37 3 "medium"
"9" 5087.53 8.2 3 "high"
"10" 2056.58 7.45 5 "medium"
"11" 4966.79 7.5 2 "high"
"12" 2028.94 7.17 3 "medium"
"13" 1767.91 6.69 3 "medium"
"14" 1764.94 6.17 3 "medium"
"15" 1985.04 8.09 2 "medium"
"16" 4467.85 6.91 3 "high"
"17" 2031.67 8.69 4 "medium"
"18" 4991.06 8.14 2 "high"
"19" 1708.24 6.94 2 "medium"
"20" 4389.47 6.75 2 "high"
"21" 2390.93 8.61 4 "medium"
"22" 1412.75 5.36 3 "medium"
"23" 1706.92 6.17 3 "medium"
"24" 4297.42 6.81 3 "high"
"25" 1842.45 6.39 2 "medium"
"26" 1841.08 7.39 2 "medium"
"27" 4470.55 7.44 2 "high"
"28" 3431.14 5.82 3 "high"
"29" 2266.47 8.42 2 "medium"
"30" 1994.9 7.09 2 "medium"
"31" 2167.19 7.79 4 "medium"
"32" 4643.41 7.61 2 "high"
"33" 5539.11 8.93 3 "high"
"34" 1629.33 6.44 1 "medium"
"35" 2104.19 7.69 2 "medium"
"36" 5088.28 8.08 2 "high"
"37" 3623.58 5.75 4 "high"
"38" 1992.75 6.94 4 "medium"
"39" 5343.85 8.59 4 "high"
"40" 1183.51 4.59 3 "medium"
"41" 4283.5 6.53 3 "high"
"42" 1957.73 7.45 3 "medium"
"43" 2327.18 8.57 4 "medium"
"44" 4836.45 7.6 3 "high"
"45" 4748.2 7.16 2 "high"
"46" 2310.19 9.07 3 "medium"
"47" 4339.21 6.89 4 "high"
"48" 3663.2 5.7 2 "high"
"49" 1846.8 6.68 2 "medium"
"50" 2560.01 8.28 3 "medium"
"51" 2363.07 8.78 4 "medium"
"52" 3770.9 5.98 2 "high"
"53" 2322.28 9.62 3 "medium"
"54" 5358.32 8.34 5 "high"
"55" 5689.55 8.61 3 "high"
"56" 5754.26 9.2 3 "high"
"57" 4751.27 7.53 2 "high"
"58" 2598.97 9.71 4 "medium"
"59" 4904.48 7.66 3 "high"
"60" 3736.09 5.97 3 "high"
"61" 2092.8 7.13 3 "medium"
"62" 4640.83 7.2 2 "high"
"63" 4509.44 6.76 3 "high"
"64" 4729.37 7.37 4 "high"
"65" 3964.91 6.41 4 "high"
"66" 1320.18 5.07 3 "medium"
"67" 4776.71 8 2 "high"
"68" 2178.64 7.35 3 "medium"
"69" 5215.21 8.72 3 "high"
"70" 1480.56 4.95 2 "medium"
"71" 5181.51 7.92 4 "high"
"72" 1876.86 6.42 4 "medium"
"73" 1646.99 6 3 "medium"
"74" 4540.26 7.49 3 "high"
"75" 1932.08 6.88 2 "medium"
"76" 2350.64 8.09 2 "medium"
"77" 1594.31 5.31 4 "medium"
"78" 1764.4 6.3 3 "medium"
"79" 5340.96 8.41 2 "high"
