"weightM" "wingM" "weightF" "wingF"
"1" 397.85 73.71 365.6 67.99
"2" 456.01 93.94 372.03 69.96
"3" 493.95 72.91 398.64 59.78
"4" 423.73 91.35 345.3 68.06
"5" 460.31 77.24 353.28 65.23
"6" 455.51 67.24 367.3 61.19
"7" 428.81 84.61 352.3 66.52
"8" 476.11 74.54 367.71 58.46
"9" 423.42 87.88 346.59 70.72
"10" 484.57 79.65 366.18 60.02
"11" 456.52 72.74 364.63 61.14
"12" 454.56 86.2 355.08 67.04
"13" 446.32 88.69 359.02 70.14
"14" 439.39 76.05 348.44 61.85
"15" 409.05 82.04 340.3 70.2
"16" 442.5 78.38 346.2 58.95
"17" 421.23 78.43 360.65 66
"18" 475.91 84.58 383.86 69.85
"19" 422.93 72.32 349.72 60.97
"20" 431.33 77.77 341.1 59.74
"21" 453 80.05 376.41 64.99
"22" 447.99 83.01 351.74 69.87
"23" 432.6 82.66 364.88 66.48
"24" 485.08 76.2 380.66 61.84
"25" 412.57 85.79 334.3 72.44
"26" 389.01 86.82 315.31 67.64
"27" 493.81 86.67 379.47 70.19
"28" 450.21 79.19 342.37 62.39
"29" 422.54 83.99 362.88 79.81
"30" 456.66 92.11 372.07 72.89
"31" 431.8 86.17 356.55 70.41
"32" 450.8 75.3 366.3 63.45
"33" 447.79 92.66 346.8 69.97
"34" 425.03 87.98 331.82 71.94
"35" 470.9 74.21 367.85 56.82
"36" 438.05 71.12 372.87 59.11
"37" 463.21 77.66 367.58 62.6
"38" 433.85 77.68 368.39 63.26
"39" 449.84 80.23 361.23 64.13
"40" 418.97 81.02 332 60.81
"41" 438.19 71.15 355.51 57.98
"42" 405.86 83.56 336.55 65.77
"43" 432.68 84.06 358.82 66.67
"44" 450.93 78.75 370.63 65.67
"45" 422.28 85.82 356.99 69.98
"46" 429.65 83.73 364.11 66.8
"47" 471.4 86.11 386.13 67.92
"48" 427.29 78.99 343.36 64.65
"49" 444.49 82.23 364.36 71.98
"50" 430.25 82.96 362.28 62.05
"51" 453.34 85.07 367.32 68.71
"52" 419.96 74.71 344.79 59.81
"53" 438.21 74 358.94 56.45
"54" 457.85 77.13 357.11 59.3
"55" 460.27 88.8 368.36 74.34
"56" 476.98 85.42 363.94 62.88
"57" 429.36 71.22 354.27 58.79
"58" 410.46 68.67 351.85 61.72
"59" 434.13 86.99 352.47 69.09
"60" 444.8 85.42 365.24 69.29
"61" 474.44 66.36 376.32 58.38
"62" 442.21 71.5 355.04 57.35
"63" 468.04 84.85 357.03 66.08
"64" 388.91 70.87 331.46 65.44
"65" 396.72 90.18 330.64 71.02
"66" 380.72 79.73 330.51 61.78
"67" 431.34 80.08 355.45 68.26
"68" 426.07 94.73 352.07 71.8
"69" 423.95 72.18 357.71 65.3
"70" 440.67 76.8 367.09 66.31
"71" 441.15 78.33 334.8 64.26
"72" 485.92 83.19 381.87 67.73
"73" 458.28 92.34 362.76 68.76
"74" 433.66 74.87 353.86 60.5
"75" 440.48 70.71 354.07 59.64
"76" 417.97 92.38 350.31 73.19
"77" 442.51 88.25 339.11 71.29
"78" 437.14 74.16 346.18 66.55
"79" 494.89 79.52 375.83 63.8
"80" 481.66 64.08 390.46 55.76
"81" 471.06 93.28 374.94 72.57
"82" 446.02 82.34 354.08 66.67
"83" 456.64 70.49 370.62 64.33
"84" 440.97 80.66 350.51 65.5
"85" 412.13 74.46 355.97 62.77
"86" 438.94 92.27 374.28 64.49
"87" 459.05 85.07 359.79 69.48
"88" 455.71 72.66 363.34 55.53
"89" 446.66 65.71 370.3 57.77
"90" 452.97 77.22 356.97 60.5
"91" 466.12 94.77 371.59 74.22
"92" 422.01 80.58 351.68 70.73
"93" 445.51 79.15 340.86 66.67
"94" 412.74 78.58 344.47 68.09
"95" 427.46 74.22 350.69 67.17
"96" 437.45 77.18 351.73 61.18
"97" 470.75 75.47 390 60.46
"98" 468 75.55 373.86 63.83
"99" 433.69 79.02 352.75 65.37
"100" 465.82 85.6 365.39 66.38
"101" 469.48 60.64 357.91 54.66
"102" 462.38 77.9 370.88 64.47
"103" 497.67 76.38 401.27 69.22
"104" 408.33 80.44 339.6 68.04
"105" 440.9 83.8 374.05 68.91
"106" 442.47 87.37 372.65 68.07
"107" 426.67 69.43 353.05 55.44
"108" 429.55 61.91 361.45 56.88
"109" 483.57 81.77 383.11 63.99
"110" 427.94 75.79 353.06 66.42
"111" 419.71 81.87 361.05 60.91
"112" 453.87 78.34 378.99 59.75
"113" 414.75 71 326.55 62.91
"114" 453.52 87.33 365.82 67.45
"115" 440.44 60.37 367.87 56.23
"116" 422.92 85.32 344.46 68.36
"117" 431.55 85.75 357.31 69.95
"118" 433.08 82.03 331.31 60.96
"119" 436.31 77.37 351.49 62.59
"120" 426.09 94.33 358.76 74.6
"121" 405.58 84.56 324.33 69.35
"122" 405.56 70.41 316.78 60.03
"123" 441 75.62 376.52 63.4
"124" 468.44 78.59 400.34 68.64
"125" 435.75 76.97 358.62 62.91
"126" 462.02 82.8 364.74 65.18
"127" 460.56 62.28 371.99 57.42
"128" 415.72 73.76 343.9 62.55
"129" 426.46 76.78 350.19 60.8
"130" 445.25 81.19 354.08 66.63
"131" 476.14 80.75 380.81 66.92
"132" 431.51 82.64 367.6 62.06
"133" 465.57 88.38 368.5 67.41
"134" 419.85 71.94 335.95 57.24
