"duration" "distance" "time.of.the.day"
"1" 105.08 52 "6-10"
"2" 124.26 63 "6-10"
"3" 131.89 65 "6-10"
"4" 126.85 59 "6-10"
"5" 101.74 52 "6-10"
"6" 114.1 57 "6-10"
"7" 111.33 57 "6-10"
"8" 110.15 53 "6-10"
"9" 124.82 63 "6-10"
"10" 106.81 58 "6-10"
"11" 126.7 65 "6-10"
"12" 109.87 57 "6-10"
"13" 116.12 57 "6-10"
"14" 99.55 59 "6-10"
"15" 116.36 58 "6-10"
"16" 108.48 59 "6-10"
"17" 121.82 61 "6-10"
"18" 98.59 57 "6-10"
"19" 108.31 53 "6-10"
"20" 124.54 63 "6-10"
"21" 101.09 55 "6-10"
"22" 116.97 57 "6-10"
"23" 114.24 54 "6-10"
"24" 137.86 67 "6-10"
"25" 119.31 62 "6-10"
"26" 113.68 52 "6-10"
"27" 126.72 66 "6-10"
"28" 126.97 64 "6-10"
"29" 122.86 64 "6-10"
"30" 91.47 46 "6-10"
"31" 109.08 59 "6-10"
"32" 128.7 65 "6-10"
"33" 125.08 65 "6-10"
"34" 108.49 57 "6-10"
"35" 104.46 57 "6-10"
"36" 109.27 54 "6-10"
"37" 102.42 46 "6-10"
"38" 114.02 58 "6-10"
"39" 125.75 62 "6-10"
"40" 117.43 58 "6-10"
"41" 93.35 47 "6-10"
"42" 116.48 60 "6-10"
"43" 121.73 64 "6-10"
"44" 126.34 62 "6-10"
"45" 116.4 58 "6-10"
"46" 133.16 66 "6-10"
"47" 115.32 58 "6-10"
"48" 99.24 52 "6-10"
"49" 106.41 63 "6-10"
"50" 131.62 64 "6-10"
"51" 124.03 64 "6-10"
"52" 119.79 61 "6-10"
"53" 115.72 57 "6-10"
"54" 87.94 62 "11-15"
"55" 95.23 68 "11-15"
"56" 98.92 60 "11-15"
"57" 80.12 54 "11-15"
"58" 81.99 50 "11-15"
"59" 78.1 54 "11-15"
"60" 87.5 55 "11-15"
"61" 89.74 63 "11-15"
"62" 91.76 64 "11-15"
"63" 88.69 65 "11-15"
"64" 92.74 65 "11-15"
"65" 89.6 64 "11-15"
"66" 80.45 62 "11-15"
"67" 94.98 64 "11-15"
"68" 89 54 "11-15"
"69" 85.31 63 "11-15"
"70" 87.14 60 "11-15"
"71" 95.47 64 "11-15"
"72" 92.28 58 "11-15"
"73" 87.65 57 "11-15"
"74" 82.49 56 "11-15"
"75" 80.81 60 "11-15"
"76" 88.29 66 "11-15"
"77" 77.36 57 "11-15"
"78" 77.63 59 "11-15"
"79" 71.79 56 "11-15"
"80" 98.31 65 "11-15"
"81" 79.68 57 "11-15"
"82" 96.82 61 "11-15"
"83" 89.39 64 "11-15"
"84" 93.2 69 "11-15"
"85" 91.37 63 "11-15"
"86" 74.08 57 "11-15"
"87" 92.8 62 "11-15"
"88" 79.92 59 "11-15"
"89" 72.78 53 "11-15"
"90" 96.11 67 "11-15"
"91" 99.5 62 "11-15"
"92" 85.91 57 "11-15"
"93" 103.16 70 "11-15"
"94" 97.4 61 "11-15"
"95" 95.04 62 "11-15"
"96" 78.54 55 "11-15"
"97" 82.61 65 "11-15"
"98" 76.1 60 "11-15"
"99" 75.55 53 "11-15"
"100" 84.27 61 "11-15"
"101" 94.89 63 "11-15"
"102" 90.82 62 "16-20"
"103" 84.43 57 "16-20"
"104" 96.13 68 "16-20"
"105" 89.19 57 "16-20"
"106" 101.08 68 "16-20"
"107" 79.4 63 "16-20"
"108" 85.28 60 "16-20"
"109" 94.63 63 "16-20"
"110" 86.61 62 "16-20"
"111" 91.1 59 "16-20"
"112" 90.97 61 "16-20"
"113" 63.9 50 "16-20"
"114" 83.76 62 "16-20"
"115" 84.67 58 "16-20"
"116" 86.41 57 "16-20"
"117" 89.52 61 "16-20"
"118" 89.13 60 "16-20"
"119" 97.18 67 "16-20"
"120" 81.36 58 "16-20"
"121" 81.03 57 "16-20"
"122" 77.35 61 "16-20"
"123" 101.41 64 "16-20"
"124" 79.6 52 "16-20"
"125" 94.67 63 "16-20"
"126" 87 59 "16-20"
"127" 89.47 59 "16-20"
"128" 83.97 58 "16-20"
"129" 93.02 63 "16-20"
"130" 93.57 61 "16-20"
"131" 83.26 60 "16-20"
"132" 103.8 69 "16-20"
"133" 99.8 67 "16-20"
"134" 90.69 61 "16-20"
"135" 101.75 60 "16-20"
"136" 99.8 68 "16-20"
"137" 92.14 66 "16-20"
"138" 97.58 65 "16-20"
"139" 80.44 60 "16-20"
"140" 90.29 62 "16-20"
"141" 97.63 64 "16-20"
"142" 82.14 55 "16-20"
"143" 74.15 53 "16-20"
"144" 88.32 59 "16-20"
"145" 86.48 57 "16-20"
"146" 100.61 68 "16-20"
"147" 79.09 52 "16-20"
"148" 92.36 62 "16-20"
"149" 87.46 63 "16-20"
"150" 93.39 60 "16-20"
"151" 89.38 61 "16-20"
"152" 85.07 57 "16-20"
"153" 101.71 64 "16-20"
"154" 89.22 57 "16-20"
"155" 86.37 61 "16-20"
"156" 81.3 54 "16-20"
"157" 85.14 60 "16-20"
"158" 78.89 60 "16-20"
"159" 96.07 64 "16-20"
"160" 102.06 63 "16-20"
"161" 76.6 54 "16-20"
"162" 81.56 54 "16-20"
"163" 73.76 50 "16-20"
"164" 93.25 60 "16-20"
"165" 86.71 64 "16-20"
"166" 99.39 66 "16-20"
"167" 92.26 62 "16-20"
"168" 93.34 68 "16-20"
