"T1" "T2"
"Tapa.1" 84.9 72.9
"Tapa.2" 80.6 72.3
"Tapa.3" 78.9 79.1
"Tapa.4" 86 82.8
"Tapa.5" 89.7 82
"Tapa.6" 88 76.8
"Tapa.7" 83.4 82.1
"Tapa.8" 79 77.2
"Tapa.9" 86 81.3
"Tapa.10" 85.2 80.9
"Tapa.11" 87.4 83.2
"Tapa.12" 84.2 79.6
"Tapa.13" 81.4 82.4
"Tapa.14" 80.6 80.6
"Tapa.15" 85.2 72.9
"Tapa.16" 80.8 74.4
"Tapa.17" 82.9 76.1
"Tapa.18" 80.4 82.2
"Tapa.19" 81.9 77.9
"Tapa.20" 77.1 72.4
"Tapa.21" 85.5 79.3
"Tapa.22" 79.4 70.2
"Tapa.23" 83 74.3
"Tapa.24" 86.2 77.5
"Tapa.25" 82.4 78.1
"Tapa.26" 85.4 81.3
"Tapa.27" 77.9 71.9
"Tapa.28" 82.3 78.4
"Tapa.29" 80.9 77.1
"Tapa.30" 82.2 81.9
"Tapa.31" 82.7 72.4
"Tapa.32" 83.2 76.1
"Tapa.33" 86 78.9
"Tapa.34" 85.1 83.8
"Tapa.35" 83 78.9
