"x" "y" "speed" "distance"
"1" 402400 4605500 39.5 95.6
"2" 402418.367346939 4605500 40.3 81.77
"3" 402461.224489796 4605500 48.8 59.85
"4" 402500 4605500 49.5 62.77
"5" 402432.653061224 4605502.04081633 38.4 70.78
"6" 402444.897959184 4605502.04081633 40.9 64.02
"7" 402430.612244898 4605506.12244898 37.6 68.93
"8" 402448.979591837 4605506.12244898 38.6 58.49
"9" 402451.020408163 4605506.12244898 41.2 57.58
"10" 402463.265306122 4605506.12244898 45.9 53.42
"11" 402497.959183673 4605506.12244898 48.3 56.33
"12" 402412.244897959 4605508.16326531 40.4 80.92
"13" 402497.959183673 4605508.16326531 46.6 54.46
"14" 402404.081632653 4605510.20408163 41.3 86.35
"15" 402414.285714286 4605510.20408163 40.7 78.06
"16" 402428.571428571 4605510.20408163 39.5 67.33
"17" 402430.612244898 4605510.20408163 38.7 65.91
"18" 402479.591836735 4605510.20408163 47.5 47.93
"19" 402485.714285714 4605510.20408163 48.4 48.77
"20" 402489.795918367 4605510.20408163 48.1 49.75
"21" 402400 4605512.24489796 40.8 88.71
"22" 402408.163265306 4605512.24489796 43.7 81.83
"23" 402442.857142857 4605512.24489796 40.3 56.5
"24" 402446.93877551 4605512.24489796 41.1 54.2
"25" 402465.306122449 4605512.24489796 44.6 46.99
"26" 402471.428571429 4605512.24489796 44.7 45.98
"27" 402491.836734694 4605512.24489796 46.8 48.42
"28" 402410.204081633 4605514.28571429 43.6 78.99
"29" 402402.040816327 4605516.32653061 41.5 84.89
"30" 402453.06122449 4605516.32653061 45.3 47.57
"31" 402455.102040816 4605516.32653061 45.9 46.62
"32" 402483.673469388 4605516.32653061 46.2 42.37
"33" 402500 4605516.32653061 50.3 48.09
"34" 402420.408163265 4605518.36734694 37.9 68.27
"35" 402461.224489796 4605518.36734694 45 42.3
"36" 402410.204081633 4605520.40816327 42.8 75.78
"37" 402475.510204082 4605520.40816327 44.6 37.6
"38" 402493.87755102 4605520.40816327 46.6 41.63
"39" 402465.306122449 4605522.44897959 46.6 37.12
"40" 402465.306122449 4605524.48979592 47.3 35.18
"41" 402479.591836735 4605524.48979592 44.6 33.7
"42" 402420.408163265 4605526.53061225 41 63.88
"43" 402461.224489796 4605526.53061225 50.1 34.77
"44" 402471.428571429 4605526.53061225 48.2 31.8
"45" 402495.918367347 4605526.53061225 49.8 37.24
"46" 402420.408163265 4605528.57142857 40 62.9
"47" 402467.346938776 4605528.57142857 49.5 30.67
"48" 402497.959183673 4605528.57142857 47.6 36.72
"49" 402414.285714286 4605532.65306122 41 66.72
"50" 402455.102040816 4605532.65306122 48.9 32.85
"51" 402481.632653061 4605532.65306122 45 25.97
"52" 402438.775510204 4605534.69387755 42.9 43.92
"53" 402444.897959184 4605534.69387755 43.7 38.87
"54" 402412.244897959 4605536.73469388 37.2 67.21
"55" 402416.326530612 4605536.73469388 39 63.35
"56" 402461.224489796 4605536.73469388 51 25.89
"57" 402467.346938776 4605536.73469388 50.5 22.96
"58" 402500 4605536.73469388 50 32.07
"59" 402436.734693878 4605538.7755102 43.2 43.72
"60" 402448.979591837 4605538.7755102 46.1 33.16
"61" 402422.448979592 4605540.81632653 40.6 56.24
"62" 402434.693877551 4605540.81632653 42.8 44.74
"63" 402485.714285714 4605540.81632653 46.1 19.74
"64" 402426.530612245 4605542.85714286 43 51.74
"65" 402436.734693878 4605542.85714286 42 42.08
"66" 402469.387755102 4605542.85714286 50.8 16.52
"67" 402442.857142857 4605544.89795918 43 35.64
"68" 402493.87755102 4605544.89795918 43.3 22.16
"69" 402408.163265306 4605546.93877551 41.3 68.73
"70" 402444.897959184 4605546.93877551 44.3 33.01
"71" 402463.265306122 4605546.93877551 46.7 16.87
"72" 402442.857142857 4605551.02040816 45.7 33.87
"73" 402479.591836735 4605551.02040816 51.8 7.85
"74" 402428.571428571 4605555.10204082 46.2 47.52
"75" 402461.224489796 4605555.10204082 50.6 15.06
"76" 402404.081632653 4605557.14285714 41.9 71.92
"77" 402438.775510204 4605557.14285714 49.4 37.23
"78" 402442.857142857 4605559.18367347 47.5 33.16
"79" 402493.87755102 4605559.18367347 45.1 17.92
"80" 402406.12244898 4605561.2244898 41.6 69.95
"81" 402444.897959184 4605561.2244898 47.3 31.27
"82" 402459.183673469 4605561.2244898 48.9 17.12
"83" 402477.551020408 4605561.2244898 52.1 3.58
"84" 402438.775510204 4605563.26530612 47.6 37.6
"85" 402446.93877551 4605563.26530612 48.7 29.53
"86" 402400 4605565.30612245 42.6 76.35
"87" 402432.653061224 4605565.30612245 44.5 43.96
"88" 402434.693877551 4605565.30612245 45.6 41.95
"89" 402446.93877551 4605565.30612245 47.4 29.97
"90" 402440.816326531 4605569.3877551 44.1 36.98
"91" 402483.673469388 4605569.3877551 48.4 13.73
"92" 402440.816326531 4605571.42857143 43 37.66
"93" 402473.469387755 4605571.42857143 45.8 13.66
"94" 402434.693877551 4605573.46938775 40 44.11
"95" 402477.551020408 4605573.46938775 44.8 15.55
"96" 402491.836734694 4605573.46938775 46.5 22.14
"97" 402424.489795918 4605575.51020408 44.6 54.41
"98" 402426.530612245 4605577.55102041 41.6 53.19
"99" 402442.857142857 4605577.55102041 39.7 38.48
"100" 402485.714285714 4605577.55102041 48.5 21.83
"101" 402493.87755102 4605577.55102041 46.5 26.49
"102" 402469.387755102 4605579.59183673 43 22.58
"103" 402475.510204082 4605579.59183673 46 21.6
"104" 402483.673469388 4605579.59183673 46.9 22.91
"105" 402422.448979592 4605581.63265306 42.7 58.53
"106" 402457.142857143 4605581.63265306 35.2 30.23
"107" 402469.387755102 4605581.63265306 44.7 24.54
"108" 402414.285714286 4605583.67346939 46.8 66.84
"109" 402446.93877551 4605583.67346939 39.2 38.78
"110" 402485.714285714 4605583.67346939 46.7 27.45
"111" 402402.040816327 4605585.71428571 40.5 78.98
"112" 402467.346938776 4605585.71428571 42.6 29.03
"113" 402497.959183673 4605585.71428571 48.6 35.36
"114" 402406.12244898 4605587.75510204 40.9 75.95
"115" 402402.040816327 4605589.79591837 38.2 80.5
"116" 402428.571428571 4605589.79591837 44.3 57.1
"117" 402469.387755102 4605589.79591837 41.7 32.48
"118" 402420.408163265 4605591.83673469 41.3 65.08
"119" 402422.448979592 4605591.83673469 41.4 63.35
"120" 402430.612244898 4605591.83673469 43.3 56.61
"121" 402400 4605593.87755102 38.9 84.04
"122" 402412.244897959 4605593.87755102 39.2 73.16
"123" 402457.142857143 4605593.87755102 42.3 40.53
"124" 402481.632653061 4605593.87755102 40.5 36.32
"125" 402487.755102041 4605593.87755102 43.5 37.75
"126" 402455.102040816 4605595.91836735 42.3 43.3
"127" 402406.12244898 4605597.95918367 38.5 80.5
"128" 402471.428571429 4605597.95918367 43.7 40.22
"129" 402479.591836735 4605597.95918367 43.3 40.12
"130" 402497.959183673 4605597.95918367 43.9 45.6
"131" 402448.979591837 4605600 38.5 49.94
"132" 402461.224489796 4605600 40.1 44.52
"133" 402477.551020408 4605600 45.6 42.03
"134" 402481.632653061 4605600 46.3 42.38
