"t1" "t2" "type"
"1" 35.46 16.78 "tourist"
"2" 51.85 14.75 "tourist"
"3" 34.35 13.29 "tourist"
"4" 41.69 11.23 "tourist"
"5" 48.35 13.96 "tourist"
"6" 51.83 13.56 "tourist"
"7" 40.91 14.2 "tourist"
"8" 42.11 14.5 "tourist"
"9" 46.54 13.2 "tourist"
"10" 36.4 16.6 "tourist"
"11" 38 12.95 "tourist"
"12" 37.96 18.66 "tourist"
"13" 46.85 10.52 "tourist"
"14" 52.55 17.41 "tourist"
"15" 50.25 7.21 "tourist"
"16" 44.36 17.72 "tourist"
"17" 51.4 13.15 "tourist"
"18" 40.86 11.69 "tourist"
"19" 26.66 13.5 "tourist"
"20" 47.48 13.75 "tourist"
"21" 28.2 14.51 "tourist"
"22" 49.9 16.06 "tourist"
"23" 42.57 18.5 "tourist"
"24" 42.14 10.41 "tourist"
"25" 49.19 17.6 "tourist"
"26" 49.66 15.92 "tourist"
"27" 40.95 16.13 "tourist"
"28" 55.08 15.22 "tourist"
"29" 36.84 9.01 "tourist"
"30" 37.28 12.2 "tourist"
"31" 48.33 17.53 "tourist"
"32" 51.77 17.97 "tourist"
"33" 49.93 16.08 "tourist"
"34" 49.6 11.82 "tourist"
"35" 48.84 14.9 "tourist"
"36" 50.05 13.87 "tourist"
"37" 41.57 12.45 "tourist"
"38" 44.96 18.2 "tourist"
"39" 40.61 14.31 "tourist"
"40" 39.77 17.58 "tourist"
"41" 41.66 15.42 "tourist"
"42" 49.95 20.4 "tourist"
"43" 48.35 13.15 "tourist"
"44" 47.5 14.58 "tourist"
"45" 36.07 18.9 "tourist"
"46" 46.84 13.2 "tourist"
"47" 57.25 15.7 "tourist"
"48" 47.49 12.16 "tourist"
"49" 50.82 14.89 "tourist"
"50" 36.13 15.2 "tourist"
"51" 48.63 16.31 "tourist"
"52" 40.83 19.33 "tourist"
"53" 41.71 19.32 "tourist"
"54" 48.21 15.26 "tourist"
"55" 48.3 16.42 "tourist"
