"T1" "T2"
"Tapa.1" 73 72.5
"Tapa.2" 75.7 76.8
"Tapa.3" 71.6 74.8
"Tapa.4" 77.7 79.4
"Tapa.5" 78.2 75.9
"Tapa.6" 73.8 76.5
"Tapa.7" 76.1 75
"Tapa.8" 74.8 80.4
"Tapa.9" 77.6 76.2
"Tapa.10" 73.5 76.3
"Tapa.11" 74.6 73.4
"Tapa.12" 76.8 85.3
"Tapa.13" 75.5 75.9
"Tapa.14" 71.8 74.5
"Tapa.15" 77.7 77.6
"Tapa.16" 74.3 76.8
"Tapa.17" 75.4 75.3
"Tapa.18" 70.5 72.8
"Tapa.19" 65.7 73.2
"Tapa.20" 72.7 73.5
"Tapa.21" 73.8 72
"Tapa.22" 72.1 73.4
"Tapa.23" 74.8 75.6
"Tapa.24" 76.6 74.8
"Tapa.25" 75.4 68.4
"Tapa.26" 67.8 72.4
"Tapa.27" 76.2 71.9
"Tapa.28" 79.6 74.1
"Tapa.29" 74.5 72.2
"Tapa.30" 73.5 76.2
"Tapa.31" 76.3 73.2
"Tapa.32" 72.4 74.9
"Tapa.33" 74.5 75.8
"Tapa.34" 71.9 73.8
"Tapa.35" 73.9 73.6
