"LM1" "LM2"
"bulb.1" 448.92 221.54
"bulb.2" 449.38 225.25
"bulb.3" 450.8 219.5
"bulb.4" 452.37 223.87
"bulb.5" 451.85 221.09
"bulb.6" 454.92 223.67
"bulb.7" 447.18 214.99
"bulb.8" 453.54 222.2
"bulb.9" 451.15 224.07
"bulb.10" 453.18 223.72
"bulb.11" 453.58 224.31
"bulb.12" 449.25 216.12
"bulb.13" 452.15 221.8
"bulb.14" 449 217.37
"bulb.15" 449.5 222.29
"bulb.16" 454.14 222.21
"bulb.17" 451.52 221.64
"bulb.18" 446.43 219.36
"bulb.19" 449.38 221.05
"bulb.20" 454.06 224.39
"bulb.21" 449.87 220.69
"bulb.22" 452.81 223.53
"bulb.23" 448.1 219.06
"bulb.24" 452.06 223.87
"bulb.25" 450.84 223.82
"bulb.26" 451.14 220.12
"bulb.27" 450.61 218.66
"bulb.28" 455.86 227.96
"bulb.29" 448.73 218.38
"bulb.30" 451.96 221.55
"bulb.31" 457.03 223.15
"bulb.32" 452.4 222.08
"bulb.33" 448.61 221.47
"bulb.34" 446.64 224.18
"bulb.35" 452.51 227.55
"bulb.36" 451.28 219.91
"bulb.37" 451.48 219.4
"bulb.38" 447.29 221.38
"bulb.39" 449.29 221.18
"bulb.40" 450.27 219.94
"bulb.41" 448.85 220.71
"bulb.42" 452.6 218.2
"bulb.43" 452.37 222.84
"bulb.44" 453.18 221.45
"bulb.45" 451.71 222.5
"bulb.46" 449.9 224.4
"bulb.47" 454.18 224.26
"bulb.48" 455.24 224.19
"bulb.49" 446.59 219
"bulb.50" 446.81 219.31
