"time" "volume" "yeast"
"1" "5.5" "1.35132321107384" "sd"
"2" "7" "1.66706517398746" "by"
"3" "6.5" "1.58466592569974" "by"
"4" "5" "1.30553413579726" "sd"
"5" "10" "2.32241048893147" "by"
"6" "2" "1.10960413609902" "sd"
"7" "8" "1.84383154667641" "by"
"8" "6" "1.29673018242159" "sd"
"9" "5.5" "1.40376134964745" "by"
"10" "1.5" "1.05874803660754" "sd"
"11" "8.5" "1.99811337339399" "by"
"12" "0.5" "0.930562359788489" "by"
"13" "1.5" "1.05565735740532" "sd"
"14" "4" "1.15566533446288" "sd"
"15" "7" "1.44304581029946" "sd"
"16" "6.5" "1.53759956917663" "by"
"17" "6" "1.49465021133653" "by"
"18" "8" "1.82288382734453" "by"
"19" "5" "1.33506779507818" "sd"
"20" "3.5" "1.244432012705" "sd"
"21" "5.5" "1.30254155621796" "by"
"22" "6" "1.38489252391146" "sd"
"23" "4" "1.28228692622311" "by"
"24" "3" "1.164701866813" "sd"
"25" "10" "2.29785647713543" "by"
"26" "4" "1.25799069135287" "sd"
"27" "9" "1.5122079432623" "sd"
"28" "3.5" "1.19524642585039" "sd"
"29" "1.5" "0.988410438676221" "by"
"30" "9.5" "1.63039809991525" "sd"
"31" "2" "1.08317643207021" "by"
"32" "4" "1.18107123084465" "by"
"33" "5.5" "1.29526465105397" "sd"
"34" "7.5" "1.427716901495" "sd"
"35" "8.5" "1.45869977758464" "sd"
"36" "7" "1.46188935222473" "sd"
"37" "7" "1.62253996187088" "by"
"38" "6.5" "1.51096411438727" "by"
"39" "2" "1.14382353022148" "by"
"40" "2.5" "1.14690441447116" "sd"
"41" "10" "2.27544844169717" "by"
"42" "3" "1.22390667437665" "sd"
"43" "7.5" "1.3930931531494" "sd"
"44" "7" "1.42646438675805" "sd"
"45" "3.5" "1.14674693826967" "sd"
"46" "3.5" "1.17071145071704" "by"
"47" "9.5" "1.5900385725297" "sd"
"48" "1" "0.961669142168518" "sd"
"49" "1.5" "1.06197621767239" "sd"
"50" "8" "1.46097644994938" "sd"
"51" "4" "1.2612306874818" "by"
"52" "3" "1.13105543187805" "by"
"53" "1.5" "1.17575324934416" "sd"
"54" "10" "1.54660881470066" "sd"
"55" "7.5" "1.81843011420072" "by"
"56" "1" "1.06099825591682" "by"
"57" "1" "1.07327856848483" "by"
"58" "5" "1.38934565684015" "sd"
"59" "6" "1.3363604296136" "sd"
"60" "9.5" "1.57766865589183" "sd"
"61" "2.5" "1.21120408987197" "sd"
"62" "5.5" "1.43698197413799" "by"
"63" "7" "1.52844779826693" "sd"
"64" "3.5" "1.12584457083983" "by"
"65" "9.5" "2.17657266223256" "by"
"66" "8.5" "1.5726907460535" "sd"
"67" "4" "1.22849112552584" "sd"
"68" "10" "2.30619271219223" "by"
"69" "8" "1.8587970784372" "by"
"70" "6" "1.36352541957123" "sd"
"71" "5" "1.32769588267688" "sd"
"72" "7" "1.38355543853544" "sd"
"73" "7.5" "1.49475628305225" "sd"
"74" "8" "1.55793541570746" "sd"
"75" "5" "1.45250423428136" "by"
"76" "7" "1.40910125426709" "sd"
"77" "7" "1.46107905408187" "sd"
"78" "3.5" "1.15866723231884" "by"
"79" "4.5" "1.26785575823505" "by"
"80" "10" "2.28333963081653" "by"
