"LM1" "LM2"
"bulb.1" 447.84 223.16
"bulb.2" 447.13 223.26
"bulb.3" 449.01 227.85
"bulb.4" 452.12 226.51
"bulb.5" 451.78 228.38
"bulb.6" 447.43 221.77
"bulb.7" 452.94 222.77
"bulb.8" 448.65 222.28
"bulb.9" 448.42 222.5
"bulb.10" 450.72 223.38
"bulb.11" 449.1 226.8
"bulb.12" 448.78 222.85
"bulb.13" 449.75 225.37
"bulb.14" 449.27 223.34
"bulb.15" 447.4 222.12
"bulb.16" 449.23 221.94
"bulb.17" 449.84 219.74
"bulb.18" 449.21 219.53
"bulb.19" 448.29 221.84
"bulb.20" 447.68 222.87
"bulb.21" 445.13 225.31
"bulb.22" 444.61 221.01
"bulb.23" 445.9 220.63
"bulb.24" 455.21 225.08
"bulb.25" 444.78 218.08
"bulb.26" 450.72 223.78
"bulb.27" 447.95 220.73
"bulb.28" 444.65 219.47
"bulb.29" 451.78 222.53
"bulb.30" 447.09 227.59
"bulb.31" 450.49 223.16
"bulb.32" 453.04 226.7
"bulb.33" 449.42 229.07
"bulb.34" 447.76 219.42
"bulb.35" 449.26 223.96
"bulb.36" 455.88 225.48
"bulb.37" 450.69 223.62
"bulb.38" 448.56 223.16
"bulb.39" 453.17 229.75
"bulb.40" 453.19 227.55
"bulb.41" 446.86 225.29
"bulb.42" 449.03 219.65
"bulb.43" 450.81 223.45
"bulb.44" 452.94 222.48
"bulb.45" 447.65 220.65
"bulb.46" 449.31 224.47
"bulb.47" 448.11 225.23
"bulb.48" 445.43 219.75
"bulb.49" 452.69 221.78
"bulb.50" 450.35 222.76
