"time" "level"
"1" 0 1.63833269722129
"2" 0.5 1.25049682226203
"3" 1 1.3794439787907
"4" 1.5 1.17730456195469
"5" 2 1.25157188001682
"6" 2.5 1.30663303816882
"7" 3 1.64796834673632
"8" 3.5 1.88928539208317
"9" 4 2.21062714326163
"10" 4.5 2.48856244876036
"11" 5 2.65384062779083
"12" 5.5 2.99484801996384
"13" 6 3.26161705612643
"14" 6.5 3.45548273182627
"15" 7 3.5109863068571
"16" 7.5 3.75907190367935
"17" 8 3.90654032306354
"18" 8.5 3.8322700008513
"19" 9 3.44684884814313
"20" 9.5 3.51220324682419
"21" 10 3.09002242756297
"22" 10.5 2.84205907532612
"23" 11 2.27193676112521
"24" 11.5 2.13640115341799
"25" 12 1.70468262280898
"26" 12.5 1.60724299811746
"27" 13 1.26100862437046
"28" 13.5 1.45116614985401
"29" 14 1.50110320534214
"30" 14.5 1.5915636191906
"31" 15 1.69465859451106
"32" 15.5 2.19300945814123
"33" 16 2.06057661937495
"34" 16.5 2.50357230881806
"35" 17 2.81592080008239
"36" 17.5 3.02924851129444
"37" 18 3.09285808934399
"38" 18.5 3.24130423907155
"39" 19 3.68850548359325
"40" 19.5 3.55523251524528
"41" 20 3.82887624255575
"42" 20.5 3.77908277117758
"43" 21 3.91928929830731
"44" 21.5 3.46893697481681
"45" 22 3.48203439059404
"46" 22.5 3.03590437966297
"47" 23 2.62992108254078
"48" 23.5 2.30389525387663
