"sound" "frequency" "velocity"
"1" 292.95 19500 "L"
"2" 162.48 9100 "L"
"3" 187.38 8100 "L"
"4" 192.74 9200 "L"
"5" 313.74 17500 "L"
"6" 299.02 19800 "L"
"7" 234.91 7000 "L"
"8" 109.78 3500 "L"
"9" 267.25 13700 "L"
"10" 159.2 9200 "L"
"11" 236.91 8300 "L"
"12" 171.22 12600 "L"
"13" 231.57 12200 "L"
"14" 186.47 3900 "L"
"15" 185.15 10900 "L"
"16" 241.5 10700 "L"
"17" 338.57 17700 "L"
"18" 114.37 1400 "L"
"19" 307.87 18500 "L"
"20" 316.37 19700 "L"
"21" 300.84 15300 "L"
"22" 284.02 5800 "L"
"23" 145.46 7300 "L"
"24" 289.73 12800 "L"
"25" 274.96 12300 "L"
"26" 231.29 17200 "L"
"27" 287.5 17500 "L"
"28" 244.71 10400 "L"
"29" 176.33 3100 "L"
"30" 340.72 16600 "L"
"31" 426.79 12200 "H"
"32" 306.86 3500 "H"
"33" 471.72 16800 "H"
"34" 376.34 7200 "H"
"35" 514.71 15500 "H"
"36" 187.54 3300 "H"
"37" 395.56 8500 "H"
"38" 468.25 14900 "H"
"39" 428.73 19300 "H"
"40" 294.52 2000 "H"
"41" 325.53 8500 "H"
"42" 257.87 500 "H"
"43" 398.83 14200 "H"
"44" 343.31 11300 "H"
"45" 290.45 9200 "H"
"46" 408.8 16600 "H"
"47" 336.84 4900 "H"
"48" 325.1 7200 "H"
"49" 290.21 2800 "H"
"50" 276.3 7800 "H"
