"PM2.5" "PM10"
"1" 218.553 212.32
"2" 263.142 260.849
"3" 289.445 157.02
"4" 132.188 163.843
"5" 142.05 136.461
"6" 167.304 103.708
"7" 148.889 155.339
"8" 145.487 59.32
"9" 160.682 211.204
"10" 152.4 81.502
"11" 155.419 96.345
"12" 165.344 170.867
"13" 208.898 231.89
"14" 92.079 68.364
"15" 129.211 187.118
"16" 57.546 14.854
"17" 180.222 167.211
"18" 312.872 287.935
"19" 90.04 56.951
"20" 42.509 15.477
"21" 239.114 189.126
"22" 175.419 209.675
"23" 202.468 185.514
"24" 230.173 147.24
"25" 122.807 209.628
"26" 0 83.348
"27" 297.001 282.894
"28" 70.831 62.637
"29" 308.789 401.911
"30" 288.559 309.558
"31" 200.694 230.448
"32" 182.512 138.8
"33" 155.091 199.212
"34" 107.847 195.18
"35" 132.028 32.571
"36" 173.244 82.823
"37" 180.593 127.704
"38" 189.792 140.69
"39" 166.616 137.621
"40" 12.686 10.866
"41" 89.088 21.535
"42" 74.97 104.404
"43" 178.177 173.898
"44" 220.131 186.138
"45" 198.864 224.347
"46" 201.985 189.013
"47" 305.95 261.438
"48" 94.482 102.483
"49" 247.641 275.493
"50" 153.145 105.597
"51" 232.143 228.515
"52" 58.92 25.675
"53" 90.565 4.462
"54" 107.299 47.338
"55" 285.169 324.577
"56" 167.452 123.51
"57" 90.785 31.985
"58" 105.595 74.591
"59" 171.783 198.456
"60" 228.267 233.098
"61" 181.722 79.151
"62" 81.639 9.898
"63" 165.381 159.657
"64" 50.275 86.418
"65" 94.905 177.13
"66" 14.693 23.401
"67" 177.47 192.09
"68" 193.398 242.41
"69" 161.606 148.442
"70" 210.496 188.154
"71" 54.433 75.001
"72" 286.11 247.934
"73" 213.098 218.266
"74" 103.695 59.251
"75" 97.201 45.486
"76" 197.907 261.291
"77" 133.498 202.291
"78" 123.003 140.99
"79" 226.335 167.894
"80" 219.703 70.189
"81" 298.067 311.204
"82" 157.87 162.311
"83" 208.516 163.842
"84" 132.482 134.134
"85" 132.295 102.074
"86" 225.605 175.515
"87" 206.532 222.876
"88" 101.511 0
"89" 150.63 54.21
"90" 117.035 66.889
"91" 297.999 330.51
"92" 182.589 223.839
"93" 101.216 129.941
"94" 128.889 162.275
"95" 147.658 162.29
"96" 100.465 65.377
"97" 258.273 147.151
"98" 218.111 163.52
"99" 140.978 137.473
"100" 203.803 185.126
