"x" "y" "revenue" "population" "distance"
"1" 516099.36 5029903 50.25 4034 4233.89
"2" 514793.23 5030229.53 53.5 4022 3674.38
"3" 513976.91 5030556.06 41.06 4881 3426.63
"4" 511854.46 5030719.33 36.18 4117 4277.74
"5" 514629.97 5030719.33 69.01 5073 3184.72
"6" 512180.99 5030882.59 49.48 4203 3940.41
"7" 517568.74 5030882.59 39.31 4243 4157.66
"8" 512507.52 5031372.39 84.54 4774 3355.89
"9" 515119.76 5031372.39 107.49 5208 2563.32
"10" 515609.56 5031698.92 105.31 5341 2379.98
"11" 516915.68 5031862.18 98.86 4975 3003.82
"12" 515446.29 5032025.45 131 5588 2016.18
"13" 513160.58 5032188.71 71.01 5893 2311.8
"14" 513976.91 5032188.71 92.37 5692 1865.09
"15" 514140.17 5032188.71 114.82 6056 1807.02
"16" 516425.89 5032188.71 150.37 5498 2424.37
"17" 513323.84 5032351.98 79.69 5648 2081.23
"18" 511364.66 5032515.24 53.22 3904 3623.24
"19" 515936.09 5032515.24 125.56 5982 1850.74
"20" 514303.44 5032678.51 122.24 6387 1290.73
"21" 516752.42 5032678.51 84.68 5350 2379.98
"22" 516752.42 5032841.78 93.09 5510 2300.25
"23" 515609.56 5033005.04 112.51 6448 1269.91
"24" 517732.01 5033005.04 73.95 4745 3151.06
"25" 510874.87 5033168.31 66.99 4625 3906.44
"26" 511854.46 5033168.31 42.93 4943 2950.09
"27" 512344.25 5033658.1 55.59 5744 2379.98
"28" 515446.29 5033658.1 126.2 6980 774.44
"29" 515609.56 5033658.1 121.66 6761 930.76
"30" 513160.58 5033821.37 114.97 6590 1553.17
"31" 514956.5 5033821.37 112.58 7313 258.15
"32" 515772.82 5033821.37 103.75 6661 1064.36
"33" 516425.89 5033821.37 90.99 6103 1716.23
"34" 515446.29 5034147.9 86 6926 774.44
"35" 511364.66 5034311.16 63.93 4544 3371.73
"36" 514629.97 5034311.16 96.21 7476 416.25
"37" 512507.52 5034474.43 134.34 5583 2276.95
"38" 517242.21 5034474.43 60.39 5500 2594.33
"39" 514629.97 5034637.69 108.35 7055 739.22
"40" 516262.62 5034637.69 75.35 6138 1716.23
"41" 516589.15 5034637.69 55.56 5849 2016.18
"42" 512670.78 5034800.96 90.37 5552 2229.63
"43" 512507.52 5034964.22 87.37 5389 2446.26
"44" 513160.58 5034964.22 133.11 6022 1879.32
"45" 514629.97 5035127.49 89.31 6463 1227.21
"46" 518221.8 5035127.49 70.09 4359 3717.65
"47" 515446.29 5035290.76 96.46 6220 1570.24
"48" 516099.36 5035454.02 96.1 6003 2081.23
"49" 516262.62 5035454.02 93.85 5999 2193.47
"50" 514303.44 5035617.29 95.76 5913 1762.21
"51" 515119.76 5035617.29 96.49 5958 1762.21
"52" 511691.19 5035780.55 34.33 4693 3556.41
"53" 515772.82 5035780.55 74.78 5395 2156.71
"54" 511201.4 5035943.82 31.32 4047 4060.35
"55" 512997.31 5035943.82 98.08 5306 2665.28
"56" 513160.58 5036107.08 108.35 5389 2695.11
"57" 514140.17 5036107.08 90.78 5487 2276.95
"58" 515772.82 5036107.08 84.67 5253 2446.26
"59" 513976.91 5036270.35 77.88 5564 2478.73
"60" 514956.5 5036270.35 110.52 5496 2379.98
"61" 513813.64 5036596.88 55.46 5192 2839.6
"62" 513650.38 5036760.14 63.66 5000 3047.86
"63" 513976.91 5036923.41 77.79 4596 3108.48
"64" 515609.56 5037086.67 96.56 4432 3307.89
"65" 517078.95 5037086.67 50.67 4188 3967.38
"66" 515119.76 5037249.94 129.03 4231 3371.73
"67" 517568.74 5037249.94 57.16 3861 4400.6
"68" 515283.03 5037739.73 43.61 4173 3879.05
"69" 512997.31 5037903 51.73 3964 4351.87
"70" 515119.76 5037903 32.01 4454 4020.77
