"Length" "Width"
"Site_1" 4.459 0.0823
"Site_2" 4.2797 3.9496
"Site_3" 2.25 2.2847
"Site_4" 1.962 2.5277
"Site_5" 4.1843 1.4793
"Site_6" 4.5748 1.8245
"Site_7" 4.4144 1.1074
"Site_8" 3.9706 3.3954
"Site_9" 2.6387 1.4105
"Site_10" 3.9493 0.8128
"Site_11" 2.0149 2.0148
"Site_12" 4.2306 1.0305
"Site_13" 2.0867 1.4387
"Site_14" 4.3612 4.0883
"Site_15" 1.4665 2.368
"Site_16" 4.3771 1.7566
"Site_17" 1.9891 1.669
"Site_18" 4.1418 1.0009
"Site_19" 4.106 1.0541
"Site_20" 4.3888 1.3302
"Site_21" 2.1596 2.4195
"Site_22" 4.062 0.7899
"Site_23" 2.0353 0.9263
"Site_24" 1.9199 1.5869
"Site_25" 4.4999 0.8291
"Site_26" 3.7832 1.7913
"Site_27" 4.1556 4.1142
"Site_28" 4.0602 1.2002
"Site_29" 4.3245 3.6797
"Site_30" 4.332 3.6342
"Site_31" 4.0682 3.6763
"Site_32" 4.1736 4.6086
"Site_33" 4.5011 1.3472
"Site_34" 1.8599 1.308
"Site_35" 4.0894 0.9446
"Site_36" 4.4312 1.4635
"Site_37" 2.1935 2.7571
"Site_38" 1.6776 1.4701
"Site_39" 4.469 4.2123
"Site_40" 4.1001 1.5229
"Site_41" 4.5825 0.2369
"Site_42" 4.6838 1.4033
"Site_43" 1.7231 1.587
"Site_44" 2.2039 2.3809
"Site_45" 4.4215 1.1089
"Site_46" 4.3498 4.2611
"Site_47" 1.7283 2.6064
"Site_48" 3.9933 0.7578
"Site_49" 4.1886 0.972
"Site_50" 2.2731 1.8964
"Site_51" 4.3757 -0.0302
"Site_52" 2.2051 1.7097
"Site_53" 4.1808 3.8082
"Site_54" 2.3527 1.1412
"Site_55" 4.2543 0.178
"Site_56" 4.3035 0.3911
"Site_57" 4.4887 3.5124
"Site_58" 4.3927 4.0832
"Site_59" 4.2045 3.0591
"Site_60" 2.1021 2.34
"Site_61" 2.0139 1.6348
"Site_62" 2.2319 1.5997
"Site_63" 4.6154 3.7833
"Site_64" 2.0288 2.0649
"Site_65" 1.2494 1.4265
"Site_66" 3.6631 0.7884
"Site_67" 4.5258 3.9307
"Site_68" 4.2455 2.8341
"Site_69" 4.5004 0.9197
"Site_70" 4.8565 0.9974
"Site_71" 2.1654 2.2313
"Site_72" 4.2436 4.2728
"Site_73" 4.0645 0.223
"Site_74" 3.8641 1.7712
"Site_75" 4.2754 0.9193
